"Feature","Mean_Importance","SD_Importance"
"S100A8",1.41688059725565,0.510454156639441
"S100A9",1.33936037217965,0.503811922385945
"S100A12",1.33389871656445,0.505366610619328
"ARG1",1.32353601358215,0.579106580124217
"GATA3",1.32158487506031,0.491871520001994
"CD177",1.3071351813012,0.540525631977233
"SOCS3",1.2760029840406,0.451727218747102
"MMP9",1.25942608910972,0.495902930735094
"ITGAM",1.23997408756852,0.465020686361371
"MAPK14",1.15895615590856,0.477327045879908
"FCGR1A",1.09743944170674,0.486788897537661
"LCN2",0.982419292786366,0.446733786507765
"IL1R2",0.939434748503727,0.43796958948535
"TLR2",0.795001055672801,0.409171445326676
"TLR4",0.493864795599723,0.41203199080871
"CCR7",0.439963856381744,0.33197179182014
"MMP8",0.389503981321368,0.317575341716148
"IL1B",0.32081640248025,0.283425028716309
"CD14",0.247193498949722,0.25751959126053
"BCL2",0.2258229918912,0.235545464667924
"HLA.DRA",0.197261288627552,0.2056866538265
"HIF1A",0.192986227856464,0.233284425012257
"MYD88",0.14274721114275,0.185284136136947
"OLFM4",0.121335848481122,0.158718274341174
"IL10",0.0858130492891053,0.111911187603042
"HMGB1",0.0810878288286815,0.123162525368902
"TNFSF10",0.0678287554027958,0.103489771360435
"PLAUR",0.0586636736254327,0.0999259676324941
"CX3CR1",0.0397587192837417,0.0673121475798377
"PDCD1",0.0359219542433639,0.0778184225214463
"ELANE",0.0328441592300021,0.0641510630199188
"C3AR1",0.0243715817947814,0.0555869724379792
"PTX3",0.0202540553531085,0.0455251309493825
"TREM1",0.0130046161760687,0.0370887455905535
"C5AR1",0.0108369180499135,0.034410689657565
"CCR2",0.0101456215685842,0.0366084268872508
"NOTCH1",0.0077068660715102,0.0278269066549938
"CCL2",0.00765413366750209,0.0303402811554533
"IL6",0.0061651958178274,0.0298534960568245
"P2RX7",0.00561092506046797,0.0186713874322359
"ICAM1",0.0052271462077654,0.0218722085260852
"TNF",0.00440821248449229,0.020721547234093
"IFNG",0.00232548026048026,0.0145662976225762
"CXCL8",0.00221501824834205,0.00782486115109785
"CALCA",0.0018665522875817,0.00616383915212332
"CXCL10",0.00162219254772687,0.00675148495068005
"LBP",0.000860422796120736,0.00860422796120736
"NLRP3",0.000572112573099415,0.00326977625483261
"CCL25",0.000566881720430107,0.00418782756386204
"CCL19",0.000473333333333333,0.00385517274611098
"IFNA2",0.000191304347826087,0.00191304347826087
"IFNA1",0.000190909090909091,0.00190909090909091
"CRP",0.00019047619047619,0.0019047619047619
"VCAM1",0,0
