Gene adjusted_p Rank_Stat MeanImportance Rank_RF Rank_Diff predicted_importance EffectSize
CD177 2.90404682526185e-22 1 10.10463179236 3 2 3.12843029434938 0.648
GATA3 2.90404682526185e-22 2 8.21383921633212 5 3 3.12843029434938 -0.652
S100A12 2.90404682526185e-22 3 11.0241902669454 1 2 3.12843029434938 0.66
S100A8 2.90404682526185e-22 4 10.3566789398904 2 2 3.12843029434938 0.654
ARG1 4.14753445718718e-22 5 9.06162658471939 4 1 3.12843029434915 0.651
IL1R2 6.79489462139468e-22 6 6.86792780594631 6 0 3.12843029434868 0.646
MAPK14 8.79595931447776e-22 7 4.75098908461041 7 0 3.12843029434832 0.613
BCL2 1.0682845539528e-21 8 4.26974822878045 8 0 3.12843029434798 -0.641
CX3CR1 1.65735481009934e-21 9 3.54951983009364 9 0 3.12843029434692 -0.637
MMP8 4.09951881092405e-21 10 1.1449803525697 14 4 3.12843029434253 0.63
HLA-DRA 4.65419777285809e-21 11 3.45285497225263 10 1 3.12843029434154 NA
CCR7 1.02665929842515e-20 12 2.84089271928332 11 1 3.12843029433145 -0.622
MMP9 1.09770185301074e-20 13 2.23860257310417 12 1 3.12843029433018 0.622
ITGAM 4.72363509529054e-20 14 1.4329769399781 13 1 3.12843029426503 0.594
SOCS3 3.3842814785027e-19 15 0.639899976829835 15 0 3.12843029374182 0.458
LCN2 1.96727327644875e-18 16 0.447632797076381 17 1 3.12843029081517 0.582
FCGR1A 2.8252013605805e-17 17 0.309738710253229 19 2 3.12843024358761 0.562
OLFM4 2.85949548311912e-17 18 0.198705340841419 21 3 3.12843024297143 0.562
C3AR1 5.71547467347476e-16 19 0.614331157529603 16 3 3.12842926741504 0.539
IL10 1.43731767166468e-15 20 0.269596035958567 20 0 3.12842771184308 0.531
TLR2 1.35910643277234e-14 21 0.416408240420155 18 3 3.12840587602937 0.475
TLR4 3.1544370083487e-14 22 0.116214567316499 24 2 3.12837362539496 0.505
HMGB1 5.9715381000331e-13 23 0.0426693407002881 34 11 3.12736053878957 -0.00312
MYD88 3.20205705530806e-10 24 0.0675249499604284 29 5 2.87049102112096 0.331
ELANE 1.06314773904716e-09 25 0.0274356372824755 37 12 2.68755481041528 0.407
PTX3 1.77894469399241e-08 26 0.0158852709252282 40 14 2.19648374061285 0.377
TNFSF10 3.80846009865631e-07 27 0.0583146201114792 32 5 1.64695204549849 0.327
C5AR1 1.33816071622158e-06 28 0.0757770509028361 26 2 1.42119390981158 0.153
TNF 2.58930240271515e-06 29 0.072333971615545 28 1 1.30259714940756 -0.316
HIF1A 1.10853827492199e-05 30 0.0532837484105669 33 3 1.04130958328212 0.292
P2RX7 1.53640172861257e-05 31 0.0176290774927252 39 8 0.982663394917568 -0.105
NLRP3 5.09933498815593e-05 32 0.0391549211535161 35 3 0.767111970420338 0.272
IL8 9.58162656467298e-05 33 0.0147715790148759 41 8 0.653783333091535 -0.262
ICAM1 0.00098843323776882 34 0.0273551029741609 38 4 0.234473960103464 0.0176
CCR2 0.0147595100607175 35 0.063359849499917 31 4 -0.251285977651069 -0.154
PLAUR 0.0233730658875167 36 0.0855998497824043 25 11 -0.333882777400498 -0.156
TREM1 0.0601025498183034 37 0.161187832179356 22 15 -0.503581686825844 -0.129
IL1B 0.18334718462704 38 0.0745139306390012 27 11 -0.703980402223709 0.0915
PDCD1 0.19442513328683 39 0.0294213248958986 36 3 -0.714521250894632 0.0817
CD14 0.400400388096992 40 0.0644018214604417 30 10 -0.844322926617623 0.0254
NOTCH1 0.796284766279753 41 0.125326882465074 23 18 -0.967849213847726 -0.0181
