"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"ARG1",10.8205907181249,5.74097937463961,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"CD177",13.2624976279181,5.74935177456241,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"FCGR1A",11.263397885391,8.18477607559433,"Up_in_Sepsis",329,4.24173730412373e-07,0.993939393939394,1.76195241863601e-06
"GATA3",6.28524972184207,8.30242958767078,"Down_in_Sepsis",0,3.60506181689452e-07,-1,1.76195241863601e-06
"IL1R2",13.5029518439194,9.34637546181104,"Up_in_Sepsis",329,4.24173730412373e-07,0.993939393939394,1.76195241863601e-06
"ITGAM",12.1499199144184,10.1290027418322,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"LCN2",11.7417428015209,7.65565921523733,"Up_in_Sepsis",329,4.24173730412373e-07,0.993939393939394,1.76195241863601e-06
"MAPK14",12.8085102444687,10.4805743138511,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"MMP9",12.6892571861574,8.39698453771777,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"S100A12",15.6404641477236,10.2354498945505,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"S100A8",17.7974882520656,12.8081046043458,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"S100A9",17.911841365438,14.3416525863179,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"SOCS3",11.1487876555863,7.73721024098257,"Up_in_Sepsis",330,3.60506181689452e-07,1,1.76195241863601e-06
"TLR2",12.5856478381545,11.1177243064656,"Up_in_Sepsis",328,4.98623290655932e-07,0.987878787878788,1.92326126395859e-06
"TLR4",12.0011925015714,10.2336006663621,"Up_in_Sepsis",325,8.05465134909707e-07,0.96969696969697,2.89967448567494e-06
"MMP8",11.2264066704196,5.81423574623579,"Up_in_Sepsis",322,1.29034433599791e-06,0.951515151515152,4.35491213399294e-06
"CCR7",9.90359570134128,12.0306277445354,"Down_in_Sepsis",12,2.3876308168277e-06,-0.927272727272727,7.58423906521739e-06
"HIF1A",11.7092269825835,10.5018562078097,"Up_in_Sepsis",315,3.75150948939192e-06,0.909090909090909,1.12545284681758e-05
"OLFM4",9.05026727160146,5.35637964225786,"Up_in_Sepsis",311,6.76482437111264e-06,0.884848484848485,1.9226342949478e-05
"IL1B",10.3118841639283,8.84083212379023,"Up_in_Sepsis",310,7.82113965208667e-06,0.878787878787879,2.01115019625086e-05
"MYD88",13.1577620170354,12.0367389786721,"Up_in_Sepsis",310,7.82113965208667e-06,0.878787878787879,2.01115019625086e-05
"CD14",13.3033480375776,12.1662431036517,"Up_in_Sepsis",308,1.04255598509784e-05,0.866666666666667,2.55900105433106e-05
"HLA.DRA",12.6921609040168,13.7620005513703,"Down_in_Sepsis",23,1.2020307618579e-05,-0.860606060606061,2.82215918001421e-05
"BCL2",6.52329815293846,7.89471674981162,"Down_in_Sepsis",29,2.76978510501242e-05,-0.824242424242424,6.23201648627794e-05
"IL10",5.41838837144752,3.91822472498158,"Up_in_Sepsis",298,3.91428011530201e-05,0.806060606060606,8.45484504905235e-05
"HMGB1",11.8714768970252,11.2677226250081,"Up_in_Sepsis",295,6.17540139549215e-05,0.787878787878788,0.000123508027909843
"PLAUR",11.4009433987897,10.37646928312,"Up_in_Sepsis",295,6.17540139549215e-05,0.787878787878788,0.000123508027909843
"PDCD1",5.34322148811436,6.4464277448603,"Down_in_Sepsis",37,8.00877208970425e-05,-0.775757575757576,0.000154454890301439
"TNFSF10",12.2271224413278,11.0927284362141,"Up_in_Sepsis",291,0.000103486472339341,0.763636363636364,0.000192698948493946
"CX3CR1",10.3693593021774,11.6814555955571,"Down_in_Sepsis",42,0.000150971850510255,-0.745454545454545,0.000271749330918458
"C3AR1",9.91508821843532,8.51102776834675,"Up_in_Sepsis",287,0.000170913888660451,0.739393939393939,0.000297720967344011
"ELANE",8.57359839758508,6.25116502775911,"Up_in_Sepsis",282,0.000313527294610823,0.709090909090909,0.00051304466390862
"PTX3",6.21185315541548,4.93812058384183,"Up_in_Sepsis",282,0.000313527294610823,0.709090909090909,0.00051304466390862
"C5AR1",11.3188485597021,10.4011245603914,"Up_in_Sepsis",277,0.000562277473214199,0.678787878787879,0.00089302892804608
"TREM1",11.7074410724232,11.041724793275,"Up_in_Sepsis",262,0.00283420128271886,0.587878787878788,0.00437276769333767
"IL6",3.37098689983371,3.78883446719011,"Down_in_Sepsis",83,0.00383019467243074,-0.496969696969697,0.00574529200864612
"NOTCH1",9.33295137445973,8.80255060120733,"Up_in_Sepsis",252,0.00745452082583446,0.527272727272727,0.0108795709350016
"ICAM1",9.93028447365926,9.19191754484702,"Up_in_Sepsis",251,0.00817169551003701,0.521212121212121,0.011612409409
"IFNG",4.38772300116333,5.1432996539481,"Down_in_Sepsis",84,0.0126605623011039,-0.490909090909091,0.01753000933999
"CCR2",10.194280902343,9.62533975259358,"Up_in_Sepsis",240,0.0211882214984787,0.454545454545455,0.027906438071167
"CXCL10",4.74833671542255,5.63235409064174,"Down_in_Sepsis",90,0.020761090852284,-0.454545454545455,0.027906438071167
"CALCA",3.27447465327903,3.53808224672752,"Down_in_Sepsis",117,0.0220738181853816,-0.290909090909091,0.0283806233812049
"P2RX7",7.13833089592945,7.72290603403917,"Down_in_Sepsis",94,0.029192589841254,-0.43030303030303,0.0366604616611097
"IFNA1",3.31857319403407,3.50480399156395,"Down_in_Sepsis",120,0.031991178852492,-0.272727272727273,0.0392619013189675
"CCL2",4.05278735115592,4.54848009338157,"Down_in_Sepsis",100.5,0.0455594101072263,-0.390909090909091,0.0546712921286715
"CRP",3.34232983642548,3.61844779707552,"Down_in_Sepsis",124,0.109173717982058,-0.248484848484849,0.128160451544155
