Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
ARG1,1.76195241863601e-06,1,1.32353601358215,4,3,0.821583366399287,0.838
CD177,1.76195241863601e-06,2,1.3071351813012,6,4,0.821583366399287,0.838
FCGR1A,1.76195241863601e-06,3,1.09743944170674,11,8,0.821583366399287,0.834
GATA3,1.76195241863601e-06,4,1.32158487506031,5,1,0.821583366399287,-0.838
IL1R2,1.76195241863601e-06,5,0.939434748503727,13,8,0.821583366399287,0.834
ITGAM,1.76195241863601e-06,6,1.23997408756852,9,3,0.821583366399287,0.838
LCN2,1.76195241863601e-06,7,0.982419292786366,12,5,0.821583366399287,0.834
MAPK14,1.76195241863601e-06,8,1.15895615590856,10,2,0.821583366399287,0.838
MMP9,1.76195241863601e-06,9,1.25942608910972,8,1,0.821583366399287,0.838
S100A12,1.76195241863601e-06,10,1.33389871656445,3,7,0.821583366399287,0.838
S100A8,1.76195241863601e-06,11,1.41688059725565,1,10,0.821583366399287,0.838
S100A9,1.76195241863601e-06,12,1.33936037217965,2,10,0.821583366399287,0.838
SOCS3,1.76195241863601e-06,13,1.2760029840406,7,6,0.821583366399287,0.838
TLR2,1.92326126395859e-06,14,0.795001055672801,14,0,0.814079064498943,0.829
