Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
MAPK14,6.43201651350697e-08,1,1.86844945108816,6,5,1.38142067050536,0.81
S100A8,6.43201651350697e-08,2,1.96318869882997,5,3,1.38142067050536,0.807
S100A12,6.43201651350697e-08,3,3.39942402321574,1,2,1.38142067050536,0.827
IL1R2,6.43201651350697e-08,4,3.38577302964147,2,2,1.38142067050536,0.827
SOCS3,6.43201651350697e-08,5,2.00189303500855,3,2,1.38142067050536,0.813
GATA3,7.17320760458017e-08,6,1.08431219469514,12,6,1.37028428065801,-0.786
ARG1,7.17320760458017e-08,7,1.846832135014,7,0,1.37028428065801,0.797
CD177,7.17320760458017e-08,8,1.67205011451659,8,0,1.37028428065801,0.795
S100A9,7.17320760458017e-08,9,1.24058979990465,10,1,1.37028428065801,0.792
TLR2,7.17320760458017e-08,10,1.2330783956484,11,1,1.37028428065801,0.786
TLR4,7.17320760458017e-08,11,1.45707402246727,9,2,1.37028428065801,0.789
MMP8,1.3068100951869e-07,12,0.792313531121612,14,2,1.30901175568225,0.768
MMP9,1.3068100951869e-07,13,1.98949426986567,4,9,1.30901175568225,0.768
