"Feature","Mean_Importance","SD_Importance"
"MYD88",0.360601422387137,0.14971768026158
"FCGR1A",0.345575448361163,0.133699037692696
"C3AR1",0.330547619047619,0.12922157576533
"MAPK14",0.324340960626675,0.140658126060637
"MMP8",0.230547000618429,0.121150148576179
"TLR4",0.216068233353948,0.108207558162879
"ARG1",0.213301484230056,0.1192027518981
"TNFSF10",0.183079983508555,0.128285734182583
"ITGAM",0.17900628736343,0.096730343529184
"TLR2",0.175062667491239,0.122269602200075
"CX3CR1",0.172394970109256,0.115722333710799
"GATA3",0.171381880024737,0.110013473765671
"IL10",0.167906411049268,0.10384692469453
"S100A9",0.164482374768089,0.0955412446282893
"HIF1A",0.159008348794063,0.083208740799178
"ELANE",0.146285920428778,0.100710800310183
"S100A8",0.142189342403628,0.0945575214106032
"CCR7",0.129603999175428,0.0978864817515857
"C5AR1",0.112158524015667,0.0818277559970115
"MMP9",0.104922902494331,0.0731767205789279
"S100A12",0.101581220366935,0.0681140496006056
"CD14",0.0983304473304473,0.0780335268793489
"CD177",0.0903563182848897,0.0684266406701371
"BCL2",0.0847346845074118,0.0771407840059849
"PTX3",0.0843633271490414,0.0840482014607137
"SOCS3",0.0814926819212533,0.0670953443852245
"PDCD1",0.079331253162422,0.0638542493801428
"IL1R2",0.0793031333745619,0.0736824565816694
"IFNG",0.0771875901875902,0.0566772233553722
"CCR2",0.0757513914656772,0.0778412801524599
"ICAM1",0.0670026798598227,0.0749080255225088
"CALCA",0.0580188808305691,0.0687278446858851
"HLA.DRA",0.0558581735724593,0.0689740302066778
"IL1B",0.0521626468769326,0.0509340314944737
"LCN2",0.0507960214388786,0.0597909539782412
"VCAM1",0.0460562770562771,0.0596317062639928
"OLFM4",0.039708719851577,0.0499084683549599
"TNF",0.0325746237889095,0.0420892038159379
"IFNB1",0.0294351680065966,0.0454318598783877
"NLRP3",0.027234693877551,0.0424921149730839
"IL6",0.0264746537733551,0.0441629563957165
"NOTCH1",0.0244348587920016,0.0365289536307621
"CCL19",0.0228444650587508,0.0369985868444297
"CCL2",0.0199820655534941,0.0410289190412604
"PLAUR",0.0170952380952381,0.034878379728405
"HMGB1",0.016336322407751,0.0293701262354273
"CXCL8",0.00832632446918161,0.0162563620108388
"TREM1",0.00777932385075242,0.0193729906768226
"CXCL10",0.0075974025974026,0.0174100107206637
"P2RX7",0.00456514120799835,0.0095466714545395
"CCL25",0.00211286332714904,0.00653072713134958
"LBP",0.0012987012987013,0.00673551823496319
"CRP",0.000238095238095238,0.00208927723509336
