"MeanDecreaseGini","Feature","Iteration"
0,"OLFM4",1
0,"NLRP3",1
0.153095238095238,"CCR7",1
0,"CRP",1
0.355833333333333,"MAPK14",1
0.236666666666667,"CX3CR1",1
0.0983333333333333,"ELANE",1
0.223333333333333,"FCGR1A",1
0.221,"GATA3",1
0.0885714285714286,"HIF1A",1
0.0171428571428571,"HLA.DRA",1
0,"HMGB1",1
0,"ICAM1",1
0.0766666666666667,"IFNB1",1
0,"IFNG",1
0,"IL1B",1
0,"IL6",1
0.0333333333333333,"CXCL8",1
0.143333333333333,"IL10",1
0,"CXCL10",1
0.0171428571428571,"ITGAM",1
0.343333333333333,"ARG1",1
0,"LBP",1
0.290238095238095,"LCN2",1
0.228809523809524,"MMP8",1
0,"MMP9",1
0.443333333333333,"MYD88",1
0,"NOTCH1",1
0,"P2RX7",1
0.06,"PDCD1",1
0.0533333333333333,"PLAUR",1
0,"TREM1",1
0.06,"CD177",1
0.116666666666667,"PTX3",1
0.176666666666667,"BCL2",1
0.06,"S100A8",1
0.195,"S100A9",1
0,"S100A12",1
0,"CCL2",1
0.0175,"CCL19",1
0,"CCL25",1
0.33547619047619,"TLR2",1
0.398047619047619,"TLR4",1
0.0408333333333333,"TNF",1
0.247142857142857,"C3AR1",1
0.16,"C5AR1",1
0.103333333333333,"CCR2",1
0.102857142857143,"VCAM1",1
0.156666666666667,"IL1R2",1
0.045,"CALCA",1
0.0746428571428571,"TNFSF10",1
0.0583333333333333,"SOCS3",1
0.0533333333333333,"CD14",1
0.0533333333333333,"OLFM4",4
0,"NLRP3",4
0.06,"CCR7",4
0,"CRP",4
0.4825,"MAPK14",4
0.223333333333333,"CX3CR1",4
0.427142857142857,"ELANE",4
0.483333333333333,"FCGR1A",4
0.118333333333333,"GATA3",4
0.0991666666666667,"HIF1A",4
0.171666666666667,"HLA.DRA",4
0.06,"HMGB1",4
0,"ICAM1",4
0.0171428571428571,"IFNB1",4
0.13547619047619,"IFNG",4
0.06,"IL1B",4
0.045,"IL6",4
0.0177777777777778,"CXCL8",4
0.23,"IL10",4
0,"CXCL10",4
0.295,"ITGAM",4
0.205,"ARG1",4
0,"LBP",4
0.0333333333333333,"LCN2",4
0.326190476190476,"MMP8",4
0.0583333333333333,"MMP9",4
0.348333333333333,"MYD88",4
0,"NOTCH1",4
0,"P2RX7",4
0.0955555555555555,"PDCD1",4
0,"PLAUR",4
0,"TREM1",4
0.101190476190476,"CD177",4
0.12,"PTX3",4
0.117857142857143,"BCL2",4
0.0333333333333333,"S100A8",4
0.216666666666667,"S100A9",4
0,"S100A12",4
0,"CCL2",4
0,"CCL19",4
0,"CCL25",4
0.0716666666666667,"TLR2",4
0.156190476190476,"TLR4",4
0,"TNF",4
0.166666666666667,"C3AR1",4
0.118333333333333,"C5AR1",4
0.045,"CCR2",4
0,"VCAM1",4
0,"IL1R2",4
0.0583333333333333,"CALCA",4
0.19547619047619,"TNFSF10",4
0,"SOCS3",4
0.128333333333333,"CD14",4
0,"OLFM4",5
0,"NLRP3",5
0.138333333333333,"CCR7",5
0,"CRP",5
0.776,"MAPK14",5
0.103333333333333,"CX3CR1",5
0.118333333333333,"ELANE",5
0.176111111111111,"FCGR1A",5
0.0533333333333333,"GATA3",5
0.17,"HIF1A",5
0.189,"HLA.DRA",5
0,"HMGB1",5
0,"ICAM1",5
0.113333333333333,"IFNB1",5
0.09,"IFNG",5
0.0533333333333333,"IL1B",5
0,"IL6",5
0,"CXCL8",5
0.0933333333333333,"IL10",5
0.0906666666666667,"CXCL10",5
0.132666666666667,"ITGAM",5
0.175,"ARG1",5
0.0166666666666667,"LBP",5
0.106666666666667,"LCN2",5
0.283333333333333,"MMP8",5
0.146666666666667,"MMP9",5
0.365,"MYD88",5
0.0533333333333333,"NOTCH1",5
0,"P2RX7",5
0.155,"PDCD1",5
0,"PLAUR",5
0,"TREM1",5
0.0533333333333333,"CD177",5
0.1,"PTX3",5
0,"BCL2",5
0.0888888888888889,"S100A8",5
0.2125,"S100A9",5
0.218333333333333,"S100A12",5
0.0583333333333333,"CCL2",5
0,"CCL19",5
0,"CCL25",5
0.0583333333333333,"TLR2",5
0.27,"TLR4",5
0.0166666666666667,"TNF",5
0.278333333333333,"C3AR1",5
