"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
