"Feature","Mean_Importance","SD_Importance"
"CCR7",0.257746813186813,0.126296268030454
"S100A8",0.252012087912088,0.12228366006318
"S100A9",0.247754029304029,0.10932375244564
"IL1R2",0.246786446886447,0.122600691737628
"TLR2",0.246278876678877,0.10710730821047
"GATA3",0.245424908424908,0.123748745690233
"TLR4",0.242545934065934,0.122975817046139
"TNFSF10",0.238769230769231,0.124114507506745
"MAPK14",0.238688095238095,0.114965901763525
"MYD88",0.236877472527473,0.108038399202141
"HIF1A",0.233146153846154,0.121565838470761
"HMGB1",0.232891941391941,0.114761694178593
"BCL2",0.23272847985348,0.116351758182024
"FCGR1A",0.227265934065934,0.107685021398532
"ITGAM",0.222640934065934,0.131725526666151
"CX3CR1",0.222605769230769,0.102313495897077
"MMP8",0.168900141525142,0.109430378275033
"ARG1",0.168372967032967,0.100973417347321
"HLA.DRA",0.168177106227106,0.114874406301862
"C3AR1",0.166720781440781,0.105765709116579
"PTX3",0.135562313797314,0.108697247715004
"ELANE",0.130914763014763,0.0975682037620341
"IL10",0.128739468864469,0.115195522192045
"CD177",0.111059687534688,0.104984370193824
"S100A12",0.110945421245421,0.0915310710335095
"SOCS3",0.107665659340659,0.10885683137167
"C5AR1",0.0868391941391941,0.0774907142752454
"PDCD1",0.0841338461538462,0.0723107697862012
"TNF",0.0810911793761794,0.0730204214714286
"LCN2",0.0611684676434676,0.0625679800287127
"MMP9",0.0600194261294261,0.0785583818516687
"ICAM1",0.0570062454212454,0.0741370568796267
"CCR2",0.0490605128205128,0.0583598063765819
"OLFM4",0.0363931135531136,0.0532640913961899
"IL1B",0.0361913553113553,0.0471269172905308
"CALCA",0.0280974225774226,0.0526380244703417
"CD14",0.0277447191697192,0.0431750289625478
"CCL2",0.0200096153846154,0.0332128490339796
"P2RX7",0.0184241025641026,0.035279799906937
"TREM1",0.0180200244200244,0.0392463139673534
"NOTCH1",0.0155076923076923,0.0320656788179186
"PLAUR",0.0151388694638695,0.0298509700064856
"IFNG",0.0116791208791209,0.0272033077169896
"CRP",0.00775384615384615,0.0221383006841374
"VCAM1",0.006,0.0186643867559242
"IL6",0.00461450549450549,0.014985615472336
"IFNB1",0.00446923076923077,0.0149322359128258
"NLRP3",0.00374119658119658,0.0130346587313444
"CXCL8",0.00244871794871795,0.0109784910055086
"CXCL10",0.00172307692307692,0.00994703563984975
"LBP",0.00162617826617827,0.00854438698961102
"CCL25",0.00107692307692308,0.00765492079932682
"CCL19",0.000338461538461539,0.00338461538461539
