"MeanDecreaseGini","Feature","Iteration"
0,"OLFM4",1
0,"NLRP3",1
0.249230769230769,"CCR7",1
0,"CRP",1
0.356923076923077,"MAPK14",1
0.252307692307692,"CX3CR1",1
0,"ELANE",1
0.126153846153846,"FCGR1A",1
0.187692307692308,"GATA3",1
0.36,"HIF1A",1
0.126153846153846,"HLA.DRA",1
0.252307692307692,"HMGB1",1
0.0646153846153846,"ICAM1",1
0,"IFNB1",1
0,"IFNG",1
0,"IL1B",1
0,"IL6",1
0,"CXCL8",1
0.187692307692308,"IL10",1
0,"CXCL10",1
0.126153846153846,"ITGAM",1
0.181538461538462,"ARG1",1
0,"LBP",1
0.0338461538461539,"LCN2",1
0.292307692307692,"MMP8",1
0.110769230769231,"MMP9",1
0.129230769230769,"MYD88",1
0,"NOTCH1",1
0,"P2RX7",1
0,"PDCD1",1
0.0615384615384615,"PLAUR",1
0.0437606837606838,"TREM1",1
0.0461538461538461,"CD177",1
0.126153846153846,"PTX3",1
0.243076923076923,"BCL2",1
0.24,"S100A8",1
0.246153846153846,"S100A9",1
0.0553846153846154,"S100A12",1
0,"CCL2",1
0,"CCL19",1
0,"CCL25",1
0.236239316239316,"TLR2",1
0.249230769230769,"TLR4",1
0.0553846153846154,"TNF",1
0.338461538461538,"C3AR1",1
0.129230769230769,"C5AR1",1
0.163076923076923,"CCR2",1
0,"VCAM1",1
0.369230769230769,"IL1R2",1
0,"CALCA",1
0.28,"TNFSF10",1
0,"SOCS3",1
0,"CD14",1
0.0553846153846154,"OLFM4",2
0,"NLRP3",2
0.116923076923077,"CCR7",2
0,"CRP",2
0.321282051282051,"MAPK14",2
0.199038461538462,"CX3CR1",2
0.24,"ELANE",2
0.129230769230769,"FCGR1A",2
0.110769230769231,"GATA3",2
0.184615384615385,"HIF1A",2
0.156923076923077,"HLA.DRA",2
0.0553846153846154,"HMGB1",2
0.0471153846153846,"ICAM1",2
0,"IFNB1",2
0,"IFNG",2
0.0553846153846154,"IL1B",2
0,"IL6",2
0,"CXCL8",2
0.123076923076923,"IL10",2
0,"CXCL10",2
0.409230769230769,"ITGAM",2
0.0171428571428571,"ARG1",2
0,"LBP",2
0.126153846153846,"LCN2",2
0.106410256410256,"MMP8",2
0.0461538461538461,"MMP9",2
0.255384615384615,"MYD88",2
0,"NOTCH1",2
0,"P2RX7",2
0.0892307692307692,"PDCD1",2
0.0474725274725275,"PLAUR",2
0,"TREM1",2
0,"CD177",2
0.227692307692308,"PTX3",2
0.126153846153846,"BCL2",2
0.24,"S100A8",2
0.415384615384615,"S100A9",2
0.116923076923077,"S100A12",2
0,"CCL2",2
0,"CCL19",2
0,"CCL25",2
0.310769230769231,"TLR2",2
0.375384615384615,"TLR4",2
0.245192307692308,"TNF",2
0.249230769230769,"C3AR1",2
0,"C5AR1",2
0,"CCR2",2
0,"VCAM1",2
0.310769230769231,"IL1R2",2
0.0471153846153846,"CALCA",2
0.187692307692308,"TNFSF10",2
0.246153846153846,"SOCS3",2
0,"CD14",2
0.0338461538461539,"OLFM4",3
0,"NLRP3",3
0.172307692307692,"CCR7",3
0,"CRP",3
0.307692307692308,"MAPK14",3
0.254923076923077,"CX3CR1",3
0.175384615384615,"ELANE",3
0.193846153846154,"FCGR1A",3
0.298461538461538,"GATA3",3
0.0646153846153846,"HIF1A",3
0.105897435897436,"HLA.DRA",3
0.292307692307692,"HMGB1",3
0.0646153846153846,"ICAM1",3
0,"IFNB1",3
0,"IFNG",3
0,"IL1B",3
0,"IL6",3
0,"CXCL8",3
0.12,"IL10",3
0,"CXCL10",3
0.421538461538462,"ITGAM",3
0.292307692307692,"ARG1",3
0,"LBP",3
0,"LCN2",3
0.12,"MMP8",3
0.0615384615384615,"MMP9",3
0.184615384615385,"MYD88",3
0.0461538461538461,"NOTCH1",3
0,"P2RX7",3
0.12,"PDCD1",3
0,"PLAUR",3
0,"TREM1",3
0.187692307692308,"CD177",3
0,"PTX3",3
0.227692307692308,"BCL2",3
0.258461538461538,"S100A8",3
0.0615384615384615,"S100A9",3
0.181538461538462,"S100A12",3
0,"CCL2",3
0,"CCL19",3
0,"CCL25",3
0.252307692307692,"TLR2",3
0.129230769230769,"TLR4",3
0,"TNF",3
0.269948717948718,"C3AR1",3
