"Feature","Mean_Importance","SD_Importance"
"MMP9",10.4390008230446,3.01966803634756
"ARG1",9.76932164952122,3.13129285440545
"S100A8",8.39923415636052,3.64307959162757
"CD177.1",7.14766556643643,2.91589620291172
"ARG1.1",6.71767777527314,2.49872238528197
"GATA3",6.49839144927684,3.03849000427018
"IL10",6.30188905214649,2.33349729850166
"CD177",5.92593719285165,2.93823563924972
"TLR2",5.39508363194496,2.36383482028858
"S100A12",5.25125574458639,2.50476173588513
"SOCS3",4.49814082756949,2.3698725920531
"BCL2.1",3.93334052123005,2.45127030142697
"HLA.DRA",3.27137336572923,2.16320083913041
"IL1R2",2.98578080685452,1.65554847670178
"S100A12.1",2.48804695438284,1.62060415168028
"TLR4",1.81319824559612,1.49343494667753
"C3AR1",1.70443517400062,1.33553265282356
"BCL2",1.66466333199338,1.27474248614957
"CCR7",1.48831983279384,0.989591633013768
"MMP8",1.42689288321067,1.07610587831553
"ITGAM",1.34640110639034,1.01479775980126
"CD177.2",1.14553847881254,1.03467151093568
"MAPK14",0.827307439693189,0.727901851432566
"NOTCH1.1",0.81703899059046,0.781199837921932
"OLFM4",0.806445579882652,0.720106511355723
"ELANE",0.623664971626412,0.779790968226563
"CCL19",0.539656890446755,0.514310732856009
"LCN2",0.505051413137686,0.463247839817688
"TLR4.1",0.474388427226148,0.490615269043086
"S100A9",0.415440271476412,0.499394905945922
"TNFSF10",0.332428499219581,0.394365636138432
"CXCL10.1",0.211628641730705,0.202210682769391
"NLRP3",0.211098574726471,0.193505902779431
"LBP",0.209360654281081,0.216802581652105
"CD14",0.197542437698804,0.209365154373147
"CCL2",0.183946510483909,0.284833694861674
"CX3CR1",0.168421212419643,0.292086206684358
"CCL19.1",0.148818816375988,0.239855762080382
"PTX3",0.146221260176677,0.184719634827813
"HMGB1",0.137809881556926,0.201912682844754
"PDCD1",0.125940265089815,0.181698775558803
"NOTCH1",0.118332874780606,0.133862992569475
"C5AR1",0.101102543648743,0.195305551505777
"NLRP3.1",0.0979618927090027,0.112187340557153
"CXCL10",0.0978948060625565,0.0851605241316472
"CCR2",0.0939932554894391,0.100755194691489
"IFNA2",0.0874189505385206,0.172101858528027
"CALCA.2",0.0843975269986948,0.083818529732669
"IFNB1",0.0827464597715137,0.149080223880836
"MYD88",0.0815102274463971,0.0886073683131543
"HIF1A",0.07336554240197,0.0731255065217208
"CALCA.1",0.0699149736419409,0.0837735574084354
"CRP",0.0650208638708745,0.0640961381946703
"IL6.1",0.0649798904042747,0.106158870118758
"CALCA",0.0618939456393696,0.0769738399979828
"PLAUR",0.06000779101489,0.0722320446195202
"CRP.1",0.0577114197785104,0.103500050361983
"P2RX7.1",0.054634666321956,0.0665235941982806
"VCAM1",0.0509344866764637,0.154246339255226
"TNF",0.0471184461126623,0.0519902237273918
"IL8",0.044329773065434,0.0541414452779841
"P2RX7",0.0412544018076198,0.0480571294771874
"HIF1A.1",0.0369797733876309,0.078389716639342
"CCL25.1",0.0369573732311123,0.0624096682326484
"CCR2.1",0.0354105210442915,0.0413212209358955
"IFNG",0.0341997928658433,0.038956150700875
"IL6",0.0341329381140191,0.035339982010507
"IL1B",0.0324913988635199,0.0874764463984536
"TNFSF10.2",0.0305683940924353,0.0338592684213607
"ICAM1",0.0278032221939995,0.0372547850090524
"TNFSF10.1",0.0245428090719928,0.0306396054774365
"CCL25",0.0228901219246032,0.0336765166034477
"IL8.1",0.0207558373675967,0.0253077278382127
"TREM1.2",0.0188336830952793,0.0275190079852074
"TREM1.1",0.0178266043129079,0.0282883589605378
"TREM1",0.0140107571346439,0.0178188729273766
