"MeanDecreaseGini","Feature","Iteration"
0,"TNFSF10",1
0.117964781402343,"TREM1",1
3.30976949495795,"CD177",1
0.583105021972076,"PTX3",1
0.0889856006877284,"TNFSF10.1",1
0.0266666666666667,"CCL19",1
3.64154637066141,"ITGAM",1
3.41711048017953,"IL10",1
0.115189652223141,"ELANE",1
0.0729814241486069,"PDCD1",1
0.0316666666666667,"LBP",1
0.016,"IFNG",1
0.0301945003353453,"ICAM1",1
0.0266666666666667,"C5AR1",1
0,"PLAUR",1
0.965094433009668,"LCN2",1
0.184314772589981,"TREM1.1",1
0.307167964596027,"SOCS3",1
0.210228126252075,"CCR2",1
1.27525700697426,"S100A9",1
2.57793006472789,"C3AR1",1
1.50856126054888,"MMP8",1
0,"IFNA2",1
4.70976798564321,"CD177.1",1
0,"CALCA",1
0,"CCR2.1",1
1.3633336356445,"CCR7",1
0.0575,"VCAM1",1
1.29424970320928,"BCL2",1
0,"MYD88",1
0.0369408369408369,"TNF",1
3.97941460073943,"MMP9",1
0.0775215228793634,"CX3CR1",1
2.4550998516768,"S100A8",1
0,"CCL25",1
0.1128383169003,"NOTCH1",1
0.015,"IL6",1
0,"IFNB1",1
2.35989482304602,"S100A12",1
0,"IL1B",1
0.151697478991597,"CCL2",1
7.68280469376864,"TLR2",1
0.0883557692307693,"NLRP3",1
0.260455610290093,"HMGB1",1
0,"OLFM4",1
0,"CALCA.1",1
1.57981301143586,"MAPK14",1
0.03,"CXCL10",1
0,"P2RX7",1
0.0395742296918766,"CRP",1
0.0133333333333333,"HIF1A",1
5.88734282750521,"IL1R2",1
1.3719745366071,"TLR4",1
0.687435757959938,"TLR4.1",1
0,"IL8",1
2.60842535857115,"HLA.DRA",1
0,"TNFSF10.2",1
0,"HIF1A.1",1
0.170212563422241,"CD177.2",1
0,"IL8.1",1
0,"P2RX7.1",1
0.194362137138574,"NLRP3.1",1
0.51048656205499,"CD14",1
0.0649691643539932,"CCL25.1",1
0.145061833286132,"CRP.1",1
0.01,"CALCA.2",1
0.036031746031746,"TREM1.2",1
11.3184146593397,"ARG1",1
0,"CXCL10.1",1
5.84134087827687,"ARG1.1",1
3.08863849248631,"BCL2.1",1
4.9617036958371,"GATA3",1
0.555803627873415,"NOTCH1.1",1
0.195114113038064,"CCL19.1",1
1.40535235419535,"S100A12.1",1
0,"IL6.1",1
0.537805086464096,"TNFSF10",2
0.108104335151246,"TREM1",2
5.61605855070276,"CD177",2
0.217084967320261,"PTX3",2
0.0375,"TNFSF10.1",2
0.23270679113242,"CCL19",2
1.09503935409812,"ITGAM",2
4.61223582544851,"IL10",2
0.108826516104616,"ELANE",2
0,"PDCD1",2
0,"LBP",2
0.0342857142857143,"IFNG",2
0.0652233009708738,"ICAM1",2
0.148145896656535,"C5AR1",2
0.0166666666666667,"PLAUR",2
0.65869605801227,"LCN2",2
0.0755992063492064,"TREM1.1",2
4.43177057893337,"SOCS3",2
0.221666666666667,"CCR2",2
1.21345042076592,"S100A9",2
2.21637706568097,"C3AR1",2
2.11193581390908,"MMP8",2
0.0703111111111111,"IFNA2",2
5.12574954157589,"CD177.1",2
0,"CALCA",2
0.0392380952380952,"CCR2.1",2
0.282828504043127,"CCR7",2
0.0561790017211704,"VCAM1",2
1.42160831020464,"BCL2",2
0.0266666666666667,"MYD88",2
0.0192036036036036,"TNF",2
