"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TNFSF10",0.941586660873044,0.987432935208484,0.999533333333333,0.984,0.963333333333333,0.9916185999186,0.947142857142857
"TREM1",0.945673720799153,0.987954116071818,0.9994,0.9832,0.971666666666667,0.993503133903134,0.94552380952381
"CD177",0.949413710800421,0.989282869055969,0.999433333333333,0.9872,0.965,0.991904131054131,0.956785714285714
"PTX3",0.944866235253581,0.988021350574631,0.999466666666667,0.9836,0.97,0.993187830687831,0.945833333333333
"TNFSF10.1",0.941952449004096,0.98713762947718,0.999566666666667,0.982,0.97,0.993101851851852,0.94147619047619
"CCL19",0.944886149257034,0.988269380583657,0.999133333333333,0.9848,0.966666666666667,0.992361111111111,0.948452380952381
"ITGAM",0.952290858054803,0.989917078124212,0.999466666666667,0.9884,0.965,0.992037037037037,0.961666666666667
"IL10",0.95794274598804,0.990601801740367,0.999466666666667,0.986,0.981666666666667,0.995851648351648,0.954642857142857
"ELANE",0.95533299690885,0.990229506696296,0.999466666666667,0.9868,0.975,0.994230769230769,0.956547619047619
"PDCD1",0.951529500529312,0.989424698614195,0.9994,0.9856,0.973333333333333,0.993928571428571,0.952666666666667
"LBP",0.953183738146073,0.989575745191694,0.9996,0.9852,0.976666666666667,0.994583333333333,0.951904761904762
"IFNG",0.941825660361528,0.987417997477223,0.9996,0.9836,0.965,0.991976495726496,0.945833333333333
"ICAM1",0.951234336111903,0.989450582267308,0.9996,0.986,0.971666666666667,0.993557061457061,0.953809523809524
"C5AR1",0.948410095900958,0.98883218469057,0.9998,0.9848,0.971666666666667,0.993503133903134,0.949166666666667
"PLAUR",0.948256388571683,0.9885798843119,0.999533333333333,0.9844,0.971666666666667,0.993557061457061,0.949619047619048
"LCN2",0.939994420461334,0.986760097940834,0.9996,0.9824,0.965,0.992037037037037,0.943738095238095
"TREM1.1",0.954926095593677,0.98999995333649,0.999633333333333,0.9856,0.978333333333333,0.99502849002849,0.952976190476191
"SOCS3",0.943988810710556,0.987541970143213,0.999433333333333,0.9812,0.976666666666667,0.994643874643875,0.937976190476191
"CCR2",0.951147199492543,0.989187142053109,0.999466666666667,0.9844,0.976666666666667,0.994694240944241,0.949095238095238
"S100A9",0.95103942037995,0.989198783086097,0.9997,0.9836,0.98,0.995467032967033,0.94547619047619
"C3AR1",0.93829234319564,0.986333915656167,0.999566666666667,0.9812,0.966666666666667,0.9924185999186,0.939571428571429
"MMP8",0.944501392294189,0.988024323084389,0.9994,0.984,0.968333333333333,0.992705413105413,0.946309523809524
"IFNA2",0.942847601843487,0.987346891114621,0.9995,0.982,0.971666666666667,0.993557061457061,0.941404761904762
"CD177.1",0.946545580232394,0.988698820023949,0.999466666666667,0.9864,0.963333333333333,0.991662474562475,0.95452380952381
