"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.793333333333333,0.96,0.993333333333333,0.96,0.833333333333333,0.96,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.793333333333333,0.96,0.993333333333333,0.96,0.833333333333333,0.96,0.833333333333333
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,0.993333333333333,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.785674201318386,0.961538461538461,1,1,0.666666666666667,0.925925925925926,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.830662386291808,0.958333333333333,0.973333333333333,0.92,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.709929573971954,0.91304347826087,1,0.84,1,1,0.6
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.830662386291808,0.958333333333333,1,0.92,1,1,0.75
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,0.993333333333333,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.765941686205071,0.936170212765957,0.996666666666667,0.88,1,1,0.666666666666667
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.830662386291808,0.958333333333333,1,0.92,1,1,0.75
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.830662386291808,0.958333333333333,1,0.92,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.785674201318386,0.961538461538461,1,1,0.666666666666667,0.925925925925926,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.830662386291808,0.958333333333333,1,0.92,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
