"Feature","Mean_Importance","SD_Importance"
"ARG1.1",7.41546792497549,2.42086511328494
"ARG1",7.10003132085904,2.45152760927722
"MMP9",6.88734144097426,2.09761309370066
"GATA3",6.20881852725511,2.07106570926103
"S100A8",5.65035522080834,2.52928234852739
"TLR2",4.8764767698628,1.99630634759516
"CD177.1",4.8431563831512,2.0968194798068
"CD177",4.38225240958727,1.99996153311098
"IL10",3.62813793461521,1.90681317355745
"HLA.DRA",3.40836598529506,1.85244109587402
"S100A12",3.09847130681743,1.38654110381953
"SOCS3",2.52006243770162,1.61513151405452
"C3AR1",2.47175241479284,1.37953674845923
"IL1R2",2.28745131524816,1.3934775715219
"S100A12.1",2.22456478373762,1.43346462454328
"ITGAM",1.87303779497891,1.08987228369016
"MMP8",1.71571694038048,1.10519687020416
"TLR4",1.36031381378547,1.04131748021354
"BCL2.1",1.11601728948424,0.873487146607692
"BCL2",0.952826885140665,0.731605460721056
"TLR4.1",0.85567090802294,0.644627325446084
"CCR7",0.825828960341635,0.629045850225924
"S100A9",0.710268838582179,0.569958057769939
"ELANE",0.686827940831939,0.748809841294116
"CD177.2",0.665258528378177,0.642598216403298
"MAPK14",0.54587155419301,0.518275361580173
"OLFM4",0.539111641897487,0.582806055469739
"CD14",0.501439515540792,0.413886199069842
"PTX3",0.431246943578486,0.52713926874919
"LCN2",0.340853078672483,0.352987995420681
"NOTCH1.1",0.281621485941566,0.379724063347614
"CCL2",0.239722905063347,0.295012127227701
"CCL19.1",0.21476119800538,0.150807092386935
"CCL19",0.190757291236532,0.240488598786239
"LBP",0.166106302799713,0.186653969454621
"HMGB1",0.164645069272004,0.145285960988868
"NOTCH1",0.163908347364239,0.140852211534196
"NLRP3",0.161219305927549,0.134632701824085
"TNFSF10",0.151647916794863,0.235257043748381
"C5AR1",0.128879389963731,0.191433449321881
"PDCD1",0.11634137765413,0.2194364675425
"CXCL10.1",0.100615162185518,0.107074080004301
"CCR2",0.0990905105247245,0.0805428354780762
"CRP",0.0888224399047268,0.0802700641532357
"CX3CR1",0.0837803514163456,0.132743475541109
"NLRP3.1",0.0697798038304067,0.0732057305070461
"HIF1A",0.068117595216975,0.0681489977047255
"TREM1.1",0.0663427930733833,0.0690735452150781
"CCR2.1",0.066017555935418,0.0677784822284435
"TREM1",0.0654736990868506,0.0572212170678148
"CCL25.1",0.062494151268171,0.0741751011714444
"CALCA.2",0.0566545385518947,0.0566417638317251
"IL1B",0.0553567489285638,0.151247733072458
"CRP.1",0.0528726700451722,0.0658452962778985
"MYD88",0.0505421243476718,0.0757673667300466
"IFNA2",0.0466203996571408,0.0523389622416578
"TREM1.2",0.0461489087794819,0.061174995063487
"CALCA.1",0.0450048377439991,0.0452308291439796
"IFNB1",0.0420994913804546,0.0698512808668173
"TNFSF10.2",0.0408219014111237,0.0587307368126237
"CXCL10",0.0394593667798647,0.0716336443031482
"CCL25",0.036344249926399,0.0518869304797003
"IL6",0.0358121526880487,0.0372783856952823
"ICAM1",0.0319867475992889,0.0480018123677917
"TNF",0.0318423994319397,0.0433551850337754
"TNFSF10.1",0.0306855139877613,0.0386893494998688
"IL6.1",0.0291200184727933,0.043005375634187
"CALCA",0.0265497210844367,0.0365417436935103
"P2RX7",0.0259460717070495,0.0372297514238061
"HIF1A.1",0.0237107670014187,0.0500511590699305
"VCAM1",0.0234702994611319,0.0327758870549811
"IL8",0.0233132701578125,0.0290056111628009
"IL8.1",0.020747477841634,0.0245452932535743
"PLAUR",0.0191060817321555,0.0256035988159711
"P2RX7.1",0.0169705326749695,0.0255164572505428
"IFNG",0.012872246651886,0.0185292390852727
