"Feature","Mean_Importance","SD_Importance"
"GATA3.2",1.25529651746474,0.551811027542356
"MAPK14.1",1.23019108024101,0.425437907784452
"MAPK14.2",1.17281202077268,0.521737125583848
"MAPK14.3",1.13565383961078,0.53013604406037
"S100A9",1.12258023637236,0.496662659931175
"ARG1",1.11199708726212,0.468941235145677
"MAPK14",1.11121177516962,0.476508940283121
"ITGAM",1.10782012079489,0.515715075082372
"S100A12",0.95548270911646,0.406716675026781
"MMP9",0.952683998162777,0.471544717996558
"GATA3",0.785856735876739,0.451846500596489
"IL1R2.1",0.737441250710287,0.441041594950886
"CCR7",0.728988511519554,0.43386833208725
"CD177",0.701409075775183,0.430732497038179
"S100A8",0.695857691901846,0.395800096940935
"GATA3.1",0.621521465155594,0.36708841502185
"IL1R2",0.607989205910002,0.334317929339549
"MMP8.1",0.591758642574598,0.388432659301433
"MMP8",0.562825247948517,0.325389283489296
"BCL2.1",0.497164959011295,0.331558096262256
"C3AR1",0.332365152035076,0.280797994252817
"TLR2",0.316477459695067,0.226050335738169
"CX3CR1.1",0.244742431975571,0.239116848497701
"CXCL8",0.183996753026889,0.172572966395003
"TLR4.2",0.181132093537828,0.185544418134336
"SOCS3.3",0.177266249320583,0.185717122263253
"TLR4.3",0.141595317805432,0.154715064235489
"MYD88",0.108206222238353,0.156583773764971
"IL10",0.107308714135993,0.142997946662956
"HLA.DRA",0.105577686411373,0.129641681715493
"TNFSF10.2",0.105513467216375,0.134416971628351
"SOCS3",0.103295715625381,0.134411656671822
"PTX3",0.0971401390595483,0.149768906962471
"TNFSF10",0.091291138272454,0.12421781743165
"HLA.DRA.1",0.0848141348378096,0.118760296260657
"CXCL8.1",0.0759726987820135,0.111138294774482
"TNFSF10.1",0.0648999551041978,0.106452275887769
"FCGR1A",0.0628168494989157,0.105082612768277
"ARG1.2",0.0613227563827131,0.0943271940252504
"BCL2",0.0584799572126243,0.102358341888334
"ELANE",0.0498433235324861,0.0792787680244045
"LCN2",0.0491761195643239,0.0929494899827583
"CX3CR1",0.0405478395536749,0.0770359222367813
"TLR4",0.040188890245033,0.066404840890134
"ARG1.1",0.0335817273804008,0.0634216029162807
"IFNG",0.0297339464233357,0.0609574860772731
"OLFM4",0.0280893173319735,0.0591307424044885
"CXCL10",0.0140635958993945,0.0291222003774931
"C5AR1",0.0100631070693192,0.0358859099611867
"ICAM1.1",0.00971514220393451,0.023526453930389
"IFNA1",0.00955329733258477,0.0325012665951584
"CCR2",0.00955018307233719,0.0234139737798394
"CRP",0.00859488943639397,0.0258506380449402
"HMGB1.1",0.00823873670280035,0.0391619099089312
"SOCS3.1",0.00820462013457497,0.0235692552310665
"TLR4.1",0.00806118195219655,0.033561753184226
"CCL2",0.00717656749912667,0.0174948212118958
"PLAUR.2",0.00663521315264468,0.0171632113497609
"BCL2.3",0.00614804567570711,0.0175842619919842
"IL1B",0.00610071807334965,0.0146325006024359
"HMGB1",0.0054805175226788,0.0221069827248259
"NOTCH1.1",0.00529005086360294,0.0142210065422254
"TNF",0.00527587500741184,0.0165670463586416
"SOCS3.2",0.00523850175117255,0.0174405628082187
"CCL19",0.00509616716816676,0.0206819367287289
"CRP.1",0.00499139001291153,0.0163383620561734
"PLAUR.1",0.00440111809508343,0.0112674155453837
"CCL25",0.00434907780629655,0.0116434571693383
"NLRP3.2",0.00420918236773604,0.0135841451269007
"PLAUR",0.00412095702668846,0.0129308186729061
"LBP.1",0.00410522074506462,0.0112295110777114
"HMGB1.2",0.00404724540419893,0.0116390245174291
"P2RX7.1",0.00401645548919178,0.0129172920058852
"CALCA.2",0.00399204086154793,0.0112502978609912
"IL1B.1",0.00387077719098181,0.0119464324091086
"CD14",0.00368618002946208,0.0114088142160619
"IFNB1",0.00366132620682813,0.0103125168836883
"CCR2.1",0.00329140319342493,0.0102185162279475
"NLRP3",0.00291741553488467,0.0110903689079421
"IL6",0.00284747612621299,0.0127746948035704
"HIF1A",0.00282851767528943,0.0138140775771367
"HMGB1.3",0.00275623799397485,0.00985009501185264
"ICAM1",0.00271844818356738,0.00965850548882293
"TREM1",0.00250181450128819,0.0107845199454328
"VCAM1",0.00243328042328043,0.00973009561938377
"CALCA.1",0.00237158282397264,0.00868498515870695
"NOTCH1",0.00223664179387865,0.00944761411939851
"CALCA",0.0022352890105064,0.00710875047137295
"P2RX7",0.00196039859076184,0.00845751765997055
"LBP",0.00190896946650514,0.0072114197137824
"NLRP3.1",0.00186269561157797,0.0071354590176402
"CALCA.3",0.00179432392575642,0.00841499385113155
"HMGB1.4",0.00167801592061114,0.00741482271493164
"ICAM1.2",0.00109634847608532,0.00497326834381928
"BCL2.2",0.000930565087086831,0.00482304558197846
"S100A8.1",0.000751515151515152,0.0045325440233026
"PDCD1",0.000695054945054964,0.00344012267891469
"IFNA2",0.000568051948051948,0.0032465222172092
"ARG1.3",0.000476623376623377,0.00342019013621033
