"MeanDecreaseGini","Feature","Iteration"
0,"TLR4",1
0,"CX3CR1",1
0,"HMGB1",1
0,"HMGB1.1",1
0,"HIF1A",1
0,"CD14",1
1.50073670515531,"MAPK14",1
0,"ICAM1",1
0,"ICAM1.1",1
0,"TNFSF10",1
0,"TNFSF10.1",1
0.334574650156046,"CXCL8",1
0.65726996966633,"S100A8",1
1.47627906976744,"S100A9",1
0,"BCL2",1
0.404955277280859,"BCL2.1",1
0.019047619047619,"VCAM1",1
0.845454282825365,"MMP9",1
0,"CXCL10",1
0.392170542635659,"TLR2",1
0,"IL1B",1
0,"IL6",1
0.849302325581395,"IL1R2",1
0,"CRP",1
1.10442721791559,"ITGAM",1
0.65737030411449,"S100A12",1
0.0366666666666667,"CX3CR1.1",1
0,"PTX3",1
0.231352282515073,"ARG1",1
1.0427866726297,"CCR7",1
0,"SOCS3",1
0,"SOCS3.1",1
0.01875,"ELANE",1
0.0192307692307692,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0.0361904761904762,"TNF",1
0.212093023255814,"MMP8",1
0.162040510127532,"IL10",1
0,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0,"IFNA1",1
0,"HLA.DRA",1
0.547969919830385,"MYD88",1
1.65302325581395,"GATA3",1
0.214883720930233,"GATA3.1",1
0.461427425821973,"GATA3.2",1
0.0193548387096774,"C3AR1",1
0,"CCL19",1
0,"IFNG",1
1.24651162790698,"MAPK14.1",1
0,"CALCA",1
0,"CALCA.1",1
0,"PLAUR",1
0,"HLA.DRA.1",1
0.443233665559247,"MAPK14.2",1
0,"IFNA2",1
0.186692506459948,"IL1R2.1",1
0.018947368421053,"CXCL8.1",1
1.8823467230444,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
0,"LCN2",1
0,"OLFM4",1
0,"SOCS3.2",1
0.163688853247795,"TNFSF10.2",1
0,"S100A8.1",1
0,"LBP.1",1
0,"PLAUR.2",1
0,"HMGB1.2",1
0,"ICAM1.2",1
0,"NLRP3.1",1
0,"NLRP3.2",1
0.036,"CCL2",1
0.0192307692307692,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0,"NOTCH1",1
0.0363636363636364,"TREM1",1
1.19554334038055,"CD177",1
0,"C5AR1",1
0,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0,"HMGB1.3",1
0,"HMGB1.4",1
0.347475650964023,"SOCS3.3",1
0,"P2RX7.1",1
0,"ARG1.1",1
0.176745192791704,"ARG1.2",1
0,"ARG1.3",1
2.04551430255225,"MMP8.1",1
0.154581395348837,"TLR4.3",1
0,"CRP.1",1
0,"IL1B.1",1
0.0192307692307692,"TLR4",2
0.019,"CX3CR1",2
0,"HMGB1",2
0,"HMGB1.1",2
0,"HIF1A",2
0,"CD14",2
0.884916943521594,"MAPK14",2
0,"ICAM1",2
0,"ICAM1.1",2
0.16843853820598,"TNFSF10",2
0,"TNFSF10.1",2
0.312219939383342,"CXCL8",2
1.63526702821951,"S100A8",2
0.847441860465116,"S100A9",2
0,"BCL2",2
0.181395348837209,"BCL2.1",2
0,"VCAM1",2
0.858604651162791,"MMP9",2
0.051,"CXCL10",2
0.39914036842544,"TLR2",2
0,"IL1B",2
0,"IL6",2
0.810232558139535,"IL1R2",2
0,"CRP",2
1.0776955602537,"ITGAM",2
0.615813953488372,"S100A12",2
0.120348837209302,"CX3CR1.1",2
0,"PTX3",2
1.25488372093023,"ARG1",2
0.0556126482213439,"CCR7",2
0.139171890798787,"SOCS3",2
0.0188888888888889,"SOCS3.1",2
0,"ELANE",2
0.036,"CCR2",2
0.0191304347826089,"CCL25",2
0,"BCL2.2",2
0,"BCL2.3",2
0,"NLRP3",2
0,"P2RX7",2
0.0371428571428572,"TNF",2
0.549848331648129,"MMP8",2
0.155730897009967,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0.175902547065338,"HLA.DRA",2
0.0727380952380957,"MYD88",2
0.607691029900332,"GATA3",2
1.27129550050556,"GATA3.1",2
1.1181838316722,"GATA3.2",2
0.524926043622707,"C3AR1",2
0,"CCL19",2
0,"IFNG",2
1.32487441860465,"MAPK14.1",2
0,"CALCA",2
0,"CALCA.1",2
0.0191304347826087,"PLAUR",2
0.147683720930233,"HLA.DRA.1",2
1.43602990033223,"MAPK14.2",2
0,"IFNA2",2
0.404955277280859,"IL1R2.1",2
0,"CXCL8.1",2
0.633931339977852,"MAPK14.3",2
0,"LBP",2
0,"PLAUR.1",2
0.0191304347826087,"LCN2",2
0,"OLFM4",2
0,"SOCS3.2",2
0.162040510127532,"TNFSF10.2",2
