"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",1,1,1,1,1,1,1
"CX3CR1",1,1,1,1,1,1,1
"HMGB1",1,1,1,1,1,1,1
"HMGB1.1",1,1,1,1,1,1,1
"HIF1A",1,1,1,1,1,1,1
"CD14",1,1,1,1,1,1,1
"MAPK14",1,1,1,1,1,1,1
"ICAM1",1,1,1,1,1,1,1
"ICAM1.1",1,1,1,1,1,1,1
"TNFSF10",1,1,1,1,1,1,1
"TNFSF10.1",1,1,1,1,1,1,1
"CXCL8",1,1,1,1,1,1,1
"S100A8",1,1,1,1,1,1,1
"S100A9",1,1,1,1,1,1,1
"BCL2",1,1,1,1,1,1,1
"BCL2.1",1,1,1,1,1,1,1
"VCAM1",1,1,1,1,1,1,1
"MMP9",1,1,1,1,1,1,1
"CXCL10",1,1,1,1,1,1,1
"TLR2",1,1,1,1,1,1,1
"IL1B",1,1,1,1,1,1,1
"IL6",1,1,1,1,1,1,1
"IL1R2",1,1,1,1,1,1,1
"CRP",1,1,1,1,1,1,1
"ITGAM",1,1,1,1,1,1,1
"S100A12",1,1,1,1,1,1,1
"CX3CR1.1",1,1,1,1,1,1,1
"PTX3",1,1,1,1,1,1,1
"ARG1",1,1,1,1,1,1,1
"CCR7",1,1,1,1,1,1,1
"SOCS3",1,1,1,1,1,1,1
"SOCS3.1",1,1,1,1,1,1,1
"ELANE",1,1,1,1,1,1,1
"CCR2",1,1,1,1,1,1,1
"CCL25",1,1,1,1,1,1,1
"BCL2.2",1,1,1,1,1,1,1
"BCL2.3",1,1,1,1,1,1,1
"NLRP3",1,1,1,1,1,1,1
"P2RX7",1,1,1,1,1,1,1
"TNF",1,1,1,1,1,1,1
"MMP8",1,1,1,1,1,1,1
"IL10",1,1,1,1,1,1,1
"PDCD1",1,1,1,1,1,1,1
"CCR2.1",1,1,1,1,1,1,1
"IFNB1",1,1,1,1,1,1,1
"IFNA1",1,1,1,1,1,1,1
"HLA.DRA",1,1,1,1,1,1,1
"MYD88",1,1,1,1,1,1,1
"GATA3",1,1,1,1,1,1,1
"GATA3.1",1,1,1,1,1,1,1
"GATA3.2",1,1,1,1,1,1,1
"C3AR1",1,1,1,1,1,1,1
"CCL19",1,1,1,1,1,1,1
"IFNG",1,1,1,1,1,1,1
"MAPK14.1",1,1,1,1,1,1,1
"CALCA",1,1,1,1,1,1,1
"CALCA.1",1,1,1,1,1,1,1
"PLAUR",1,1,1,1,1,1,1
"HLA.DRA.1",1,1,1,1,1,1,1
"MAPK14.2",1,1,1,1,1,1,1
"IFNA2",1,1,1,1,1,1,1
"IL1R2.1",1,1,1,1,1,1,1
"CXCL8.1",1,1,1,1,1,1,1
"MAPK14.3",1,1,1,1,1,1,1
"LBP",1,1,1,1,1,1,1
"PLAUR.1",1,1,1,1,1,1,1
"LCN2",1,1,1,1,1,1,1
"OLFM4",1,1,1,1,1,1,1
"SOCS3.2",1,1,1,1,1,1,1
"TNFSF10.2",1,1,1,1,1,1,1
"S100A8.1",1,1,1,1,1,1,1
"LBP.1",1,1,1,1,1,1,1
"PLAUR.2",1,1,1,1,1,1,1
"HMGB1.2",1,1,1,1,1,1,1
"ICAM1.2",1,1,1,1,1,1,1
"NLRP3.1",1,1,1,1,1,1,1
"NLRP3.2",1,1,1,1,1,1,1
"CCL2",1,1,1,1,1,1,1
"FCGR1A",1,1,1,1,1,1,1
"CALCA.2",1,1,1,1,1,1,1
"CALCA.3",1,1,1,1,1,1,1
"NOTCH1",1,1,1,1,1,1,1
"TREM1",1,1,1,1,1,1,1
"CD177",1,1,1,1,1,1,1
"C5AR1",1,1,1,1,1,1,1
"TLR4.1",1,1,1,1,1,1,1
"NOTCH1.1",1,1,1,1,1,1,1
"TLR4.2",1,1,1,1,1,1,1
"HMGB1.3",1,1,1,1,1,1,1
"HMGB1.4",1,1,1,1,1,1,1
"SOCS3.3",1,1,1,1,1,1,1
"P2RX7.1",1,1,1,1,1,1,1
"ARG1.1",1,1,1,1,1,1,1
"ARG1.2",1,1,1,1,1,1,1
"ARG1.3",1,1,1,1,1,1,1
"MMP8.1",1,1,1,1,1,1,1
"TLR4.3",1,1,1,1,1,1,1
"CRP.1",1,1,1,1,1,1,1
"IL1B.1",1,1,1,1,1,1,1
