"Feature","Mean_Importance","SD_Importance"
"MAPK14",1.41917823047017,0.514697985943048
"GATA3.2",1.40037582201129,0.501763615089909
"CD177",1.36733203041639,0.471511862603748
"MAPK14.3",1.34863421248705,0.446278844096583
"MAPK14.2",1.13877040310405,0.451632394514619
"S100A9",1.05522531430943,0.485271193188561
"MAPK14.1",1.05117591306042,0.455125781797305
"ITGAM",0.947107283458206,0.45982662524455
"IL1R2.1",0.917665508211899,0.373766054022973
"ARG1",0.885348062208103,0.410288690112904
"IL1R2",0.789241651229379,0.347414364527498
"S100A12",0.758544038601006,0.384984372521551
"MMP9",0.662869015464037,0.338764015452845
"CCR7",0.519361006249321,0.337249814881699
"GATA3.1",0.50332136001124,0.338198964530914
"C3AR1",0.439482572736622,0.292049254327289
"CX3CR1.1",0.346074278110185,0.248170462170206
"S100A8",0.304043560194756,0.243883546616504
"CXCL8",0.303248615813566,0.259397503115546
"MYD88",0.280764965807,0.239118218122889
"MMP8",0.25861701414367,0.206436170707971
"MMP8.1",0.255661345250955,0.217837901130382
"BCL2.1",0.253688427566818,0.206116236703289
"CXCL8.1",0.241504244723721,0.175345959475858
"GATA3",0.219509974347129,0.183908512757585
"IL10",0.215561434681177,0.247946759469913
"HLA.DRA",0.161368519816344,0.174498812657007
"SOCS3.3",0.161108581800005,0.168770818896065
"BCL2",0.153212830892775,0.156562455123177
"ELANE",0.137188394552925,0.137674972568137
"HLA.DRA.1",0.125387906674159,0.158574839834562
"TLR2",0.111274937778204,0.116793058645968
"FCGR1A",0.0996729143504802,0.136972908572087
"PTX3",0.0837345060521648,0.121727177816313
"TNFSF10",0.0688886642002521,0.0969549739921976
"TNFSF10.1",0.0667194126298831,0.0928290080774119
"LCN2",0.0624415379177049,0.109628915850343
"TLR4.3",0.0588431003758629,0.0949615976810528
"TNFSF10.2",0.0581328978079337,0.0862935270567924
"OLFM4",0.0550043723995635,0.0921572381820661
"ARG1.1",0.0529921808940844,0.0768770091100001
"TLR4.2",0.0445762935438055,0.0677484183517898
"CX3CR1",0.0417687230798047,0.080053521257783
"BCL2.3",0.0382359352400592,0.0776150240790722
"ARG1.2",0.033584444908179,0.0528976861209273
"ARG1.3",0.0326450656824756,0.0644038961453137
"ICAM1.1",0.0323379201977192,0.0426373304667857
"HMGB1",0.0315790174449109,0.0582209766064737
"SOCS3",0.0286661755082436,0.0558040500969326
"CXCL10",0.0267025829243607,0.0370114478048149
"HMGB1.1",0.0239240108122326,0.0389529111831553
"NLRP3.2",0.0218677297583581,0.0357041413028935
"CCL19",0.0184794438523682,0.0285331062636891
"HIF1A",0.015908031415797,0.0241118164043895
"TLR4.1",0.0134803753668858,0.0255069152315997
"HMGB1.2",0.0130513834135572,0.0210070838091007
"TNF",0.0124627933962265,0.0293153886724568
"IFNG",0.0114267208977768,0.0221803274199559
"CRP",0.0110602103272232,0.0270827196570771
"SOCS3.2",0.0104658661834628,0.0283876869348484
"IFNA1",0.00936709349917386,0.0239678581359122
"CCR2",0.00922982477577425,0.0187016139456975
"P2RX7.1",0.00819623999085902,0.0196454095919815
"CALCA.1",0.00787937912770877,0.0158386144360854
"P2RX7",0.00764472194923676,0.0160109625628373
"SOCS3.1",0.00697699303818726,0.0234175217806573
"IL1B.1",0.00618622426262863,0.0153610866974884
"IL1B",0.00592070590863497,0.0122011719576366
"PLAUR",0.0059156630572409,0.0142285211895419
"CRP.1",0.00586068872770589,0.0128733423919578
"IFNA2",0.00568058319518755,0.0134157254414374
"PLAUR.2",0.00552828783479032,0.0164899527799315
"HMGB1.3",0.00551277580879738,0.0149361877327387
"C5AR1",0.00531256622187612,0.0164700453248281
"HMGB1.4",0.00530061370668328,0.0175267415022381
"CALCA.2",0.00518937781124516,0.010921815003105
"CCL2",0.00486476237324393,0.0118988833913789
"NOTCH1.1",0.00476670532359989,0.012875509212653
"LBP.1",0.00474179209175682,0.0126368895876336
"IL6",0.00466378891662173,0.0125343967571111
"CCL25",0.00459406455309396,0.0155578202220524
"CD14",0.00455882697756461,0.013782925796673
"IFNB1",0.00450287689029337,0.00937083711866175
"LBP",0.00440079394230653,0.0113327367845242
"TREM1",0.00370353054353054,0.014202903444745
"PLAUR.1",0.00358944529874736,0.0115352639856897
"CALCA",0.00352505734654611,0.0102574426051052
"NLRP3.1",0.00334337004929324,0.00896732293227186
"TLR4",0.00334237174856548,0.0123990893494736
"CCR2.1",0.00321970999760473,0.00931864595461922
"ICAM1",0.00315439646450078,0.00930684683746566
"NLRP3",0.00288346863438531,0.0104356455943145
"ICAM1.2",0.00278788631658197,0.00767558265223146
"S100A8.1",0.00276361920452396,0.0073987896467706
"PDCD1",0.00217888437166698,0.0111025973709688
"BCL2.2",0.00212694630248978,0.0063402976369605
"VCAM1",0.00205290000363227,0.00629683489346982
"NOTCH1",0.00190784876001291,0.00631968148051078
"CALCA.3",0.00156935064935065,0.00515336876365153
