"MeanDecreaseGini","Feature","Iteration"
0,"TLR4",1
0,"CX3CR1",1
0,"HMGB1",1
0.0745417740154582,"HMGB1.1",1
0,"HIF1A",1
0.0346666666666667,"CD14",1
1.45644083107498,"MAPK14",1
0,"ICAM1",1
0.0192,"ICAM1.1",1
0.185356517680009,"TNFSF10",1
0,"TNFSF10.1",1
0,"CXCL8",1
0.177560975609756,"S100A8",1
1.04988122782131,"S100A9",1
0.329498074454429,"BCL2",1
0.0549404761904762,"BCL2.1",1
0,"VCAM1",1
0.407533754050827,"MMP9",1
0,"CXCL10",1
0.133803071364047,"TLR2",1
0.0505263157894737,"IL1B",1
0,"IL6",1
0.450842572062084,"IL1R2",1
0.0190909090909091,"CRP",1
0.781415795586528,"ITGAM",1
1.00615274244411,"S100A12",1
0.190243902439024,"CX3CR1.1",1
0,"PTX3",1
1.26037073170732,"ARG1",1
0.755166353971232,"CCR7",1
0,"SOCS3",1
0,"SOCS3.1",1
0.151294559099437,"ELANE",1
0,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0,"TNF",1
0.426053215077605,"MMP8",1
0.700979370223273,"IL10",1
0,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0,"IFNA1",1
0,"HLA.DRA",1
0.380487804878049,"MYD88",1
0.134112498541253,"GATA3",1
0.343059306803594,"GATA3.1",1
1.09042828106853,"GATA3.2",1
1.0915243435193,"C3AR1",1
0,"CCL19",1
0.0539525691699604,"IFNG",1
1.03831485587583,"MAPK14.1",1
0,"CALCA",1
0.0357894736842105,"CALCA.1",1
0,"PLAUR",1
0.451581032262684,"HLA.DRA.1",1
0.675004878048781,"MAPK14.2",1
0,"IFNA2",1
0.761589228561969,"IL1R2.1",1
0,"CXCL8.1",1
1.65116531165312,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
0.170973146095097,"LCN2",1
0.019047619047619,"OLFM4",1
0.019047619047619,"SOCS3.2",1
0,"TNFSF10.2",1
0,"S100A8.1",1
0,"LBP.1",1
0.0366666666666667,"PLAUR.2",1
0,"HMGB1.2",1
0,"ICAM1.2",1
0,"NLRP3.1",1
0,"NLRP3.2",1
0,"CCL2",1
0.0382971014492754,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0.019,"NOTCH1",1
0,"TREM1",1
0.822288930581613,"CD177",1
0,"C5AR1",1
0.11795243902439,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0,"HMGB1.3",1
0,"HMGB1.4",1
0.334355721337694,"SOCS3.3",1
0,"P2RX7.1",1
0.170907786617973,"ARG1.1",1
0.168356309650053,"ARG1.2",1
0,"ARG1.3",1
0.541104424031253,"MMP8.1",1
0,"TLR4.3",1
0.0560181818181818,"CRP.1",1
0,"IL1B.1",1
0,"TLR4",2
0.124878048780488,"CX3CR1",2
0.210205994262477,"HMGB1",2
0,"HMGB1.1",2
0,"HIF1A",2
0,"CD14",2
1.0608818011257,"MAPK14",2
0,"ICAM1",2
0,"ICAM1.1",2
0.0192307692307692,"TNFSF10",2
0.137678048780488,"TNFSF10.1",2
0.564740321331785,"CXCL8",2
0.388804878048781,"S100A8",2
0.59609756097561,"S100A9",2
0.378232011890549,"BCL2",2
0.4754082344936,"BCL2.1",2
0,"VCAM1",2
1.04078201306372,"MMP9",2
0,"CXCL10",2
0.124108818011257,"TLR2",2
0,"IL1B",2
0,"IL6",2
0.870256812763616,"IL1R2",2
0,"CRP",2
0.611707317073171,"ITGAM",2
1.20961272422248,"S100A12",2
0.337335713444091,"CX3CR1.1",2
0.152084257206208,"PTX3",2
0.863702313946216,"ARG1",2
0.375495463650289,"CCR7",2
0,"SOCS3",2
0,"SOCS3.1",2
0.297244444444444,"ELANE",2
0.036,"CCR2",2
0,"CCL25",2
0,"BCL2.2",2
0.15110243902439,"BCL2.3",2
0,"NLRP3",2
0.0189473684210526,"P2RX7",2
0,"TNF",2
0.247591181988743,"MMP8",2
0.0189473684210526,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0,"HLA.DRA",2
0,"MYD88",2
0.204878048780488,"GATA3",2
0.615311111111111,"GATA3.1",2
1.30032103397957,"GATA3.2",2
0.371925336376171,"C3AR1",2
0.0188888888888889,"CCL19",2
0,"IFNG",2
0.708039747064137,"MAPK14.1",2
0.0365217391304348,"CALCA",2
0,"CALCA.1",2
0.0174308300395257,"PLAUR",2
0.203429851990828,"HLA.DRA.1",2
0.62680487804878,"MAPK14.2",2
0,"IFNA2",2
0.99510697494188,"IL1R2.1",2
0.129594922265012,"CXCL8.1",2
1.04789356984479,"MAPK14.3",2
