"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.959845852892625,0.975277777777778,0.9998,0.956,1,1,0.963809523809524
"CX3CR1",0.963299316185545,0.977777777777778,0.9996,0.96,1,1,0.966666666666667
"HMGB1",0.961464281994822,0.976666666666667,0.9992,0.958,1,1,0.965
"HMGB1.1",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"HIF1A",0.959845852892625,0.975277777777778,1,0.956,1,1,0.963809523809524
"CD14",0.961464281994822,0.976666666666667,0.9994,0.958,1,1,0.965
"MAPK14",0.959845852892625,0.975277777777778,0.9984,0.956,1,1,0.963809523809524
"ICAM1",0.963299316185545,0.977777777777778,1,0.96,1,1,0.966666666666667
"ICAM1.1",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"TNFSF10",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"TNFSF10.1",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"CXCL8",0.961464281994822,0.976666666666667,0.9992,0.958,1,1,0.965
"S100A8",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"S100A9",0.963299316185545,0.977777777777778,1,0.96,1,1,0.966666666666667
"BCL2",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"BCL2.1",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"VCAM1",0.963299316185545,0.977777777777778,0.9996,0.96,1,1,0.966666666666667
"MMP9",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"CXCL10",0.963299316185545,0.977777777777778,1,0.96,1,1,0.966666666666667
"TLR2",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"IL1B",0.963299316185545,0.977777777777778,0.9996,0.96,1,1,0.966666666666667
"IL6",0.959845852892625,0.975277777777778,0.9996,0.956,1,1,0.963809523809524
"IL1R2",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"CRP",0.959845852892625,0.975277777777778,0.9992,0.956,1,1,0.963809523809524
"ITGAM",0.959845852892625,0.975277777777778,1,0.956,1,1,0.963809523809524
"S100A12",0.963299316185545,0.977777777777778,1,0.96,1,1,0.966666666666667
"CX3CR1.1",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"PTX3",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"ARG1",0.961680887083348,0.976388888888889,1,0.958,1,1,0.96547619047619
"CCR7",0.961464281994822,0.976666666666667,0.9998,0.958,1,1,0.965
"SOCS3",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"SOCS3.1",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"ELANE",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"CCR2",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
"CCL25",0.9596292478041,0.975555555555556,1,0.956,1,1,0.963333333333333
"BCL2.2",0.961464281994822,0.976666666666667,1,0.958,1,1,0.965
"BCL2.3",0.961464281994822,0.976666666666667,0.9996,0.958,1,1,0.965
