"Feature","Mean_Importance","SD_Importance"
"ARG1",1.20403536730868,0.530133886708984
"GATA3.2",1.20084254333667,0.484676094735749
"MAPK14.1",1.18573464143285,0.449092230879299
"MAPK14.2",1.17145128488391,0.464060929938304
"S100A9",1.14806712587882,0.44053285248098
"ITGAM",1.12899237720178,0.502843729675229
"MAPK14.3",1.11829143225835,0.496430229796673
"CD177",0.959054023126959,0.449430073918955
"MMP8",0.933429718076608,0.430739001776366
"S100A12",0.900550967205027,0.469679173365874
"MMP8.1",0.831125112224361,0.451820947537562
"MAPK14",0.795485298155317,0.435137328863028
"S100A8",0.722806250899246,0.395908256075193
"IL1R2",0.683020127494925,0.386926357832932
"SOCS3.3",0.682493451552201,0.382321571707857
"LCN2",0.614205434595221,0.41809484280481
"BCL2.1",0.595048070342567,0.337904589376458
"IL1R2.1",0.565585279178555,0.393089946325782
"GATA3",0.452755710196716,0.343335974585025
"CCR7",0.429838659536178,0.299177608055041
"GATA3.1",0.415522342002735,0.292354313826733
"IL10",0.375493083194837,0.296710115085525
"SOCS3",0.368053041228654,0.272306951907618
"MMP9",0.345353383135851,0.254627489024464
"C3AR1",0.340143398392764,0.317847451363111
"OLFM4",0.315228051972892,0.264158079266519
"FCGR1A",0.257683681406491,0.246681923777444
"HLA.DRA",0.119568998397553,0.156612402045959
"PTX3",0.0962775032207125,0.140929446553759
"HLA.DRA.1",0.0950351524325586,0.118675456361605
"CX3CR1.1",0.0774106561534982,0.0994350719344411
"ELANE",0.0750826918492737,0.0877394337928265
"ARG1.1",0.0601826387847654,0.0914087963688194
"ARG1.2",0.0450814056322699,0.0908156337552257
"SOCS3.1",0.0385936222616247,0.0627846834560561
"BCL2",0.0365236800150167,0.0668600518669586
"CX3CR1",0.0360772482989981,0.0681626293118451
"TLR2",0.0333512481647902,0.0611180624856105
"TLR4.3",0.033171423397758,0.0566364459402466
"TNFSF10.2",0.0286528747210553,0.0553575677829812
"CXCL8",0.0285993018254906,0.0519091169449502
"TNFSF10",0.0246601548961316,0.0511322642228445
"HIF1A",0.0195923003792131,0.0446825719545421
"ICAM1.1",0.0171512157567687,0.0357519476315482
"TLR4.2",0.0167767526418484,0.0419505570357908
"NLRP3.2",0.0148743225110808,0.0333132249121023
"TNFSF10.1",0.0140365387717294,0.0401846855310681
"CCL19",0.0137491585688917,0.0348076116371404
"CALCA.2",0.0125263685846673,0.0263441976231351
"MYD88",0.0115530681956541,0.0324256614977788
"TLR4",0.0106015883367642,0.030697880634516
"IFNA1",0.0103744728584903,0.0359543112334131
"TREM1",0.0102705375221199,0.0293333152969129
"CRP",0.00855025166714789,0.0294730968710968
"CXCL8.1",0.00820233858079771,0.0241572033369366
"NOTCH1",0.00706770461219731,0.0189787152177821
"IFNG",0.00698431965594608,0.0226043412159967
"PLAUR.1",0.00689134382723005,0.0175078066123913
"LBP",0.00643906720337264,0.0174997775927998
"PLAUR.2",0.00641474858775039,0.0175841921077473
"HMGB1.2",0.00605417476740964,0.0140903993268928
"ICAM1",0.00566302670503861,0.0191346990381507
"HMGB1.3",0.00515718524633936,0.0131273406639755
"CCR2",0.00513899458775473,0.012954300929706
"IL1B",0.00498408076559216,0.012722535746558
"ARG1.3",0.00489940546354967,0.0207514557111724
"CXCL10",0.00475060376026362,0.0131963903016158
"CD14",0.00445143742415654,0.018305920546177
"CCL25",0.00438075439109818,0.0170710150964538
"C5AR1",0.00413149369522159,0.010553709177082
"NLRP3.1",0.00403568018161118,0.00967067727265953
"PLAUR",0.0039273544594252,0.0141105294585749
"NOTCH1.1",0.00365111046697768,0.0137878211842592
"CALCA.3",0.00360211618958131,0.0138169615256859
"P2RX7",0.00349919793428032,0.0104805158381992
"CRP.1",0.00333145479971339,0.00895272747934569
"CCL2",0.00322793766318599,0.00930137591930055
"HMGB1.4",0.00308775590601451,0.00935909983862676
"TNF",0.00291612425516407,0.0133037262539343
"P2RX7.1",0.00280569684819325,0.0153326683656445
"NLRP3",0.00273990776069575,0.00896395099359666
"VCAM1",0.00273920238095239,0.00968679961985199
"CALCA.1",0.00263354994039777,0.00936401654324118
"HMGB1.1",0.00260806540560889,0.00865487510052521
"IL6",0.00244581899984076,0.00783515232092466
"BCL2.3",0.00243520232161819,0.00875908645884516
"CCR2.1",0.00238547222702964,0.00872715698115128
"ICAM1.2",0.00232338082207647,0.00992179709429989
"HMGB1",0.0020439924000608,0.00955706086786683
"S100A8.1",0.00203240140865999,0.00679000800109548
"BCL2.2",0.00203073454725629,0.00685516876063624
"IL1B.1",0.00177057996440376,0.0072828245925266
"PDCD1",0.00164675271869838,0.00728374177755389
"SOCS3.2",0.00160393217893218,0.00788898741895698
"IFNA2",0.00124159489633174,0.00645320265420939
"IFNB1",0.00114333583083583,0.00454840498938047
"TLR4.1",0.000756721056721057,0.00372629361332723
"CALCA",0.000749180643917491,0.00452713592338527
"LBP.1",0.000192592592592595,0.00192592592592595
