"MeanDecreaseGini","Feature","Iteration"
0,"TLR4",1
0,"CX3CR1",1
0,"HMGB1",1
0,"HMGB1.1",1
0.131810631229236,"HIF1A",1
0,"CD14",1
1.05674418604651,"MAPK14",1
0,"ICAM1",1
0,"ICAM1.1",1
0.2055221791559,"TNFSF10",1
0,"TNFSF10.1",1
0,"CXCL8",1
0.368433538150424,"S100A8",1
1.16675876234016,"S100A9",1
0,"BCL2",1
0.188837209302326,"BCL2.1",1
0,"VCAM1",1
0.224302325581395,"MMP9",1
0,"CXCL10",1
0,"TLR2",1
0,"IL1B",1
0.01875,"IL6",1
0.609606440071556,"IL1R2",1
0.036,"CRP",1
1.69488372093023,"ITGAM",1
0.812627906976744,"S100A12",1
0,"CX3CR1.1",1
0,"PTX3",1
1.28186046511628,"ARG1",1
1.27060908084164,"CCR7",1
0,"SOCS3",1
0,"SOCS3.1",1
0.179765454184059,"ELANE",1
0,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0,"TNF",1
0.450552325581395,"MMP8",1
0.154581395348837,"IL10",1
0,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0,"IFNA1",1
0,"HLA.DRA",1
0,"MYD88",1
0.839474216380182,"GATA3",1
0.635348837209302,"GATA3.1",1
1.08208372093023,"GATA3.2",1
0.0821428571428572,"C3AR1",1
0,"CCL19",1
0.0190000000000003,"IFNG",1
1.28483330622865,"MAPK14.1",1
0,"CALCA",1
0,"CALCA.1",1
0,"PLAUR",1
0,"HLA.DRA.1",1
0.456986855409505,"MAPK14.2",1
0,"IFNA2",1
0.79692983836184,"IL1R2.1",1
0,"CXCL8.1",1
1.3155915065723,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
0.800645994832041,"LCN2",1
0.52451650055371,"OLFM4",1
0,"SOCS3.2",1
0,"TNFSF10.2",1
0,"S100A8.1",1
0,"LBP.1",1
0,"PLAUR.2",1
0,"HMGB1.2",1
0,"ICAM1.2",1
0,"NLRP3.1",1
0.0191304347826087,"NLRP3.2",1
0,"CCL2",1
0,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0,"NOTCH1",1
0,"TREM1",1
0.728253494997681,"CD177",1
0,"C5AR1",1
0,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0.0382783882783878,"HMGB1.3",1
0,"HMGB1.4",1
1.91413953488372,"SOCS3.3",1
0,"P2RX7.1",1
0,"ARG1.1",1
0.173302325581395,"ARG1.2",1
0,"ARG1.3",1
0.408859357696567,"MMP8.1",1
0,"TLR4.3",1
0,"CRP.1",1
0,"IL1B.1",1
0,"TLR4",2
0,"CX3CR1",2
0,"HMGB1",2
0,"HMGB1.1",2
0,"HIF1A",2
0,"CD14",2
0.212093023255814,"MAPK14",2
0,"ICAM1",2
0.0848076923076923,"ICAM1.1",2
0.147683720930233,"TNFSF10",2
0,"TNFSF10.1",2
0,"CXCL8",2
0.842790697674418,"S100A8",2
0.460852713178295,"S100A9",2
0,"BCL2",2
0.533471145564169,"BCL2.1",2
0,"VCAM1",2
0.333043700485561,"MMP9",2
0,"CXCL10",2
0.119302325581395,"TLR2",2
0,"IL1B",2
0,"IL6",2
0,"IL1R2",2
0.0672,"CRP",2
1.46976744186046,"ITGAM",2
1.27348837209302,"S100A12",2
0,"CX3CR1.1",2
0.177387072331993,"PTX3",2
1.20452991452991,"ARG1",2
0.193093023255814,"CCR7",2
0.331427061310782,"SOCS3",2
0.109785330948122,"SOCS3.1",2
0.0363636363636364,"ELANE",2
0,"CCR2",2
0,"CCL25",2
0,"BCL2.2",2
0,"BCL2.3",2
0,"NLRP3",2
0.0189473684210526,"P2RX7",2
0,"TNF",2
1.44398671096345,"MMP8",2
0.388691860465116,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0.0192000000000003,"HLA.DRA",2
0,"MYD88",2
1.22318106312292,"GATA3",2
0.212405869324474,"GATA3.1",2
1.4706976744186,"GATA3.2",2
0.312096937411693,"C3AR1",2
0,"CCL19",2
0.019,"IFNG",2
0.25087656529517,"MAPK14.1",2
0,"CALCA",2
0,"CALCA.1",2
0.0342857142857143,"PLAUR",2
0.110249784668389,"HLA.DRA.1",2
1.30328582145536,"MAPK14.2",2
0,"IFNA2",2
0.935511627906977,"IL1R2.1",2
0,"CXCL8.1",2
1.07162790697674,"MAPK14.3",2
0.019,"LBP",2
0.0328181818181819,"PLAUR.1",2
0.678790697674418,"LCN2",2
0.254168327796235,"OLFM4",2
0,"SOCS3.2",2
0.131694798699676,"TNFSF10.2",2
0,"S100A8.1",2
0,"LBP.1",2
