"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM1373915",7.82962,4.86514,8.30351,10.593,10.7964,9.07396,11.1883,6.03463,4.6862,9.0686,10.1947,4.17585,14.1682,14.1342,4.00381,3.57823,2.4615,12.8637,4.11986,11.0577,7.01211,3.67743,13.2632,3.45778,10.7785,13.8216,6.67539,3.8446,12.3,5.90117,6.88434,5.52681,5.46794,6.83472,3.11942,5.01881,4.83434,4.76719,3.74708,5.75382,12.5276,6.10403,5.27514,5.01406,2.51182,2.09142,8.0603,11.2417,1.98283,2.8494,5.34288,10.4305,3.94346,2.71476,10.2182,3.15418,3.28202,7.99629,7.91501,8.11582,2.36807,12.7438,2.49801,9.9695,4.84707,7.62827,12.7662,12.0419,3.60002,7.77444,5.4592,2.95658,6.29994,11.3865,4.9535,3.04648,2.94004,2.52363,2.96158,4.40237,2.36807,6.54998,7.69905,12.2572,10.4925,8.09291,4.4659,8.61283,9.98623,6.29495,8.22554,4.15166,5.05857,4.66891,2.36807,11.8761,7.22367,2.29095,7.22323,"Septic"
"GSM1373918",7.4278,5.89322,8.90002,10.7817,10.4745,10.1616,10.1185,6.16128,4.89747,8.94804,10.1706,3.58517,14.2238,14.1017,4.29244,6.34453,1.96043,11.6903,3.39277,11.1706,6.78032,3.70247,12.6571,3.58988,10.8672,13.2086,9.11453,7.25105,11.6597,8.79109,5.12365,4.15914,11.1636,9.28175,2.90048,4.88709,4.15855,5.85471,4.60707,4.8876,11.165,3.20751,5.03052,6.91731,2.52587,2.07216,10.6426,11.0375,2.1231,2.72596,6.52043,9.0876,3.83408,2.5759,8.97955,3.04552,3.40165,8.30181,10.1147,6.96415,2.07826,11.4562,2.32197,8.84046,4.35368,8.43478,11.736,11.0809,3.32818,7.62608,6.15741,2.20003,6.39964,11.4802,4.71506,3.69759,2.76233,2.21422,2.58845,4.27576,2.63749,7.44852,9.18849,10.1527,10.5958,7.5703,4.61549,7.91636,10.1669,6.76203,6.53349,6.87204,3.90714,3.96994,2.06337,10.6759,6.64734,2.15661,7.09058,"Septic"
"GSM1373921",7.4368,6.49687,8.56826,10.9007,10.7291,9.39372,10.6313,6.53581,5.90148,9.20718,10.4575,3.43132,14.0145,13.955,3.91254,5.02647,2.24699,12.8171,3.87543,11.3577,6.98883,3.2948,12.8138,3.23783,11.2757,13.226,9.39551,7.68213,11.8105,5.86376,4.88317,4.42935,9.75607,8.43365,3.2469,4.97859,3.88431,5.42545,4.41198,4.34575,11.4512,3.55325,4.67927,6.78724,2.68408,2.23385,9.38276,11.4769,2.40766,3.17478,6.53895,9.7255,3.66766,2.85191,9.33405,3.07694,3.25189,8.60559,8.88772,7.36457,2.26644,12.054,2.31546,9.21965,4.47316,8.95819,11.7206,10.6648,3.47156,8.23419,7.21114,3.70676,6.45011,11.4013,4.83979,3.45727,2.64876,2.36891,2.42095,4.69092,2.65829,7.65903,9.17285,10.5392,10.7641,8.07103,4.67525,8.28159,9.92848,6.37594,6.42683,5.98567,4.36322,4.80002,2.47925,10.8768,6.84207,2.68595,7.11739,"Septic"
"GSM1373924",8.2822,5.74187,8.60821,11.005,10.8757,10.3562,10.5747,6.39433,5.63336,9.5541,10.8001,3.43828,14.072,14.0846,3.55368,4.70324,2.1285,11.8,3.58849,11.5306,7.90127,3.4596,12.8218,3.29697,10.5729,13.3889,8.98753,5.31335,11.5101,7.14365,5.86547,4.63294,8.21329,9.26738,2.88998,4.7347,3.8855,5.90066,4.76391,4.86008,9.28495,4.30589,5.00533,7.37558,2.76168,1.81617,9.51069,11.2524,2.02579,3.39262,5.85958,10.3188,4.2004,2.51168,9.39287,3.30145,3.26376,8.55569,9.33373,7.76738,2.34297,12.174,2.57512,9.35658,4.41724,8.44649,9.31337,9.55383,3.32985,8.78493,6.28506,2.51501,6.25436,11.5962,4.80028,4.58192,2.67721,2.3738,3.05151,4.25142,2.42985,7.42472,9.91342,10.8715,10.4452,8.59726,4.43718,8.7629,10.2352,6.78116,7.35127,6.38154,3.85135,4.53184,2.25941,9.31965,7.58626,2.20946,7.90597,"Septic"
"GSM1373927",8.56603,4.8787,7.96995,10.816,10.5853,9.03932,10.9079,6.68951,5.81053,9.58914,10.9867,3.35331,14.168,13.9615,4.17542,3.75865,2.42518,12.8539,3.74649,12.047,7.58701,3.44743,13.2528,3.62114,11.0292,13.6822,7.61085,5.27297,11.9965,4.85114,6.30483,4.67932,8.22499,8.03771,3.28106,5.13348,3.56943,5.76726,4.43104,4.9548,10.0299,4.2367,5.48923,5.77913,2.55324,2.34516,7.92782,11.3202,2.38283,2.95853,5.37301,10.4863,3.80788,2.81583,9.51919,3.3214,3.76905,8.36629,7.7496,7.66457,2.04875,12.7582,2.6807,9.43417,4.25554,8.2588,9.94845,9.48229,3.7196,8.57547,5.67987,3.15095,5.99468,11.3856,4.96035,3.63024,2.57772,2.44073,2.82351,4.28406,2.30076,7.74722,9.41052,10.697,10.5734,8.6474,4.97474,9.23655,9.68766,6.49857,7.8182,5.57953,3.85725,4.29081,2.35756,10.2495,8.1691,2.33088,7.64002,"Septic"
"GSM1373930",9.50872,5.60308,8.66967,11.0385,10.9323,10.3351,10.8521,8.02361,7.37236,9.55276,10.4119,6.07483,14.1115,14.038,4.27551,4.95012,2.39232,12.0188,4.41731,12.3695,8.9173,3.93017,13.1796,4.10148,10.521,13.7076,8.48272,2.72556,10.9946,6.95973,6.88881,6.16103,5.73107,7.29119,3.12427,5.17704,4.72048,6.01276,3.61556,5.69828,10.033,3.84543,5.07913,5.76016,2.84168,2.18288,9.77206,11.4841,2.41403,3.04451,5.50097,11.2568,4.02298,2.7765,10.2995,3.2853,2.98168,8.38225,9.21699,8.31125,2.10597,12.5681,4.18783,9.93524,4.77788,8.6016,8.10215,3.40082,3.19513,8.79241,6.9345,2.99801,6.37612,11.5901,6.37612,4.13918,2.71169,2.85495,3.91022,4.65087,2.8532,7.60902,9.29917,11.6574,10.5915,9.69654,4.96959,9.73136,9.66438,6.93161,8.71181,4.56412,3.85964,4.32998,1.82584,9.4939,8.36175,2.31925,8.78854,"Septic"
"GSM1373933",8.45626,5.52969,6.89165,9.74696,10.2528,9.73928,9.96499,6.98132,5.79178,9.21758,10.5447,4.36248,13.847,13.4963,4.18939,4.61948,2.22647,11.6069,4.87166,11.3955,7.56846,3.56282,11.9965,3.9522,10.35,12.4029,8.80012,3.59079,9.43801,5.78064,5.98282,5.29104,6.79404,7.9587,3.61307,5.69014,4.66927,5.27029,4.49258,4.45335,8.51433,3.68913,5.36974,6.54517,3.06924,1.9008,8.76516,11.1027,2.59251,3.18181,5.63936,9.46851,3.975,2.90388,9.01608,3.36831,3.64109,8.88642,8.1295,6.72931,2.57579,10.8334,2.76376,8.93901,5.18291,8.69654,9.33206,7.38584,3.86505,7.45498,7.83165,3.07364,6.352,10.5678,5.22213,3.78394,2.20555,2.6298,2.82489,5.15553,2.49166,7.34626,9.53134,9.58769,10.4917,8.81232,5.24246,8.67807,8.28737,5.32905,6.33451,5.41244,3.28011,3.57703,1.96071,8.13502,6.35503,2.31658,7.1611,"Septic"
"GSM1373936",8.34676,5.70353,8.62364,10.8988,10.9101,9.90071,10.6955,6.44928,5.95421,9.46689,10.4645,3.43243,14.2521,14.0821,3.70798,5.38845,2.23023,11.7172,4.1044,11.5914,7.55516,3.5793,12.3551,3.81477,10.5648,13.7496,8.75194,2.95903,10.9216,7.39436,6.14632,4.9052,5.52373,8.89597,2.77927,4.63404,3.1285,6.40303,4.3949,4.43731,8.74811,4.73937,4.9636,6.93866,2.41936,2.31391,10.19,11.146,2.18262,3.4105,6.27257,10.4049,3.7095,2.91592,9.48451,2.96868,3.30461,7.84438,9.74189,7.66369,2.19146,11.2288,2.47065,9.27804,4.23241,8.00742,7.0978,6.03485,3.06306,9.42475,6.94606,2.51357,6.18371,11.5753,4.945,4.31188,2.83829,2.31906,3.77909,4.28124,2.2586,7.22812,9.0551,11.6189,10.5305,8.63668,4.59837,9.20536,10.1741,6.844,7.98382,6.86291,3.7446,4.69032,2.29538,8.9873,8.43788,2.12112,7.77432,"Septic"
"GSM1373939",8.44743,5.52972,7.61057,10.5526,10.6151,10.0299,10.7438,7.52045,6.68796,9.59919,10.4418,5.2429,13.7391,13.7293,3.39362,4.69977,2.71951,12.221,4.22455,11.9777,7.8952,3.47032,12.8454,3.35975,10.6816,12.5111,8.55443,6.92796,10.7178,6.17324,6.06328,4.42135,9.18431,7.83201,3.29741,5.08862,3.86549,5.76678,4.59854,4.92405,9.93025,3.50527,5.39845,5.95511,2.46062,2.39367,9.2333,11.6332,2.36863,3.49767,6.13202,10.0794,3.85418,2.8268,9.61129,3.13054,3.50796,8.81695,8.67537,7.68826,1.98846,12.3459,3.13196,9.54294,4.33564,8.74623,11.5499,10.3673,3.52457,8.15734,7.82088,2.74273,6.72655,11.1774,5.497,3.89002,2.77477,2.29214,3.54454,4.79503,2.92654,7.36155,10.1721,11.8119,10.4656,8.87445,4.76106,8.83046,9.04211,6.1973,6.86429,4.83552,4.26488,4.93348,2.24239,9.75031,7.79009,2.46483,7.8899,"Septic"
"GSM1373942",8.8394,4.77158,8.30375,10.8755,11.2373,9.73926,11.1399,6.48224,5.58425,9.12018,9.98067,3.88145,14.1956,14.1184,4.00868,4.86705,2.36915,12.5312,3.81987,11.4007,6.80202,3.68051,13.2583,3.41914,10.6022,13.8627,7.60549,5.09295,11.742,6.32904,6.77448,5.49157,5.64444,8.80856,2.93485,5.13869,3.64761,6.38539,4.2671,5.27412,12.0908,5.67537,4.98965,7.19557,2.54798,2.10244,9.15139,10.9823,2.17374,2.94514,5.21895,9.78447,4.18374,2.81583,9.93133,2.88961,3.57716,8.0024,8.76381,8.18429,1.74466,13.0249,2.85225,9.89519,4.12491,7.80562,12.0497,8.54915,3.27076,8.61136,5.35632,2.6866,6.54717,11.5237,4.90729,4.7785,3.67972,2.45642,3.24492,4.56618,2.33803,6.78083,8.20798,13.0769,10.2283,8.87432,4.41354,9.27773,9.99225,6.43534,8.4926,5.65328,4.98388,4.63606,2.70645,11.6498,8.31156,2.27895,6.80997,"Septic"
