"Feature","Mean_Importance","SD_Importance"
"TREM1",3.77665344792511,0.874000865873635
"NLRP3",2.65732916182218,0.667245204211186
"CXCL8",2.46900147138512,0.861076117475777
"CD177",1.3836400733672,0.554939133975926
"IFNG",1.22182094257468,0.649034909510118
"ELANE",1.07786042684499,0.495463355002547
"TLR4",1.07099484035781,0.544711259304182
"MYD88",0.965585391558386,0.501157328275762
"CALCA",0.869632853031921,0.47154055019233
"HIF1A",0.797860116883314,0.420813143154318
"HMGB1",0.777195049068554,0.405799472336471
"IL10",0.74961310257732,0.464944055731437
"IL1B",0.692058993075369,0.371508396550048
"NOTCH1",0.650367956502661,0.359326441886979
"CD14",0.625486257186352,0.337162153277171
"PLAUR",0.616641317018587,0.330399566100653
"VCAM1",0.589483599262355,0.35943948481421
"IL6",0.557962182026222,0.34185873324651
"CCL19",0.542777356291738,0.301475611666462
"PDCD1",0.518032112261641,0.220847019626642
"CCR7",0.50964339567633,0.293333293347119
"CX3CR1",0.486015239362047,0.220082878898905
"CCL25",0.47928394066433,0.215586084896189
"SOCS3",0.468388853579526,0.248860417604116
"MMP8",0.446820174422893,0.299597473519577
"BCL2",0.443498900930061,0.210603925975203
"S100A12",0.436352821452932,0.224882093620334
"GATA3",0.433351063076954,0.203964960705207
"ITGAM",0.430827681485716,0.247620529394161
"C5AR1",0.420581708556226,0.219503650650983
"MAPK14",0.417682932756912,0.190840149111797
"NOTCH1.1",0.406492236594751,0.228994457792652
"P2RX7",0.388470387460703,0.17083015138029
"IL1R2",0.386365404049323,0.187524148500129
"ICAM1",0.381094584892342,0.194738678206549
"IFNA2",0.374836055402832,0.153817991411499
"TLR2",0.374464304281152,0.238589644449808
"CXCL10",0.370161767384207,0.179503886915046
"IFNB1",0.364148864595161,0.177469983106845
"ARG1",0.357537187548639,0.161077564457665
"S100A9",0.33538400743599,0.18057736353095
"HMGB1.1",0.334547721068302,0.203915219082756
"C3AR1",0.323390908650091,0.130257787486941
"PTX3",0.317179584046368,0.189546966642911
"LCN2",0.313468413903814,0.146824268315842
"TNFSF10",0.310526364788914,0.136203356626525
"FCGR1A",0.303795276105189,0.124201219013256
"MMP9",0.303487736448954,0.162683347747148
"S100A8",0.293713364077059,0.132617115183227
"CRP",0.290858431408839,0.144646761334648
"LBP",0.289018216637386,0.142504418511985
"CCL2",0.282924970675993,0.130357557653946
"TNF",0.276200891402924,0.157934270814059
"OLFM4",0.272147327592502,0.113036528911355
"P2RX7.1",0.265616862241614,0.172094322852016
