"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"P2RX7",0.453915215071942,0.901693296798453,0.816091954022989,0.911877394636015,0.511494252873563,0.896620142309797,0.608045977011494
"OLFM4",0.478339665204575,0.902520268474216,0.80334595959596,0.909090909090909,0.539772727272727,0.900996572871573,0.626325757575757
"LBP",0.461761071866538,0.897689312461404,0.801539491298527,0.895582329317269,0.560240963855422,0.905087014725569,0.578313253012048
"NOTCH1",0.441819872684322,0.901225536432268,0.818399044205496,0.910394265232975,0.510752688172043,0.896624850657109,0.583154121863799
"HMGB1",0.428562655968158,0.89590404387876,0.79320987654321,0.902469135802469,0.505555555555556,0.894263668430335,0.572222222222222
"FCGR1A",0.454168570620329,0.897729925303455,0.79135101010101,0.902777777777778,0.528409090909091,0.89898088023088,0.595643939393939
"IL6",0.439565887823605,0.89544965913,0.815025252525252,0.898989898989899,0.522727272727273,0.897682178932179,0.577462121212121
"IL1B",0.440277053387903,0.894470626457211,0.810185185185185,0.893827160493827,0.538888888888889,0.900511463844797,0.562777777777778
"CXCL8",0.435560904498659,0.889813681490548,0.781976744186046,0.886304909560723,0.540697674418605,0.899732373569583,0.560658914728682
"IFNA2",0.4748280574939,0.900854327283029,0.79281045751634,0.904575163398693,0.547058823529412,0.902833800186741,0.615490196078431
"IL10",0.459113143482641,0.897676175733451,0.809974747474747,0.898989898989899,0.545454545454545,0.901893939393939,0.587121212121212
"ARG1",0.474079662630207,0.897995547146734,0.818827160493827,0.898765432098765,0.555555555555556,0.903417107583774,0.608333333333333
"ICAM1",0.440829954279913,0.897197008787566,0.798611111111111,0.902777777777778,0.517045454545455,0.89643759018759,0.58219696969697
"CD14",0.446706375476553,0.899600548023202,0.794380587484036,0.906768837803321,0.517241379310345,0.897701149425287,0.589655172413793
"ITGAM",0.465651911577298,0.900810661646575,0.809218559218559,0.907203907203907,0.532967032967033,0.89968166753881,0.609340659340659
"BCL2",0.443812782734337,0.897923116615067,0.810606060606061,0.902777777777778,0.522727272727273,0.89847132034632,0.583143939393939
"VCAM1",0.467872184045272,0.901689839228539,0.801282051282051,0.908424908424908,0.532967032967033,0.900414268271411,0.612271062271062
"MAPK14",0.456579580871982,0.903556119865648,0.803370786516854,0.912609238451935,0.52247191011236,0.899206349206349,0.596441947565543
"CX3CR1",0.440748954645944,0.899417523760934,0.807740324594257,0.906367041198502,0.51685393258427,0.89777064383806,0.577715355805243
"HIF1A",0.456192975716566,0.899360226546759,0.81547619047619,0.904761904761905,0.529761904761905,0.89937641723356,0.596031746031746
"CXCL10",0.469332898328158,0.897287503518154,0.812184343434343,0.89520202020202,0.5625,0.905073051948052,0.59375
"C5AR1",0.418733240098023,0.896660714354735,0.799313358302122,0.901373283395755,0.51123595505618,0.896847690387016,0.543071161048689
"CALCA",0.425139212495818,0.895720483125024,0.78641975308642,0.903703703703704,0.5,0.893381834215168,0.568703703703704
"CCR7",0.46123576281992,0.901821208418838,0.805555555555556,0.906768837803321,0.540229885057471,0.902349023900748,0.588697318007663
"ELANE",0.405705912381131,0.891617637173845,0.801085568326948,0.896551724137931,0.494252873563218,0.890918627987594,0.543103448275862
"GATA3",0.454419768270326,0.899989887992984,0.805250305250305,0.904761904761905,0.532967032967033,0.900401186115472,0.587912087912088
"HMGB1.1",0.471611160706479,0.905904890691909,0.795657726692209,0.91698595146871,0.522988505747126,0.89883689107827,0.623563218390805
"IFNB1",0.464655717319297,0.904817604155796,0.803682896379526,0.915106117353308,0.52247191011236,0.899050294275013,0.611423220973783
"MMP8",0.472523355349646,0.899293186830976,0.81437908496732,0.901960784313726,0.547058823529412,0.903174603174603,0.614509803921569
"MYD88",0.471126202643139,0.90265477876177,0.813953488372093,0.909560723514212,0.534883720930233,0.899275562938354,0.613372093023256
"P2RX7.1",0.468802842594821,0.901087069955126,0.809612983770287,0.905118601747815,0.544943820224719,0.902889245585875,0.601685393258427
"PLAUR",0.397212959598015,0.888236578522956,0.800820707070707,0.890151515151515,0.5,0.893294552669553,0.525189393939394
"PTX3",0.454784206982223,0.897718488840325,0.799019607843137,0.899346405228758,0.541176470588235,0.900541549953315,0.583333333333333
"S100A8",0.468710913260595,0.899594690301301,0.816666666666667,0.900653594771242,0.552941176470588,0.903940242763772,0.597843137254902
"S100A9",0.431200367339696,0.899108631306774,0.796398046398046,0.90964590964591,0.494505494505495,0.892582417582418,0.582417582417582
"CCL2",0.478380944669785,0.903228174174607,0.800710594315245,0.906976744186046,0.552325581395349,0.904102067183463,0.611240310077519
"TLR2",0.418542180642889,0.892713358293134,0.813953488372093,0.897932816537468,0.5,0.892040420819491,0.562984496124031
"TLR4",0.436927956365123,0.896106231150151,0.810723514211886,0.901808785529716,0.511627906976744,0.895561092654116,0.583139534883721
"TNFSF10",0.47783434372581,0.90358972990285,0.808429118773946,0.905491698595147,0.563218390804598,0.907060755336617,0.596551724137931
"SOCS3",0.456190301726277,0.902088720368889,0.802746566791511,0.911360799001248,0.51685393258427,0.897815230961298,0.60561797752809
"C3AR1",0.457471540882241,0.904352053819933,0.809343434343434,0.914141414141414,0.522727272727273,0.899481421356421,0.594507575757576
"IL1R2",0.459088297614302,0.900181640161786,0.801630434782609,0.908212560386473,0.521739130434783,0.898356625258799,0.609601449275362
"NLRP3",0.401597753221817,0.892328288040362,0.797222222222222,0.9,0.483333333333333,0.89042328042328,0.546111111111111
"MMP9",0.451880046910053,0.897066055289739,0.812184343434343,0.900252525252525,0.534090909090909,0.899409271284271,0.585984848484848
"PDCD1",0.487401638391572,0.905183633825047,0.809803921568627,0.909803921568627,0.558823529411765,0.905350140056022,0.617450980392157
"LCN2",0.429364957965582,0.893608471821881,0.807790549169859,0.897828863346105,0.511494252873563,0.894512862616311,0.57088122605364
"S100A12",0.467248441347249,0.898564611483108,0.803294573643411,0.903100775193798,0.534883720930233,0.900133813215209,0.617829457364341
"CCL25",0.459995839304701,0.90166703385474,0.804931335830212,0.906367041198502,0.539325842696629,0.901596219011949,0.588014981273408
"CCL19",0.440651867301696,0.897382620939033,0.794250645994832,0.901808785529716,0.523255813953488,0.898029715762274,0.573255813953488
