"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.623609564462324,0.875,0.944444444444444,0.777777777777778,1,1,0.5
0.670820393249937,0.947368421052632,1,1,0.5,0.9,1
1,1,1,1,1,1,1
0.388888888888889,0.888888888888889,0.944444444444444,0.888888888888889,0.5,0.888888888888889,0.5
0.388888888888889,0.888888888888889,0.777777777777778,0.888888888888889,0.5,0.888888888888889,0.5
0.388888888888889,0.888888888888889,0.527777777777778,0.888888888888889,0.5,0.888888888888889,0.5
0.769800358919501,0.941176470588235,0.944444444444444,0.888888888888889,1,1,0.666666666666667
0.388888888888889,0.888888888888889,0.666666666666667,0.888888888888889,0.5,0.888888888888889,0.5
-0.149071198499986,0.842105263157895,0.472222222222222,0.888888888888889,0,0.8,0
-0.149071198499986,0.842105263157895,0.666666666666667,0.888888888888889,0,0.8,0
0.670820393249937,0.947368421052632,0.694444444444444,1,0.5,0.9,1
NA,NA,NA,NA,NA,NA,NA
0.388888888888889,0.888888888888889,0.944444444444444,0.888888888888889,0.5,0.888888888888889,0.5
1,1,1,1,1,1,1
0.240562612162344,0.823529411764706,0.777777777777778,0.777777777777778,0.5,0.875,0.333333333333333
0.769800358919501,0.941176470588235,1,0.888888888888889,1,1,0.666666666666667
0.670820393249937,0.947368421052632,0.666666666666667,1,0.5,0.9,1
0.769800358919501,0.941176470588235,0.944444444444444,0.888888888888889,1,1,0.666666666666667
0.769800358919501,0.941176470588235,1,0.888888888888889,1,1,0.666666666666667
0.670820393249937,0.947368421052632,0.888888888888889,1,0.5,0.9,1
0.670820393249937,0.947368421052632,0.777777777777778,1,0.5,0.9,1
0.240562612162344,0.823529411764706,0.5,0.777777777777778,0.5,0.875,0.333333333333333
0.670820393249937,0.947368421052632,0.777777777777778,1,0.5,0.9,1
0.388888888888889,0.888888888888889,0.722222222222222,0.888888888888889,0.5,0.888888888888889,0.5
0.670820393249937,0.947368421052632,0.555555555555556,1,0.5,0.9,1
1,1,1,1,1,1,1
-0.149071198499986,0.842105263157895,0.555555555555556,0.888888888888889,0,0.8,0
NA,NA,NA,NA,NA,NA,NA
0.388888888888889,0.888888888888889,0.805555555555556,0.888888888888889,0.5,0.888888888888889,0.5
1,1,1,1,1,1,1
-0.149071198499986,0.842105263157895,0.555555555555556,0.888888888888889,0,0.8,0
0.133630620956212,0.75,0.638888888888889,0.666666666666667,0.5,0.857142857142857,0.25
0.240562612162344,0.823529411764706,0.722222222222222,0.777777777777778,0.5,0.875,0.333333333333333
0.670820393249937,0.947368421052632,0.722222222222222,1,0.5,0.9,1
