"Sample","P2RX7","OLFM4","LBP","NOTCH1","HMGB1","FCGR1A","IL6","IL1B","CXCL8","IFNA2","IL10","ARG1","ICAM1","CD14","ITGAM","BCL2","VCAM1","MAPK14","CX3CR1","HIF1A","CXCL10","C5AR1","CALCA","CCR7","ELANE","GATA3","HMGB1.1","IFNB1","MMP8","MYD88","P2RX7.1","PLAUR","PTX3","S100A8","S100A9","CCL2","TLR2","TLR4","TNFSF10","SOCS3","C3AR1","IL1R2","NLRP3","MMP9","PDCD1","LCN2","S100A12","CCL25","CCL19","NOTCH1.1","TREM1","CD177","TNF","CRP","IFNG","Label"
"GSM151369",-0.198437884,0.48599872,-0.563346684,1.249767423,-0.158075392,1.325294256,-0.711836517,2.10153532,0.431939244,-0.605804741,-0.958362162,2.812151432,0.837008119,1.553149223,2.006159306,0.588975251,0.2791363,1.190453053,0.286763489,0.388332367,0.090042785,2.841505766,1.18119657,1.155416846,0.330289066,0.016437836,-0.957074165,0.942814469,0.977634251,2.657038689,0.430969685,0.197556362,-0.076024719,5.226613998,3.605086565,-1.296960831,1.498265386,2.270952702,2.16420126,0.802410066,1.091766596,2.882972002,0.212345555,2.180788755,0.472626895,1.070348263,3.875259161,-0.0404796,-0.067920081,-0.67204833,2.986268759,1.613547683,0.566300452,0.092979595,0.41412732,"Control"
"GSM151370",0.122179478,-1.098787427,-0.597340584,2.798526049,-0.4130252,4.260670185,0.094990328,2.099363089,0.976088583,0.146642715,-0.975246906,4.378702641,0.590164483,5.556304455,2.741399527,-1.609330297,3.047841311,2.842106104,-0.619866371,0.785009623,-1.752563596,-0.968093634,-0.620573759,-0.053269178,-1.081948161,-0.692935109,-0.637235105,0.302781135,0.438423097,2.950240612,0.078476511,0.036820065,0.045097295,8.940764427,6.034685612,1.885980487,4.112091064,5.017345905,1.616071582,4.158369064,3.645382643,5.036328316,1.275776148,0.558185756,-0.102713913,0.280189157,6.878979206,-2.007138252,0.103250444,3.002802372,4.154586792,2.095237017,0.305972278,-0.49215582,0.314586312,"Control"
"GSM151371",-0.557677209,-0.506293058,0.092839144,2.811640978,-0.25222528,2.404863119,0.915515542,2.200236082,1.966980577,-0.070612788,0.265224457,1.494433522,0.219488144,2.340114832,1.266418338,-0.395650595,0.265666991,1.532117844,0.458313644,-0.12612915,1.040461302,2.193260431,0.20144242,0.67722255,0.443293452,0.141524076,0.082549654,-0.242722198,0.369469225,4.035851002,-1.054213285,0.439917475,0.088424638,11.45161629,8.84150219,-0.621570885,2.163678885,3.413718224,1.007628441,2.022173643,1.278726935,3.624572039,1.090104938,-0.43540898,1.071222067,1.552789807,6.845378399,0.828735054,1.364499927,0.362362504,2.810223818,1.319280624,1.148346186,0.104391187,-0.318890035,"Control"
"GSM151372",-0.276708454,-0.148594871,-1.391715884,2.9926548,-0.156056911,2.053028345,0.345850974,2.976436138,2.469628572,-0.445608944,-2.948060513,3.171441555,-0.019768277,4.135053635,3.329853535,0.09262304,0.726912379,2.146183014,0.396223992,-0.470788687,-0.646419764,3.345572472,0.682670832,0.924800217,0.952882946,-1.97966361,0.845427871,0.039949983,-0.657265246,4.481189728,0.043734204,1.225330591,1.453531861,11.69193363,8.562107086,-1.68650496,3.454904318,3.551337481,1.72640419,1.922172308,2.621790171,2.487859011,1.010866284,-0.612352848,-0.15767704,0.983120322,4.483885765,0.25869742,1.087306857,0.618825734,4.534095287,2.986847162,0.593685627,0.533169389,1.392582774,"Control"
"GSM151373",-0.90199405,0.478168011,0.248404458,3.153762102,0.353312522,4.181369781,-0.907956004,3.429722548,1.493586421,-0.317964375,-0.287633181,4.924180031,1.253606915,4.4467659,4.734383106,0.126037285,0.279424161,2.245851278,0.643866718,-0.190371126,-0.550541043,3.997475863,0.177655444,0.530298471,0.069374651,-2.048142433,0.404309541,1.100865006,1.176139712,4.412350655,-1.012331009,1.317477703,-0.713578582,8.74793148,6.828941822,-1.658630252,3.558918238,4.959741592,3.444804192,2.021974802,3.298809767,4.453208447,1.822179317,0.480901867,-1.074871421,0.179470167,7.309065819,0.402171969,0.288340747,2.584921837,3.867735147,3.834718704,1.566460609,0.260159582,1.142879009,"Control"
"GSM151374",-0.410021186,-0.118828997,0.535745442,3.087067604,-0.72297138,4.325221539,0.811822534,4.650876522,-0.148104697,0.957493424,1.18715167,2.868533134,1.59421277,2.812154531,3.472486258,0.27705586,-0.418831348,3.026242733,1.054441452,1.190789819,-0.115206204,2.986219406,0.821798801,0.984884024,0.583743453,-2.138213873,-0.347245991,1.25883913,1.416005969,6.009585381,0.221461281,1.211385727,-0.244409084,10.28571892,4.135418892,0.102510482,3.853472471,4.255819321,4.497764587,2.793958664,2.884004831,5.141450882,1.818954706,-3.317414522,0.365487337,1.211266637,5.555380821,1.075525284,0.399132788,2.60030961,3.511004686,1.767664433,0.859269083,0.939337909,1.160267353,"Control"
"GSM151375",0.304554045,0.633450866,0.305987507,3.710173607,-0.482101381,3.080985785,0.141480476,2.621886253,0.761433363,-0.20924668,0.527940989,3.377995729,0.237248763,4.205749512,3.838129759,-0.17531155,-0.224601805,2.918440819,0.202766567,-0.30013448,0.196318641,3.163068056,0.330496848,1.736445546,0.193284526,-1.019857764,0.542702854,0.976294398,-0.018701725,3.270565987,0.890395999,0.761620283,-0.44091773,8.2663517,4.939564705,-1.526646733,4.107095242,4.300255775,2.455913067,2.269237995,2.342826128,5.36925745,0.922308087,0.156347871,-0.75773567,-0.216651648,5.775827885,-0.136272952,-0.426640689,1.053321958,4.005532742,2.171524525,0.606993675,0.149748236,0.687355816,"Control"
"GSM151378",0.719024241,0.465586275,0.870169699,3.926913261,-0.250492781,3.031396389,0.684046268,3.157252789,2.343071938,0.621838987,-0.204281688,5.84082222,0.511831224,4.486231327,3.774226189,-0.100594699,-0.292006582,2.668226242,0.309345007,0.8071841,0.482195139,3.53459096,0.043647766,1.208748817,0.208487988,-2.206514597,-0.345125884,1.40368247,1.095773101,4.657283783,0.130031332,1.225821614,-0.3843714,7.876503944,5.766209602,0.067185834,5.107755184,4.587752819,2.583229065,3.127263069,3.55284214,5.276556969,2.561388016,1.063958526,1.118458271,0.850692511,5.262365341,0.905757844,0.068573311,2.854725361,4.377040386,4.724649429,0.27472192,0.307650596,0.556980133,"Control"
"GSM151379",0.001861746,-0.414241523,0.822590113,2.832317829,0.757273197,3.902556419,-1.107078314,4.604314804,1.814838648,0.056389734,-0.252766132,5.734895706,0.590160966,4.262248516,3.926527977,-0.359173506,-0.290364087,2.584730148,0.69579494,0.634506643,-0.902079821,4.579203129,-0.132763624,0.780088723,0.139982283,-1.910458922,1.220063567,1.466460228,1.10620296,4.930932522,-1.234539986,1.081161618,-0.419298232,9.156558037,5.766479015,-1.698821902,5.335689545,5.622383118,3.382437944,2.582103968,2.264338255,5.592110157,1.045591593,-0.556078672,0.334677964,0.580799758,7.723667145,0.414729118,0.470557362,2.537294626,3.595344067,3.892170429,-0.125991687,-0.127062038,0.351144105,"Control"
"GSM151381",0.771098018,0.809342444,1.268760085,3.202097893,0.363689691,1.890601993,1.118806958,1.921019554,2.033256531,-0.800350785,-0.72148627,4.047688007,0.470068157,3.448247671,2.582664728,0.590527415,0.104094245,1.637208104,0.943446934,0.290655404,0.654874384,3.567621469,0.822942138,0.853176892,-1.021184564,-0.385967255,-1.064819813,1.363507032,3.051555872,3.056210518,1.462040901,0.165655524,-0.541702747,9.90753746,5.672858238,-1.224604368,3.72345376,3.651511908,0.891766965,2.443745852,1.706666112,4.155301094,1.814381719,-1.480126619,2.495450735,0.727052152,3.221133947,1.715832472,-1.12469089,0.667770863,3.232340336,2.069056988,0.710107803,0.327524036,0.115665972,"Control"
