"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"CD177",6.06172011443652,4.11503749060591,"Up_in_Sepsis",178.5,0.00456744097763716,0.615384615384615,0.138116597507428
"SOCS3",12.4274504573402,10.8744316730122,"Up_in_Sepsis",176,0.00521194707575202,0.592760180995475,0.138116597507428
"CCL2",3.77587330047339,4.47657240332766,"Down_in_Sepsis",51.5,0.00980817155031993,-0.53393665158371,0.173277697388985
"GATA3",8.24452582333262,9.06760727290127,"Down_in_Sepsis",64,0.0532545924197467,-0.420814479638009,0.403213342606654
"IL10",5.31693833981339,4.52824516178574,"Up_in_Sepsis",160,0.0389420661432024,0.447963800904977,0.403213342606654
"MMP8",6.54531759599706,4.91263151256897,"Up_in_Sepsis",158.5,0.0467918558580999,0.434389140271493,0.403213342606654
"NOTCH1",11.1507586173747,10.7546457693254,"Up_in_Sepsis",158,0.0480754777164467,0.429864253393665,0.403213342606654
"OLFM4",5.57089402107289,4.69772669014646,"Up_in_Sepsis",150.5,0.0979273107962484,0.361990950226244,0.485808716360283
"MAPK14",11.707378551379,11.4185011005808,"Up_in_Sepsis",143,0.183324043909541,0.294117647058824,0.485808716360283
"FCGR1A",8.34743028482036,7.11034953658722,"Up_in_Sepsis",145,0.156925480451086,0.312217194570136,0.485808716360283
"HLA.DRA",11.8105001430637,12.8841729829241,"Down_in_Sepsis",71,0.103259080568321,-0.357466063348416,0.485808716360283
"CXCL10",4.8645842910541,5.12147536616461,"Down_in_Sepsis",77,0.166300089432836,-0.30316742081448,0.485808716360283
"MMP9",6.50056525820536,5.24346381870852,"Up_in_Sepsis",150,0.103259080568321,0.357466063348416,0.485808716360283
"P2RX7",9.60839779638574,9.12984207484097,"Up_in_Sepsis",144,0.169752634125711,0.30316742081448,0.485808716360283
"S100A8",12.9178748232272,11.3690451177517,"Up_in_Sepsis",147,0.133427789029462,0.330316742081448,0.485808716360283
"S100A12",10.2909726127604,8.60017149079942,"Up_in_Sepsis",150,0.103259080568321,0.357466063348416,0.485808716360283
"CCL19",3.51977504698505,3.62303917095553,"Down_in_Sepsis",91,0.178465261096238,-0.176470588235294,0.485808716360283
"TNF",8.6632238892442,8.78047430483943,"Down_in_Sepsis",78,0.183324043909541,-0.294117647058824,0.485808716360283
"C3AR1",9.82346278525927,8.84312094938158,"Up_in_Sepsis",144,0.169752634125711,0.30316742081448,0.485808716360283
"CALCA",3.79177129120694,3.88301342832909,"Down_in_Sepsis",79,0.16554758195055,-0.285067873303167,0.485808716360283
"ITGAM",12.5341817447837,11.7785631460959,"Up_in_Sepsis",139,0.245357454940032,0.257918552036199,0.556605598867313
"LBP",3.5512588510719,3.49562655753079,"Up_in_Sepsis",123.5,0.226487246649955,0.117647058823529,0.556605598867313
"S100A9",14.3864746332441,13.1193807615985,"Up_in_Sepsis",139,0.245357454940032,0.257918552036199,0.556605598867313
