"Feature","Mean_Importance","SD_Importance"
"SOCS3",0.744222440981276,0.288989610479621
"CD177",0.640948848122633,0.265009145308202
"IL10",0.569682174248071,0.200007159735318
"NOTCH1",0.51414916270582,0.216150795954363
"CCL2",0.509785436929089,0.246856632506943
"TNF",0.509582553837563,0.226140602173362
"CXCL10",0.359377667361369,0.1720859365392
"OLFM4",0.350850931318098,0.183065480050715
"MMP8",0.350403214011698,0.164009307313023
"HLA.DRA",0.311690721892051,0.127420329159615
"GATA3",0.30742342552878,0.160603810432762
"PDCD1",0.302134317962666,0.13299933429585
"CALCA",0.291709330615882,0.161619491398144
"S100A12",0.288878868080726,0.123500668105495
"VCAM1",0.269886857330476,0.159554153668367
"S100A8",0.264750742338218,0.12194394842833
"MMP9",0.238411696751023,0.128031323823053
"P2RX7",0.237924304905425,0.128521318355528
"ELANE",0.228188953076219,0.11097111203063
"CX3CR1",0.226807615255557,0.117027108389516
"BCL2",0.225419546585334,0.12866480690829
"FCGR1A",0.215507661997684,0.10976893493881
"C3AR1",0.189787420736223,0.0875187003751183
"MAPK14",0.185282784566252,0.0968492318175901
"S100A9",0.184821148227116,0.0977172484229571
"CXCL8",0.181904884924006,0.0982431698263746
"ARG1",0.176348749324808,0.0946133543212544
"IL1B",0.169876585514708,0.0877033181673492
"MYD88",0.163390774865935,0.0915269297772782
"HIF1A",0.157814778347062,0.0806798550747071
"PTX3",0.150789945631822,0.0774727810662898
"NLRP3",0.150735452876651,0.0789560583209115
"IL1R2",0.149638866751915,0.0731448252856468
"ITGAM",0.146151433156205,0.0719606630286637
"TREM1",0.144079311192963,0.0789516572631015
"CCR7",0.141981757480656,0.0858643874856552
"HMGB1",0.138649719173896,0.0707630005538104
"CCR2",0.135446474122816,0.0827898965653817
"IL6",0.126161619403746,0.0784568224390934
"ICAM1",0.123297767264047,0.0756176085533235
"PLAUR",0.122480758735855,0.062819965989779
"LCN2",0.119894437559523,0.0591290874926968
"IFNG",0.115020859069749,0.0732040874295197
"TNFSF10",0.114916413030731,0.057241057215142
"CD14",0.0985435996757508,0.0586080787134519
"C5AR1",0.0946355947905961,0.0565919736158329
"TLR2",0.0858997842071124,0.048714784120431
"TLR4",0.0837402910972911,0.0514633103194727
"CCL25",0.0632894701470184,0.0557397523165401
"CCL19",0.0630862735097349,0.0468351593920122
"IFNB1",0.0628486710727225,0.0469726087330127
"LBP",0.0162406504343646,0.0200949935282351
"CRP",0.0130476768049795,0.0219799987895116
"IFNA1",0,0
"IFNA2",0,0
