"MeanDecreaseGini","Feature","Iteration"
0.177784075573549,"OLFM4",1
0.144355118565645,"NLRP3",1
0.289475723622782,"CCR7",1
0.0435555555555555,"CRP",1
0.175043539140598,"MAPK14",1
0.198945986177565,"CX3CR1",1
0.267111661867544,"ELANE",1
0.421757035104558,"FCGR1A",1
0.365567903716509,"GATA3",1
0.252325948561243,"HIF1A",1
0.380369962201541,"HLA.DRA",1
0.043972027972028,"HMGB1",1
0.0853520923520923,"ICAM1",1
0,"IFNA1",1
0,"IFNA2",1
0.0855663865546219,"IFNB1",1
0.188349957636476,"IFNG",1
0.101854864433812,"IL1B",1
0.118658047834518,"IL6",1
0.103015585721468,"CXCL8",1
0.525089101094984,"IL10",1
0.369282942874118,"CXCL10",1
0.083874883286648,"ITGAM",1
0.19209846410899,"ARG1",1
0,"LBP",1
0.0243809523809523,"LCN2",1
0.41188646370829,"MMP8",1
0.195035588972431,"MMP9",1
0.181456582633053,"MYD88",1
0.274304093567251,"NOTCH1",1
0.206138969527205,"P2RX7",1
0.465570493077614,"PDCD1",1
0.080765639589169,"PLAUR",1
0.16182369917664,"TREM1",1
0.65976482508682,"CD177",1
0.134387037111495,"PTX3",1
0.227618023187683,"BCL2",1
0.440055172020962,"S100A8",1
0.1365,"S100A9",1
0.202607518796992,"S100A12",1
0.810674424027983,"CCL2",1
0.055569940895018,"CCL19",1
0.154443806485912,"CCL25",1
0.073611111111111,"TLR2",1
0.0676470588235294,"TLR4",1
0.647677114079591,"TNF",1
0.237338888888889,"C3AR1",1
0.0470409982174688,"C5AR1",1
0.0543764705882352,"CCR2",1
0.124461038961039,"VCAM1",1
0.140543965975545,"IL1R2",1
0.361881656905186,"CALCA",1
0.124785081585082,"TNFSF10",1
0.463407304975726,"SOCS3",1
0.0240392156862742,"CD14",1
0.142254248366013,"OLFM4",2
0.124750802139037,"NLRP3",2
0.0700653594771242,"CCR7",2
0,"CRP",2
0.22971149068323,"MAPK14",2
0.0508245614035085,"CX3CR1",2
0.468022775693517,"ELANE",2
0.171961904761905,"FCGR1A",2
0.258945102283338,"GATA3",2
0.188701465201465,"HIF1A",2
0.37080048753463,"HLA.DRA",2
0.102242063492063,"HMGB1",2
0.188270063270063,"ICAM1",2
0,"IFNA1",2
0,"IFNA2",2
0.0676153846153846,"IFNB1",2
0.105175438596491,"IFNG",2
0.243131313131313,"IL1B",2
0.173110608998844,"IL6",2
0.159748234221918,"CXCL8",2
0.654937075342958,"IL10",2
0.430939524527759,"CXCL10",2
0.227361992101466,"ITGAM",2
0.271450298067945,"ARG1",2
0.0181818181818182,"LBP",2
0.113772649572649,"LCN2",2
0.0857110166721151,"MMP8",2
0.112956349206349,"MMP9",2
0.134639971139971,"MYD88",2
0.519824386724387,"NOTCH1",2
0.282833401239284,"P2RX7",2
0.196552380952381,"PDCD1",2
0.112828877005348,"PLAUR",2
0.174838278388278,"TREM1",2
0.573057031530561,"CD177",2
0.333067299040828,"PTX3",2
0.0841245646084508,"BCL2",2
0.260600118835413,"S100A8",2
0.0286666666666667,"S100A9",2
0.275845376845377,"S100A12",2
0.403023919218037,"CCL2",2
