"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.519646472031491,0.7905273937532,0.894503546099291,0.787234042553192,0.702127659574468,0.825354609929078,0.731382978723404
"NLRP3",0.472194789038522,0.753830227743271,0.8584229390681,0.727598566308244,0.720430107526882,0.827060931899642,0.674731182795699
"CCR7",0.510128388220776,0.785608465608466,0.89010989010989,0.78021978021978,0.697802197802198,0.825091575091575,0.724358974358974
"CRP",0.537516455244227,0.780848861283644,0.879032258064516,0.74910394265233,0.763440860215054,0.853942652329749,0.71415770609319
"MAPK14",0.501367472536115,0.776915113871636,0.882246376811594,0.778985507246377,0.690217391304348,0.826992753623188,0.713768115942029
"CX3CR1",0.512103327180317,0.781322751322751,0.875457875457875,0.765567765567766,0.71978021978022,0.833333333333333,0.711538461538462
"ELANE",0.512733387837224,0.792217101894521,0.87145390070922,0.787234042553192,0.696808510638298,0.825354609929078,0.722517730496454
"FCGR1A",0.525243083380939,0.788906331763475,0.875905797101449,0.771739130434783,0.728260869565217,0.83786231884058,0.718297101449275
"GATA3",0.536221772081756,0.778368794326241,0.877659574468085,0.769503546099291,0.734042553191489,0.852836879432624,0.723404255319149
"HIF1A",0.525941702984003,0.780645161290323,0.877659574468085,0.76241134751773,0.734042553191489,0.837765957446808,0.724290780141844
"HLA.DRA",0.511463874890719,0.775405546834118,0.872282608695652,0.764492753623188,0.71195652173913,0.826992753623188,0.727355072463768
"HMGB1",0.503210031328583,0.781976446492576,0.861702127659574,0.76241134751773,0.718085106382979,0.831560283687943,0.699468085106383
"ICAM1",0.506975500046593,0.785765488991295,0.868794326241135,0.769503546099291,0.712765957446808,0.830673758865248,0.706560283687943
"IFNA1",0.524873878753985,0.777489177489177,0.882958801498127,0.749063670411985,0.747191011235955,0.849250936329588,0.710674157303371
"IFNA2",0.49907650946863,0.777846790890269,0.862007168458781,0.759856630824373,0.71505376344086,0.828853046594982,0.699820788530466
"IFNB1",0.460636256641062,0.760805860805861,0.866300366300366,0.761904761904762,0.67032967032967,0.808608058608059,0.686813186813187
"IFNG",0.508992343248832,0.774799357945425,0.882407407407407,0.755555555555556,0.722222222222222,0.833333333333333,0.713888888888889
"IL1B",0.507473645102126,0.771534391534392,0.888278388278388,0.750915750915751,0.725274725274725,0.83974358974359,0.706043956043956
"IL6",0.472439421825146,0.754112554112554,0.854868913857678,0.730337078651685,0.713483146067416,0.826779026217228,0.680711610486891
"CXCL8",0.517079032201692,0.780693581780538,0.880824372759857,0.759856630824373,0.725806451612903,0.840501792114695,0.71505376344086
"IL10",0.531172521318231,0.787105403959337,0.872222222222222,0.77037037037037,0.733333333333333,0.837962962962963,0.726851851851852
"CXCL10",0.515777965860302,0.778260869565217,0.871376811594203,0.768115942028985,0.722826086956522,0.839673913043478,0.706521739130435
"ITGAM",0.502090858650553,0.782756892230576,0.873263888888889,0.777777777777778,0.692708333333333,0.821180555555555,0.719618055555556
"ARG1",0.531309150823602,0.796964939822083,0.869565217391304,0.786231884057971,0.717391304347826,0.836050724637681,0.729166666666667
"LBP",0.519625292593922,0.776556776556777,0.870471014492754,0.753623188405797,0.739130434782609,0.846920289855072,0.705615942028985
"LCN2",0.497662023831317,0.775824175824176,0.889492753623188,0.760869565217391,0.71195652173913,0.831521739130435,0.696557971014493
"MMP8",0.523578038884095,0.779365079365079,0.892592592592593,0.766666666666667,0.727777777777778,0.844444444444444,0.714814814814815
"MMP9",0.531574419300924,0.792307692307692,0.889492753623188,0.786231884057971,0.71195652173913,0.834239130434783,0.738224637681159
"MYD88",0.51068344599239,0.783015873015873,0.868131868131868,0.769230769230769,0.714285714285714,0.826923076923077,0.717032967032967
"NOTCH1",0.432423652139716,0.751058201058201,0.858974358974359,0.743589743589744,0.653846153846154,0.801282051282051,0.673992673992674
"P2RX7",0.499365978618135,0.767142857142857,0.885531135531135,0.750915750915751,0.714285714285714,0.82967032967033,0.711538461538462
"PDCD1",0.501439904967518,0.770786516853933,0.875,0.759259259259259,0.705555555555556,0.830555555555555,0.715740740740741
"PLAUR",0.537831628618723,0.791385767790262,0.868518518518518,0.781481481481481,0.722222222222222,0.839814814814815,0.739814814814815
"TREM1",0.488586237424691,0.766252587991718,0.865591397849462,0.74910394265233,0.709677419354839,0.827060931899642,0.698028673835125
"CD177",0.513523208368245,0.782645502645503,0.877289377289377,0.761904761904762,0.725274725274725,0.834249084249084,0.711538461538462
"PTX3",0.516919854945154,0.778571428571429,0.865168539325843,0.756554307116105,0.735955056179775,0.839887640449438,0.706928838951311
"BCL2",0.482042275468328,0.77111801242236,0.876344086021505,0.767025089605735,0.682795698924731,0.814516129032258,0.706989247311828
"S100A8",0.474922128540175,0.758008658008658,0.866104868913858,0.734082397003745,0.713483146067416,0.829588014981273,0.678838951310861
"S100A9",0.484502074968477,0.764074074074074,0.862037037037037,0.759259259259259,0.694444444444444,0.824074074074074,0.698148148148148
"S100A12",0.545009916846578,0.795612627073301,0.885185185185185,0.785185185185185,0.727777777777778,0.840740740740741,0.743518518518518
"CCL2",0.492368427677372,0.775608465608466,0.874542124542125,0.761904761904762,0.703296703296703,0.81959706959707,0.706043956043956
"CCL19",0.502821783579743,0.779483282674772,0.878947368421053,0.76140350877193,0.715789473684211,0.831578947368421,0.702631578947368
"CCL25",0.516631154259635,0.788095238095238,0.86996336996337,0.776556776556777,0.708791208791209,0.826923076923077,0.728021978021978
"TLR2",0.521260836337826,0.787407407407407,0.883699633699634,0.769230769230769,0.725274725274725,0.836996336996337,0.717032967032967
"TLR4",0.512467537399288,0.786801242236025,0.885304659498208,0.774193548387097,0.709677419354839,0.833333333333333,0.71415770609319
"TNF",0.480597757530377,0.763650793650794,0.841575091575092,0.747252747252747,0.703296703296703,0.818681318681319,0.698717948717949
"C3AR1",0.522216489305929,0.785099846390169,0.88741134751773,0.773049645390071,0.718085106382979,0.832446808510638,0.727836879432624
"C5AR1",0.53012884145467,0.781469979296066,0.871376811594203,0.771739130434783,0.728260869565217,0.844202898550725,0.722826086956522
"CCR2",0.504896310031203,0.774016563146998,0.869175627240143,0.756272401433692,0.720430107526882,0.832437275985663,0.706989247311828
"VCAM1",0.497520145802496,0.77388801674516,0.876811594202899,0.760869565217391,0.706521739130435,0.82518115942029,0.709239130434783
"IL1R2",0.500063772718681,0.775091575091575,0.874094202898551,0.753623188405797,0.722826086956522,0.832427536231884,0.696557971014493
"CALCA",0.504908400642911,0.77148033126294,0.86231884057971,0.757246376811594,0.722826086956522,0.83786231884058,0.697463768115942
"TNFSF10",0.510313407477981,0.767922553636839,0.861721611721612,0.754578754578755,0.725274725274725,0.842490842490842,0.705128205128205
"SOCS3",0.470021346551874,0.759811616954474,0.834239130434783,0.753623188405797,0.679347826086957,0.809782608695652,0.705615942028985
