"Feature","Mean_Importance","SD_Importance"
"S100A8",0.0623666666666667,0.037212934164559
"CCL2",0.061,0.0403867387198075
"IFNG",0.0607333333333333,0.039866725223204
"PTX3",0.0583,0.0339950976857939
"CXCL8",0.0582,0.0349873153220645
"IL1R2",0.0580666666666667,0.0395632156922905
"GATA3",0.0579333333333333,0.0360874981072511
"IFNB1",0.0570666666666667,0.0387900041505251
"CALCA",0.0567666666666667,0.0383599088087542
"CCL25",0.0563666666666667,0.036116456480831
"TLR2",0.0558333333333333,0.041886959739089
"NLRP3",0.0558,0.0372651493761221
"FCGR1A",0.0557666666666667,0.0380054193075834
"HLA.DRA",0.0556666666666667,0.0421916423019379
"CX3CR1",0.0556,0.0420967833625386
"S100A9",0.0556,0.0411148783422727
"SOCS3",0.0551666666666667,0.0330879011595256
"PLAUR",0.0546333333333333,0.0383407107525421
"TLR4",0.0545666666666667,0.0379871057336592
"MMP8",0.0541,0.0362490914782237
"NOTCH1",0.0538,0.0388268480589243
"IL6",0.0537333333333333,0.0376506476469919
"TREM1",0.0537,0.0433291761797695
"ELANE",0.0535666666666667,0.0383154108299873
"ITGAM",0.0535333333333333,0.0359192884978988
"CCL19",0.0535333333333333,0.0372054688665557
"MMP9",0.0528666666666667,0.0374106342575952
"ICAM1",0.0527,0.0389240677826678
"TNF",0.0526333333333333,0.0392330943239976
"MYD88",0.0524,0.0332189282512826
"LCN2",0.0519,0.0328218501856185
"CD177",0.0516666666666667,0.0333686681404579
"HMGB1",0.0509333333333333,0.0344593646408028
"HIF1A",0.0507333333333333,0.0333958336615269
"CXCL10",0.0506333333333333,0.0377263315772432
"C5AR1",0.0505,0.0346033318105435
"ARG1",0.0495333333333333,0.0408990435348444
"CD14",0.0494666666666667,0.0389126046013045
"S100A12",0.0494333333333333,0.0343614346767059
"C3AR1",0.0490666666666667,0.0334680107581515
"MAPK14",0.0483666666666667,0.0310370510996971
"OLFM4",0.0476333333333333,0.0380421380165591
"IL10",0.0472666666666667,0.0324647093209024
"IL1B",0.047,0.0380633885619968
"TNFSF10",0.0463666666666667,0.0346348435909907
"P2RX7",0.0388,0.0300486698361601
"CCR7",0.0287333333333333,0.0279320162334228
"CCR2",0.027,0.0244467400207696
"BCL2",0.0203666666666667,0.0234072662272519
"PDCD1",0.0168,0.0225178318165719
"IFNA2",0.0140333333333333,0.0223947594879975
"VCAM1",0.0114666666666667,0.0172869101202016
"IFNA1",0.0083,0.0135545205764852
"CRP",0,0
"LBP",0,0
