"MeanDecreaseGini","Feature","Iteration"
0.06,"OLFM4",1
0.0966666666666667,"NLRP3",1
0.03,"CCR7",1
0,"CRP",1
0.03,"MAPK14",1
0,"CX3CR1",1
0.09,"ELANE",1
0.0566666666666667,"FCGR1A",1
0.0566666666666667,"GATA3",1
0.113333333333333,"HIF1A",1
0.03,"HLA.DRA",1
0.0433333333333333,"HMGB1",1
0.0166666666666667,"ICAM1",1
0,"IFNA1",1
0.0566666666666667,"IFNA2",1
0,"IFNB1",1
0.0833333333333333,"IFNG",1
0.0266666666666667,"IL1B",1
0,"IL6",1
0.116666666666667,"CXCL8",1
0.03,"IL10",1
0,"CXCL10",1
0.0566666666666667,"ITGAM",1
0.0433333333333333,"ARG1",1
0,"LBP",1
0.0266666666666667,"LCN2",1
0.11,"MMP8",1
0.0433333333333333,"MMP9",1
0.103333333333333,"MYD88",1
0,"NOTCH1",1
0.0766666666666667,"P2RX7",1
0.0166666666666667,"PDCD1",1
0.03,"PLAUR",1
0.116666666666667,"TREM1",1
0,"CD177",1
0.0866666666666667,"PTX3",1
0,"BCL2",1
0.0866666666666667,"S100A8",1
0.0433333333333333,"S100A9",1
0.08,"S100A12",1
0.1,"CCL2",1
0,"CCL19",1
0.0566666666666667,"CCL25",1
0.0733333333333333,"TLR2",1
0.0766666666666667,"TLR4",1
0.03,"TNF",1
0.106666666666667,"C3AR1",1
0.0266666666666667,"C5AR1",1
0.0433333333333333,"CCR2",1
0.0166666666666667,"VCAM1",1
0.0566666666666667,"IL1R2",1
0.0466666666666667,"CALCA",1
0.0633333333333333,"TNFSF10",1
0.03,"SOCS3",1
0.0266666666666667,"CD14",1
0.0566666666666667,"OLFM4",2
0.14,"NLRP3",2
0.06,"CCR7",2
0,"CRP",2
0.03,"MAPK14",2
0.13,"CX3CR1",2
0.0533333333333333,"ELANE",2
0.0833333333333333,"FCGR1A",2
0.0566666666666667,"GATA3",2
0.136666666666667,"HIF1A",2
0.0566666666666667,"HLA.DRA",2
0.133333333333333,"HMGB1",2
0,"ICAM1",2
0.0266666666666667,"IFNA1",2
0,"IFNA2",2
0,"IFNB1",2
0.0733333333333333,"IFNG",2
0.03,"IL1B",2
0.03,"IL6",2
0.0566666666666667,"CXCL8",2
0.0566666666666667,"IL10",2
