"Feature","Mean_Importance","SD_Importance"
"ARG1",1.40961425328645,0.559931899311695
"MAPK14",1.31000584391064,0.530454796861789
"CD177",1.30683618296355,0.436097802409125
"S100A12",1.29105018995329,0.461006337903895
"ITGAM",1.26831489932009,0.475665514110162
"S100A9",1.2682564318202,0.527798277338585
"GATA3",1.26737114503717,0.425610427555553
"MMP9",1.26231370194258,0.494978351458782
"S100A8",1.25843549638252,0.47227131120815
"SOCS3",1.20439835268687,0.477383700522702
"FCGR1A",1.03441660897552,0.508113756149471
"IL1R2",1.01777266743551,0.531525714764714
"LCN2",1.0143417482021,0.437893984123464
"TLR2",0.818472377872635,0.478469373383852
"TLR4",0.518766979096576,0.370582977153307
"CCR7",0.407079636283841,0.294145498904177
"MMP8",0.379168010366484,0.354939387392353
"IL1B",0.364260116149245,0.346162065555651
"CD14",0.239635938569,0.260968366609646
"HIF1A",0.217748007758056,0.275508978371759
"BCL2",0.209945834402678,0.253170364159511
"HLA.DRA",0.206322947328949,0.195864265585155
"MYD88",0.148541953193881,0.183696566738095
"HMGB1",0.0936165136852527,0.122112328593991
"OLFM4",0.0911969289716869,0.157277276077298
"TNFSF10",0.0867332151154585,0.131815159555447
"PLAUR",0.0802379060983578,0.138780339384878
"IL10",0.0683026429032688,0.109976417019769
"PDCD1",0.0446233598604666,0.0916429566830584
"CX3CR1",0.0359344389988228,0.0791604390176066
"C3AR1",0.0311215758922169,0.0708906533949048
"TREM1",0.0279993838012693,0.070525980381185
"PTX3",0.0222417415609866,0.049089587304771
"ELANE",0.0195697881818227,0.0508796546094031
"C5AR1",0.0107896462704131,0.0349018012547488
"CCR2",0.010531400797355,0.0351788887163064
"IL6",0.0088902289307438,0.0420767353114684
"ICAM1",0.00504674275307795,0.0217329694251388
"IFNG",0.00416380466725628,0.0111635181472732
"CCL2",0.00401400597309293,0.0167747374902622
"NOTCH1",0.00395238496883234,0.0217019850207261
"P2RX7",0.00279989300648821,0.00996308349956379
"TNF",0.00277987577639752,0.016086184790266
"CXCL8",0.00150466970566513,0.00576476725597912
"CXCL10",0.00127271014492754,0.00685175840960157
"NLRP3",0.00112464285714286,0.00789002902715282
"CCL25",0.000905713489409142,0.0058407045255272
"CALCA",0.000564624183006536,0.00322677847941879
"LBP",0.000373949579831933,0.00263089528463662
"CRP",0.000372222222222222,0.00261897947642634
"CCL19",0.000361904761904762,0.00361904761904762
"VCAM1",1e-04,0.001
"IFNA1",0,0
"IFNA2",0,0
