"MeanDecreaseGini","Feature","Iteration"
0.801428571428571,"ARG1",1
0.0371428571428572,"BCL2",1
0,"C3AR1",1
0.190909090909091,"C5AR1",1
0,"CALCA",1
0,"CCL19",1
0,"CCL2",1
0,"CCL25",1
0,"CCR2",1
0.17952380952381,"CCR7",1
0,"CD14",1
1.01238095238095,"CD177",1
0,"CRP",1
0,"CX3CR1",1
0,"CXCL10",1
0,"CXCL8",1
0.162380952380952,"ELANE",1
0,"FCGR1A",1
0.762857142857143,"GATA3",1
1.39809523809524,"HIF1A",1
0.373070607553366,"HLA.DRA",1
0,"HMGB1",1
0,"ICAM1",1
0,"IFNA1",1
0,"IFNA2",1
0,"IFNG",1
0.0190909090909091,"IL10",1
0,"IL1B",1
1.15926420890937,"IL1R2",1
0,"IL6",1
1.00571428571429,"ITGAM",1
0,"LBP",1
1.83666666666667,"LCN2",1
1.63238095238095,"MAPK14",1
0,"MMP8",1
1.02380952380952,"MMP9",1
0,"MYD88",1
0,"NLRP3",1
0,"NOTCH1",1
0,"OLFM4",1
0,"P2RX7",1
0,"PDCD1",1
0,"PLAUR",1
0.160952380952381,"PTX3",1
1.78333333333333,"S100A12",1
2.02904761904762,"S100A8",1
0.606453201970443,"S100A9",1
0.988095238095238,"SOCS3",1
1.82142857142857,"TLR2",1
0.985973886328725,"TLR4",1
0,"TNF",1
0,"TNFSF10",1
0,"TREM1",1
0,"VCAM1",1
2.765,"ARG1",2
0.911303418803419,"BCL2",2
0,"C3AR1",2
0,"C5AR1",2
0,"CALCA",2
0,"CCL19",2
0,"CCL2",2
0,"CCL25",2
0,"CCR2",2
0.674714285714286,"CCR7",2
0.171428571428571,"CD14",2
0.77,"CD177",2
0,"CRP",2
0.149333333333333,"CX3CR1",2
0,"CXCL10",2
0.0191666666666667,"CXCL8",2
0,"ELANE",2
0.530833333333333,"FCGR1A",2
1.58095238095238,"GATA3",2
0.383095238095238,"HIF1A",2
0.19047619047619,"HLA.DRA",2
0,"HMGB1",2
0,"ICAM1",2
0,"IFNA1",2
0,"IFNA2",2
0,"IFNG",2
0.0355555555555556,"IL10",2
0.594285714285714,"IL1B",2
0.421269841269841,"IL1R2",2
0,"IL6",2
1.39857142857143,"ITGAM",2
0,"LBP",2
0.811904761904762,"LCN2",2
1.00714285714286,"MAPK14",2
0.0192307692307692,"MMP8",2
0.732857142857143,"MMP9",2
0,"MYD88",2
0,"NLRP3",2
0,"NOTCH1",2
0.354920634920635,"OLFM4",2
0,"P2RX7",2
0.192857142857143,"PDCD1",2
0,"PLAUR",2
0,"PTX3",2
1.70498168498169,"S100A12",2
1.64666666666667,"S100A8",2
1.03571428571429,"S100A9",2
0.429642857142857,"SOCS3",2
1.20142857142857,"TLR2",2
0.12952380952381,"TLR4",2
0,"TNF",2
0,"TNFSF10",2
0,"TREM1",2
0,"VCAM1",2
1.37380952380952,"ARG1",3
0.183150183150183,"BCL2",3
0.142391534391534,"C3AR1",3
0,"C5AR1",3
0,"CALCA",3
0,"CCL19",3
0,"CCL2",3
0,"CCL25",3
0,"CCR2",3
0.160952380952381,"CCR7",3
0,"CD14",3
2.21857142857143,"CD177",3
0,"CRP",3
0,"CX3CR1",3
0,"CXCL10",3
0,"CXCL8",3
0.157349896480331,"ELANE",3
0.792380952380952,"FCGR1A",3
1.39550724637681,"GATA3",3
0.375609523809524,"HIF1A",3
0.579523809523809,"HLA.DRA",3
0,"HMGB1",3
0,"ICAM1",3
0,"IFNA1",3
0,"IFNA2",3
0,"IFNG",3
0.176009523809524,"IL10",3
0.915714285714286,"IL1B",3
2.0152380952381,"IL1R2",3
0,"IL6",3
0.613333333333333,"ITGAM",3
0,"LBP",3
0.818095238095238,"LCN2",3
1.28851428571429,"MAPK14",3
0.0192,"MMP8",3
2.02904761904762,"MMP9",3
0.511772486772487,"MYD88",3
0,"NLRP3",3
0,"NOTCH1",3
0.0382307692307692,"OLFM4",3
0,"P2RX7",3
0,"PDCD1",3
0,"PLAUR",3
0,"PTX3",3
0.830952380952381,"S100A12",3
0.998095238095238,"S100A8",3
1.31835978835979,"S100A9",3
1.07914285714286,"SOCS3",3
0,"TLR2",3
0.0185714285714286,"TLR4",3
0,"TNF",3
0,"TNFSF10",3
0,"TREM1",3
0,"VCAM1",3
1.25453781512605,"ARG1",4
0.229230769230769,"BCL2",4
0.0192592592592593,"C3AR1",4
0,"C5AR1",4
0,"CALCA",4
0,"CCL19",4
0.0188888888888889,"CCL2",4
0,"CCL25",4
0.0192,"CCR2",4
0.760990490990491,"CCR7",4
0,"CD14",4
1.20142857142857,"CD177",4
0,"CRP",4
0,"CX3CR1",4
0,"CXCL10",4
0,"CXCL8",4
0.123179723502304,"ELANE",4
2.17047619047619,"FCGR1A",4
0.99952380952381,"GATA3",4
0.164357422969188,"HIF1A",4
0,"HLA.DRA",4
0,"HMGB1",4
0,"ICAM1",4
0,"IFNA1",4
0,"IFNA2",4
0,"IFNG",4
0,"IL10",4
0.0689655172413793,"IL1B",4
1.86142857142857,"IL1R2",4
0.168791208791209,"IL6",4
1.02238095238095,"ITGAM",4
0,"LBP",4
1.32904761904762,"LCN2",4
0.617619047619048,"MAPK14",4
0.265537795537796,"MMP8",4
0.802380952380952,"MMP9",4
0,"MYD88",4
0,"NLRP3",4
0,"NOTCH1",4
0.505544286680189,"OLFM4",4
0,"P2RX7",4
0,"PDCD1",4
0,"PLAUR",4
0,"PTX3",4
1.07396313364055,"S100A12",4
1.20190476190476,"S100A8",4
1.83761904761905,"S100A9",4
1.45310924369748,"SOCS3",4
0.393492063492064,"TLR2",4
0.583626373626374,"TLR4",4
0,"TNF",4
0,"TNFSF10",4
0.0192307692307692,"TREM1",4
0,"VCAM1",4
0.605714285714286,"ARG1",5
1.02047619047619,"BCL2",5
0,"C3AR1",5
0,"C5AR1",5
0,"CALCA",5
0,"CCL19",5
0,"CCL2",5
0,"CCL25",5
0,"CCR2",5
0.20952380952381,"CCR7",5
0,"CD14",5
0.597619047619048,"CD177",5
0,"CRP",5
0.168,"CX3CR1",5
0,"CXCL10",5
0,"CXCL8",5
0,"ELANE",5
1.01333333333333,"FCGR1A",5
1.19589743589744,"GATA3",5
0.171295238095238,"HIF1A",5
0.198095238095238,"HLA.DRA",5
0.0514285714285714,"HMGB1",5
0,"ICAM1",5
0,"IFNA1",5
0,"IFNA2",5
0.0368,"IFNG",5
0,"IL10",5
0.179271708683473,"IL1B",5
1.58761904761905,"IL1R2",5
0,"IL6",5
0.996285714285714,"ITGAM",5
0,"LBP",5
1.26417582417582,"LCN2",5
1.19952380952381,"MAPK14",5
0.400952380952381,"MMP8",5
1.75714285714286,"MMP9",5
0.154285714285714,"MYD88",5
0,"NLRP3",5
0,"NOTCH1",5
0,"OLFM4",5
0,"P2RX7",5
0.183150183150183,"PDCD1",5
0,"PLAUR",5
0,"PTX3",5
1.38285714285714,"S100A12",5
1.76380952380952,"S100A8",5
0.823809523809524,"S100A9",5
1.42751879699248,"SOCS3",5
1.35808128919584,"TLR2",5
0.205714285714286,"TLR4",5
0,"TNF",5
0,"TNFSF10",5
0,"TREM1",5
0,"VCAM1",5
2.68312280701754,"ARG1",6
0.198095238095238,"BCL2",6
0.0192857142857143,"C3AR1",6
0,"C5AR1",6
0,"CALCA",6
0,"CCL19",6
0,"CCL2",6
0,"CCL25",6
0,"CCR2",6
0.371666666666667,"CCR7",6
0.019,"CD14",6
1.61328571428571,"CD177",6
0,"CRP",6
0,"CX3CR1",6
0,"CXCL10",6
0,"CXCL8",6
0.0373333333333333,"ELANE",6
1.36333333333333,"FCGR1A",6
0.598571428571429,"GATA3",6
0.142008281573499,"HIF1A",6
0.149333333333333,"HLA.DRA",6
0,"HMGB1",6
0.121560422796121,"ICAM1",6
0,"IFNA1",6
0,"IFNA2",6
0,"IFNG",6
0.1714329004329,"IL10",6
0.322493506493506,"IL1B",6
1.21238095238095,"IL1R2",6
0.0470869565217392,"IL6",6
1.21238095238095,"ITGAM",6
0,"LBP",6
1.43190476190476,"LCN2",6
0.900041943241943,"MAPK14",6
0.178835978835979,"MMP8",6
0.649312441182006,"MMP9",6
0.367809523809524,"MYD88",6
0,"NLRP3",6
0,"NOTCH1",6
0,"OLFM4",6
0,"P2RX7",6
0.0188235294117647,"PDCD1",6
0,"PLAUR",6
0.150090756302521,"PTX3",6
1.03571428571429,"S100A12",6
0.615714285714286,"S100A8",6
1.00761904761905,"S100A9",6
0.836952380952381,"SOCS3",6
2.37766666666667,"TLR2",6
0.198095238095238,"TLR4",6
0,"TNF",6
0,"TNFSF10",6
0,"TREM1",6
0,"VCAM1",6
1.43746031746032,"ARG1",7
0,"BCL2",7
0.152380952380952,"C3AR1",7
0,"C5AR1",7
0,"CALCA",7
0,"CCL19",7
0.0363636363636364,"CCL2",7
0,"CCL25",7
0.0533333333333333,"CCR2",7
0.190393374741201,"CCR7",7
0.128042328042328,"CD14",7
2.2152380952381,"CD177",7
0,"CRP",7
0,"CX3CR1",7
0,"CXCL10",7
0,"CXCL8",7
0,"ELANE",7
1.45103519668737,"FCGR1A",7
1.80285714285714,"GATA3",7
0.205714285714286,"HIF1A",7
0.228947368421053,"HLA.DRA",7
0,"HMGB1",7
0,"ICAM1",7
0,"IFNA1",7
0,"IFNA2",7
0,"IFNG",7
0.0814814814814815,"IL10",7
0.205714285714286,"IL1B",7
1.35634920634921,"IL1R2",7
0,"IL6",7
0.963809523809524,"ITGAM",7
0,"LBP",7
1.37047619047619,"LCN2",7
1.55619047619048,"MAPK14",7
0.587619047619048,"MMP8",7
0.800952380952381,"MMP9",7
0,"MYD88",7
0,"NLRP3",7
0,"NOTCH1",7
0.019047619047619,"OLFM4",7
0,"P2RX7",7
0,"PDCD1",7
0.173160173160173,"PLAUR",7
0,"PTX3",7
1.15142857142857,"S100A12",7
0.774285714285714,"S100A8",7
0.411904761904762,"S100A9",7
1.02857142857143,"SOCS3",7
0.987619047619048,"TLR2",7
0.602005012531328,"TLR4",7
0,"TNF",7
0,"TNFSF10",7
0,"TREM1",7
0,"VCAM1",7
0.602857142857143,"ARG1",8
0,"BCL2",8
0,"C3AR1",8
0.0192592592592593,"C5AR1",8
0,"CALCA",8
0,"CCL19",8
0,"CCL2",8
0.0192307692307692,"CCL25",8
0,"CCR2",8
0.198095238095238,"CCR7",8
0.229166666666667,"CD14",8
0.993333333333333,"CD177",8
0,"CRP",8
0.119047619047619,"CX3CR1",8
0,"CXCL10",8
0,"CXCL8",8
0,"ELANE",8
0.384761904761905,"FCGR1A",8
0.627619047619048,"GATA3",8
0.388792688792689,"HIF1A",8
0.17952380952381,"HLA.DRA",8
0,"HMGB1",8
0,"ICAM1",8
0,"IFNA1",8
0,"IFNA2",8
0,"IFNG",8
0,"IL10",8
0,"IL1B",8
0.76981684981685,"IL1R2",8
0,"IL6",8
1.64285714285714,"ITGAM",8
0,"LBP",8
0.999047619047619,"LCN2",8
2.35285714285714,"MAPK14",8
1.20714285714286,"MMP8",8
1.44904761904762,"MMP9",8
0.20952380952381,"MYD88",8
0,"NLRP3",8
0,"NOTCH1",8
0.0192307692307692,"OLFM4",8
0,"P2RX7",8
0.20952380952381,"PDCD1",8
0.0833333333333333,"PLAUR",8
0.183150183150183,"PTX3",8
