"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.846237229022343,0.939167075765014,0.974226804123711,0.938144329896907,0.891752577319588,0.954810996563574,0.914089347079038
"CCR2",0.841650554564022,0.93744068073965,0.978737113402062,0.935567010309278,0.891752577319588,0.954295532646048,0.907903780068729
"IL10",0.841037129219433,0.93609022556391,0.977631578947368,0.928947368421053,0.9,0.958947368421053,0.9
"HIF1A",0.851931877189403,0.940148911798396,0.964561855670103,0.930412371134021,0.912371134020619,0.964432989690722,0.902061855670103
"ITGAM",0.847861993752634,0.939773478835979,0.984375,0.934895833333333,0.901041666666667,0.958854166666667,0.90625
"TREM1",0.809920457369436,0.927048260381594,0.96780303030303,0.924242424242424,0.868686868686869,0.945454545454545,0.888888888888889
"HLA.DRA",0.842741405035301,0.943783068783069,0.96875,0.942708333333333,0.890625,0.954166666666667,0.902777777777778
"C5AR1",0.818373671233969,0.932337220602527,0.975127551020408,0.938775510204082,0.857142857142857,0.94030612244898,0.908163265306122
"PLAUR",0.839826419172203,0.938872855539522,0.972222222222222,0.941919191919192,0.878787878787879,0.95,0.915824915824916
"LCN2",0.840371873647551,0.935976108656521,0.972938144329897,0.927835051546392,0.902061855670103,0.959278350515464,0.896907216494845
"NLRP3",0.811958572698863,0.929543245869776,0.973852040816326,0.933673469387755,0.857142857142857,0.939455782312925,0.901360544217687
"IL6",0.825926116941258,0.933848797250859,0.97229381443299,0.938144329896907,0.865979381443299,0.944845360824742,0.910652920962199
"BCL2",0.838736845674447,0.94047619047619,0.980025773195876,0.943298969072165,0.876288659793814,0.95,0.915807560137457
"CALCA",0.862048506677438,0.946285387007036,0.981314432989691,0.938144329896907,0.917525773195876,0.965463917525773,0.907216494845361
"TLR4",0.847163040648819,0.941013558201058,0.978515625,0.9375,0.895833333333333,0.9578125,0.909722222222222
"ELANE",0.849767417676393,0.939018464528669,0.970025510204082,0.933673469387755,0.903061224489796,0.960204081632653,0.908163265306122
"NLRP3.1",0.826273477070579,0.935567010309278,0.973582474226804,0.93298969072165,0.881443298969072,0.948625429553265,0.895189003436426
"CCR7",0.848720138044771,0.942419825072886,0.980229591836735,0.943877551020408,0.887755102040816,0.954081632653061,0.918367346938776
"CCL2",0.833274761879243,0.936467026673212,0.963917525773196,0.93298969072165,0.88659793814433,0.953092783505155,0.900343642611684
