"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.5,0.666666666666667,0.75,0.5,1,1,0.5
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
0.25,0.75,0.875,0.75,0.5,0.75,0.5
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.875,0.75,1,1,0.666666666666667
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.875,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,0.9375,1,0.5,0.8,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,0.875,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-0.316227766016838,0.666666666666667,0.625,0.75,0,0.6,0
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.25,0.75,0.875,0.75,0.5,0.75,0.5
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.875,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.875,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.666666666666667,1,0.5,1,1,0.5
0.707106781186548,0.857142857142857,0.75,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
0.707106781186548,0.857142857142857,0.75,0.75,1,1,0.666666666666667
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.888888888888889,1,1,0.5,0.8,1
0.632455532033676,0.888888888888889,0.9375,1,0.5,0.8,1
NA,NA,NA,NA,NA,NA,NA
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,0.75,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.666666666666667,1,0.5,1,1,0.5
1,1,1,1,1,1,1
