"Feature","Mean_Importance","SD_Importance"
"MMP8.1",1.57917035501209,0.77064367472823
"MAPK14.2",1.457305638482,0.645015373926381
"MAPK14.1",1.31204450459555,0.646678203293652
"MMP8",1.28300895213606,0.62327470206516
"S100A8.1",1.2783350445622,0.763694624868268
"SOCS3.2",1.25810832652932,0.637804765105544
"MAPK14.3",1.23136435952149,0.533101542123772
"CALCA.3",1.20598199626674,0.786803562302139
"BCL2.3",1.18724979627817,0.573394284777661
"CRP.1",1.1757568801181,0.636491188818753
"FCGR1A",1.08320069095728,0.635267933688339
"CALCA",1.03620483272624,0.469109068222567
"BCL2.2",0.993186266428301,0.467679954307183
"BCL2",0.925349117633371,0.49917363996124
"LCN2",0.910647187514291,0.443869866136585
"OLFM4",0.87494931451839,0.406327306803351
"S100A12",0.822565612841425,0.52541739357043
"PTX3",0.816166598483153,0.458501083141227
"HIF1A",0.725546315105079,0.455987937319251
"PLAUR.2",0.635906528524911,0.383117568709694
"MMP9",0.625933562959249,0.38871659540147
"CCL19",0.618615790203276,0.236641534245438
"MAPK14",0.582796074592052,0.365414718367829
"ARG1.3",0.57704539489168,0.378327676779871
"CRP",0.566641179555131,0.343837543887777
"S100A9",0.522541365952091,0.388245860115298
"ARG1.2",0.518033121058623,0.30574822978045
"HMGB1.4",0.492109740492098,0.312256535564582
"LBP.1",0.467972439170642,0.260852034021903
"CXCL10",0.45226832650152,0.272304782801113
"ARG1",0.445428019685077,0.310688584271633
"C5AR1",0.440447183128301,0.231355909405858
"GATA3.1",0.439638461287583,0.297127484953658
"CD14",0.434549784025943,0.310270969738515
"CCL2",0.424236245989646,0.231879757558428
"ELANE",0.411514662256715,0.276222059597525
"PDCD1",0.390710422311431,0.216545103622247
"CX3CR1.1",0.384887075366252,0.217270165769041
"GATA3",0.383642541749597,0.208230866443395
"CCR2.1",0.383284483073034,0.215947195988669
"HMGB1.2",0.373031967646918,0.231905980449963
"NLRP3.1",0.3724009639362,0.245373304380733
"IL10",0.352873788249235,0.203263540539475
"IL1R2",0.349940511440856,0.170610100912134
"BCL2.1",0.346034372026948,0.234453717162468
"ICAM1.2",0.34179454677277,0.182119649013897
"IFNA1",0.338798740669685,0.288940061477129
"CCR2",0.338235844924442,0.188572866105051
"ARG1.1",0.335980576202639,0.185049794362336
"HMGB1",0.335795365694017,0.160818087998386
"GATA3.2",0.332877858003458,0.17491766270836
"CD177",0.329196070876276,0.247371516477834
"SOCS3.1",0.328410639130575,0.229593793198567
"MYD88",0.320368524901508,0.257957515029394
"IL1R2.1",0.318618378395134,0.149229360278208
"CALCA.1",0.317102450838069,0.145504038816268
"SOCS3.3",0.311763384931064,0.187501905466255
"ICAM1",0.305414303009409,0.163388099787909
"IL6",0.297716773148792,0.247798311278717
"PLAUR.1",0.292781260536518,0.219257350272542
"S100A8",0.287337742531862,0.183257771233546
"LBP",0.286274488564906,0.15966010690403
"SOCS3",0.285087282789104,0.220329518995318
"TREM1",0.284074003813827,0.185688848806728
"ITGAM",0.277782284650203,0.142271693105531
"HMGB1.3",0.277586655157823,0.157066197931194
"P2RX7.1",0.276577736652558,0.150262990612517
"TLR4",0.275943619691554,0.217039240026657
"C3AR1",0.272908382630338,0.149852339665632
"NOTCH1.1",0.272574845858318,0.156969817292484
"CX3CR1",0.270106316769673,0.210002896309087
"NLRP3.2",0.265308779929013,0.184263324413595
"NOTCH1",0.263090363470831,0.141111914132886
"VCAM1",0.262234752662103,0.134750970777822
"P2RX7",0.261170046912052,0.225656148482624
"PLAUR",0.249966441669348,0.169154162902454
"IFNB1",0.248708418230766,0.163823753726986
"IFNG",0.24774940321338,0.127634040731237
"ICAM1.1",0.244350791100377,0.119754304889328
"CCL25",0.240447638367482,0.11709433379381
"TLR4.1",0.228951432152295,0.12143330208071
"TLR2",0.222586237734046,0.126829722305223
"TLR4.3",0.218199864133228,0.107451544156734
"CCR7",0.217627886570619,0.150146780012363
"CXCL8",0.21593180231774,0.129561993263231
"TNF",0.213189558250543,0.121895010084953
"TNFSF10.1",0.213044705932,0.134287113282632
"HMGB1.1",0.211216597137991,0.111876838990783
"CALCA.2",0.206511773074145,0.125979329290286
"CXCL8.1",0.203635720892686,0.11184208766554
"HLA.DRA",0.203555431067127,0.126956715140849
"TNFSF10",0.200410446121532,0.124694489257392
"IL1B",0.198955931794571,0.14764240537229
"NLRP3",0.197122891175398,0.127093640598431
"IL1B.1",0.190693505710538,0.116277832257374
"TNFSF10.2",0.188237208970392,0.110421914395467
"TLR4.2",0.181881290868721,0.0975847658026711
"IFNA2",0.170749035808801,0.105553475461986
"HLA.DRA.1",0.150930182112773,0.0882499505774263
