"MeanDecreaseGini","Feature","Iteration"
0.116506651243493,"TLR4",2
0.257245289024701,"CX3CR1",2
0.466866581287008,"HMGB1",2
0.168170778870222,"HMGB1.1",2
0.785756452386784,"HIF1A",2
0.658131371977024,"CD14",2
0.430971452453607,"MAPK14",2
0.172004533568514,"ICAM1",2
0.0897545093795094,"ICAM1.1",2
0.216184515202013,"TNFSF10",2
0.218812274687029,"TNFSF10.1",2
0.118126262626263,"CXCL8",2
0.339565355940356,"S100A8",2
0.167581729720922,"S100A9",2
0.522531520808362,"BCL2",2
0.333368553915397,"BCL2.1",2
0.154412674592292,"VCAM1",2
1.13887408647267,"MMP9",2
0.651703558777717,"CXCL10",2
0,"TLR2",2
0.0805546218487395,"IL1B",2
0.270299494407574,"IL6",2
0.573664760512255,"IL1R2",2
0.753802094795278,"CRP",2
0.168692118033405,"ITGAM",2
0.888910895095437,"S100A12",2
0.180189378238513,"CX3CR1.1",2
1.09484141237484,"PTX3",2
0.590389629253462,"ARG1",2
0.178125292192613,"CCR7",2
0.103151248751249,"SOCS3",2
0.316715889345862,"SOCS3.1",2
0.586855557271596,"ELANE",2
0.0917261904761905,"CCR2",2
0.419145383722591,"CCL25",2
1.09252831239866,"BCL2.2",2
1.34852031504464,"BCL2.3",2
0.215068077792267,"NLRP3",2
0.843934455300632,"P2RX7",2
0.0998287712287712,"TNF",2
3.35604726032618,"MMP8",2
0.106652902894389,"IL10",2
0.229959121911396,"PDCD1",2
0.391874265569918,"CCR2.1",2
0.383772495540966,"IFNB1",2
0.149047366694426,"IFNA1",2
0.216973418356959,"HLA.DRA",2
0.12718253968254,"MYD88",2
0.35439416187261,"GATA3",2
0.107331640803714,"GATA3.1",2
0.146921847811631,"GATA3.2",2
0.252460439748575,"C3AR1",2
0.566386248401698,"CCL19",2
0.206553266232318,"IFNG",2
1.08776117943721,"MAPK14.1",2
0.775274600134147,"CALCA",2
0.286704217295838,"CALCA.1",2
0.180223684210526,"PLAUR",2
0.0805,"HLA.DRA.1",2
0.766063209467023,"MAPK14.2",2
0.278510181261842,"IFNA2",2
0.204725108225108,"IL1R2.1",2
