"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.0794311387557643,0.789609760513912,0.648469387755102,0.796938775510204,0.285714285714286,0.789319948758724,0.286054421768707
"CX3CR1",0.0782492200821129,0.789763339712546,0.649826388888889,0.795833333333333,0.291666666666667,0.791729422198172,0.274330357142857
"HMGB1",0.0819500378130079,0.785201596710964,0.650343642611684,0.788659793814433,0.292096219931271,0.789031329495247,0.296048109965636
"HMGB1.1",0.0959075614825044,0.78928209724214,0.644791666666667,0.792708333333333,0.305555555555556,0.793585407647908,0.301066468253968
"HIF1A",0.0882088601533039,0.788239340195869,0.656529209621993,0.793814432989691,0.292096219931271,0.790354204787195,0.303313696612666
"CD14",0.0832956119111835,0.788872008133397,0.648809523809524,0.792857142857143,0.299319727891156,0.793507965956946,0.278741496598639
"MAPK14",0.07786645695024,0.780538600454943,0.661347517730496,0.779787234042553,0.297872340425532,0.788954514752387,0.291843971631206
"ICAM1",0.0667140431423301,0.781282710011731,0.656666666666667,0.785263157894737,0.280701754385965,0.785810359231412,0.284786967418546
"ICAM1.1",0.0704996945221705,0.787629102511552,0.655555555555556,0.795833333333333,0.277777777777778,0.788600288600289,0.279761904761905
"TNFSF10",0.0727515048791228,0.786024864660989,0.643617021276596,0.792553191489362,0.280141843971631,0.787148844063738,0.287208713272543
"TNFSF10.1",0.0663992608048156,0.783681747415749,0.654123711340206,0.789690721649485,0.281786941580756,0.787086624715491,0.273171330387825
"CXCL8",0.115084017869541,0.790940440531102,0.66701030927835,0.792783505154639,0.323024054982818,0.798077237767959,0.319194894452626
"S100A8",0.0926337627381567,0.791868224063948,0.657118055555556,0.8,0.291666666666667,0.791361907768158,0.304811507936508
"S100A9",0.0952170427849792,0.786300764407113,0.660137457044674,0.791752577319588,0.29553264604811,0.789782210916232,0.318777614138439
"BCL2",0.103560053800757,0.793548157616106,0.644210526315789,0.8,0.305263157894737,0.794684818105871,0.306867167919799
"BCL2.1",0.0814763036144326,0.790826423984951,0.645408163265306,0.798979591836735,0.285714285714286,0.789781930088053,0.288265306122449
"VCAM1",0.0634303941105266,0.782892493976401,0.646768707482993,0.787755102040816,0.27891156462585,0.786450142827694,0.274368318756074
"MMP9",0.0806267145815386,0.786835033626119,0.652891156462585,0.791836734693878,0.292517006802721,0.790589937273611,0.286588921282799
"CXCL10",0.0715040949075214,0.783179173803968,0.654078014184397,0.787234042553192,0.287234042553191,0.788421448527832,0.280724417426545
"TLR2",0.0901254944760245,0.787316511964624,0.648969072164948,0.791752577319588,0.302405498281787,0.793562279644754,0.293618065783014
"IL1B",0.0770967905523111,0.792480641151425,0.655272108843537,0.804081632653061,0.275510204081633,0.788994905321436,0.287706511175899
"IL6",0.0673717711108827,0.783054793937616,0.655723905723906,0.784848484848485,0.28956228956229,0.789272596090778,0.271212121212121
"IL1R2",0.0807246141859326,0.793418013380017,0.655723905723906,0.805050505050505,0.276094276094276,0.788720903114843,0.292448292448292
"CRP",0.0648018450450243,0.790741493220619,0.643939393939394,0.803030303030303,0.265993265993266,0.786954319530077,0.271524771524772
