"X.VCAM1.","X.0.952900044053041.","X.0.971858807858808.","X.0.996875.","X.0.957142857142857.","X.0.99125.","X.0.990714285714286.","X.0.966856060606061."
"VCAM1","0.952900044053041","0.971858807858808","0.996875","0.957142857142857","0.99125","0.990714285714286","0.966856060606061"
"NLRP3","0.950879037937482","0.970974358974359","0.998125","0.961428571428571","0.985","0.985","0.970444444444444"
"S100A9","0.957065184765801","0.974","0.998035714285714","0.957142857142857","0.995","0.995","0.967111111111111"
"S100A12","0.970964175499723","0.982051282051282","0.997946428571429","0.967142857142857","1","1","0.974888888888889"
"PTX3","0.961661740534945","0.977637362637363","0.99625","0.968571428571429","0.99","0.989464285714286","0.975361111111111"
"CX3CR1","0.963324312188794","0.978615384615385","0.998571428571429","0.971428571428571","0.98875","0.98875","0.977777777777778"
"CXCL10","0.962180031093578","0.9773663003663","0.998392857142857","0.968571428571429","0.99","0.989821428571429","0.976083333333333"
"CXCL8","0.959650322328042","0.97574358974359","0.998392857142857","0.962857142857143","0.9925","0.9925","0.971555555555556"
"ITGAM","0.956861596354077","0.975168498168498","0.998035714285714","0.971428571428571","0.9825","0.982142857142857","0.977722222222222"
"CD14","0.961989174626553","0.977538461538462","0.998392857142857","0.965714285714286","0.9925","0.9925","0.973333333333333"
"BCL2","0.963336597227247","0.978347985347985","0.998660714285714","0.972857142857143","0.9875","0.987142857142857","0.979277777777778"
"IFNB1","0.955662461439286","0.973981684981685","0.998125","0.964285714285714","0.9875","0.987321428571429","0.972305555555556"
"C3AR1","0.925949781317216","0.955032967032967","0.996785714285714","0.935714285714286","0.9825","0.982321428571429","0.951638888888889"
"CCL19","0.961912461439286","0.977315018315018","0.998125","0.964285714285714","0.99375","0.993571428571429","0.972305555555556"
"MYD88","0.96289888051936","0.978388278388278","0.998660714285714","0.971428571428571","0.98875","0.988035714285714","0.977666666666667"
"SOCS3","0.945043450548048","0.968234432234432","0.9975","0.961428571428571","0.98","0.978869047619048","0.969888888888889"
"IFNA2","0.967176170430099","0.980487179487179","0.998571428571429","0.971428571428571","0.9925","0.9925","0.978"
"PDCD1","0.952370759489717","0.970948717948718","0.998214285714286","0.957142857142857","0.99","0.99","0.967777777777778"
"HMGB1","0.958387462312457","0.975161172161172","0.997410714285714","0.965714285714286","0.98875","0.988571428571429","0.973861111111111"
"C5AR1","0.955857753546922","0.973538461538462","0.997232142857143","0.96","0.99125","0.99125","0.969333333333333"
"ELANE","0.963083728545259","0.978494505494505","0.998125","0.972857142857143","0.9875","0.986904761904762","0.978972222222222"
"IFNA1","0.959433745829847","0.976084249084249","0.998392857142857","0.965714285714286","0.99","0.989821428571429","0.973416666666667"
"P2RX7","0.961861596354077","0.977835164835165","0.998571428571429","0.971428571428571","0.9875","0.987142857142857","0.977722222222222"
"ICAM1","0.949654182991521","0.969956043956044","0.998660714285714","0.96","0.985","0.984821428571429","0.969638888888889"
"HLA.DRA","0.958005174401275","0.975322344322344","0.997142857142857","0.964285714285714","0.99","0.989642857142857","0.972166666666667"
"CD177","0.954433745829847","0.973417582417582","0.997857142857143","0.965714285714286","0.985","0.984821428571429","0.973416666666667"
"HIF1A","0.960785604071152","0.976622710622711","0.997857142857143","0.965714285714286","0.99125","0.991071428571429","0.973638888888889"
"MMP9","0.964476314610967","0.978956043956044","0.997589285714286","0.968571428571429","0.9925","0.992321428571429","0.975638888888889"
"OLFM4","0.954830185361181","0.972888111888112","0.997857142857143","0.964285714285714","0.98625","0.98625","0.973050505050505"
"PLAUR","0.963247599001528","0.978391941391941","0.9975","0.97","0.99","0.989821428571429","0.97675"
"TNF","0.955882898600961","0.973186813186813","0.99875","0.958571428571429","0.9925","0.992321428571429","0.968527777777778"
"GATA3","0.956958890883886","0.974399267399267","0.999107142857143","0.964285714285714","0.98875","0.988392857142857","0.972611111111111"
"CCL2","0.960726314610967","0.976956043956044","0.998392857142857","0.968571428571429","0.98875","0.988571428571429","0.975638888888889"
"CALCA","0.952073609140776","0.971520146520147","0.997678571428571","0.961428571428571","0.98625","0.986071428571429","0.970527777777778"
"IFNG","0.969697454820659","0.981923076923077","0.999017857142857","0.972857142857143","0.99375","0.99375","0.979111111111111"
"MAPK14","0.953128317033141","0.972630036630037","0.998214285714286","0.965714285714286","0.98375","0.983392857142857","0.9735"
"IL1R2","0.956781022503332","0.975399267399267","0.998482142857143","0.972857142857143","0.98125","0.980892857142857","0.978611111111111"
"MMP8","0.954476314610967","0.973622710622711","0.998928571428571","0.968571428571429","0.9825","0.982321428571429","0.975638888888889"
