"Feature","Mean_Importance"
"CD177",3.5707191528815
"ARG1",2.39204796913032
"S100A12",2.38483765993264
"LCN2",2.09802873306835
"IL1R2",1.77563575699211
"IL10",1.6742949173718
"FCGR1A",1.53493700008847
"S100A8",1.47385764551916
"OLFM4",1.43975008860184
"MMP8",1.06149162959968
"MYD88",0.822358558421482
"GATA3",0.76116895442889
"IFNA2",0.624082672359767
"CCR7",0.623685329782204
"S100A9",0.583462665073116
"MAPK14",0.574575004072988
"MMP9",0.567286731843555
"SOCS3",0.513826734837632
"BCL2",0.454654090579069
"TLR2",0.43513191456806
"ELANE",0.434756522657178
"CXCL10",0.410253949110929
"TREM1",0.318660648442927
"TNFSF10",0.292710751544953
"CCL2",0.290488705304526
"IFNA1",0.285408047659377
"PDCD1",0.254219118987308
"IFNB1",0.252323806942759
"TNF",0.246181075814558
"LBP",0.24373026973027
"VCAM1",0.214420995670996
"C3AR1",0.195305343760182
"NLRP3",0.19513675410958
"IL6",0.193871322226161
"ITGAM",0.192344186114014
"P2RX7",0.182909974492773
"CRP",0.175731905665492
"PLAUR",0.175280783462554
"PTX3",0.174234671520545
"CALCA",0.138714285714286
"HLA.DRA",0.130780833028186
"ICAM1",0.121222552417714
"CD14",0.115569080283207
"IFNG",0.105000763029226
"CCR2",0.0963281463281463
"CCL19",0.0926542172424525
"C5AR1",0.0909047619047619
"CXCL8",0.0879669312169312
"IL1B",0.0780936285207665
"CCL25",0.071983136983137
"TLR4",0.0543882783882784
"HMGB1",0.0529150432900433
"HIF1A",0.0491971326164874
"NOTCH1",0.039
"CX3CR1",0.0386666666666667
