"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"VCAM1",0.962078172852272,0.977494505494505,0.997678571428571,0.968571428571429,0.99,0.989821428571429,0.975861111111111
"NLRP3",0.960628317033141,0.976630036630037,0.998035714285714,0.965714285714286,0.99125,0.990892857142857,0.9735
"S100A9",0.964714175499723,0.978717948717949,0.998035714285714,0.967142857142857,0.99375,0.99375,0.974888888888889
"S100A12",0.968404886039539,0.981051282051282,0.997946428571429,0.97,0.995,0.995,0.976888888888889
"PTX3",0.956912461439286,0.974648351648352,0.998035714285714,0.964285714285714,0.98875,0.988571428571429,0.972305555555556
"CX3CR1",0.95828946473463,0.974835164835165,0.997857142857143,0.962857142857143,0.99125,0.990892857142857,0.971722222222222
"CXCL10",0.959437606493325,0.975630036630037,0.997410714285714,0.962857142857143,0.9925,0.992142857142857,0.9715
"CXCL8",0.961776458791836,0.977424908424908,0.997946428571429,0.965714285714286,0.9925,0.992142857142857,0.973277777777778
"ITGAM",0.960233169106374,0.976875457875458,0.998035714285714,0.967142857142857,0.99,0.989285714285714,0.974111111111111
"CD14",0.961797743182396,0.977527472527473,0.9975,0.967142857142857,0.99125,0.990892857142857,0.974388888888889
"BCL2",0.967078172852272,0.980161172161172,0.998125,0.968571428571429,0.995,0.994821428571429,0.975861111111111
"IFNB1",0.955806888461712,0.974058608058608,0.998125,0.967142857142857,0.985,0.984821428571429,0.97475
"C3AR1",0.945364608042328,0.968124542124542,0.997321428571429,0.958571428571429,0.9825,0.981964285714286,0.967805555555556
"CCL19",0.956916322102765,0.974194139194139,0.997946428571429,0.961428571428571,0.99125,0.990892857142857,0.970388888888889
"MYD88",0.956644316807863,0.974413919413919,0.998035714285714,0.964285714285714,0.98875,0.988035714285714,0.972333333333333
"SOCS3",0.961797743182396,0.977527472527473,0.998392857142857,0.967142857142857,0.99125,0.990892857142857,0.974388888888889
"IFNA2",0.959276458791836,0.976091575091575,0.998035714285714,0.965714285714286,0.99,0.989642857142857,0.973277777777778
"PDCD1",0.955687606493325,0.973630036630037,0.998482142857143,0.962857142857143,0.98875,0.988392857142857,0.9715
