"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"VCAM1",0.930223323213227,0.942888888888889,0.99671875,0.9075,0.99875,0.998,0.960161616161616
"NLRP3",0.928388289022504,0.941460317460317,0.9971875,0.905,0.99875,0.998,0.959050505050505
"S100A9",0.9372818939015,0.948642857142857,0.9971875,0.9175,0.99875,0.9975,0.964467171717172
"S100A12",0.939416990215061,0.95047619047619,0.99875,0.9175,1,1,0.964444444444444
"PTX3",0.946953385135798,0.956031746031746,0.99734375,0.93,0.99875,0.998,0.970222222222222
"CX3CR1",0.925452570298543,0.939722222222222,0.9965625,0.91,0.99375,0.9895,0.961416666666667
"CXCL10",0.923299575112465,0.937777777777778,0.994375,0.9,0.9975,0.996,0.956888888888889
"CXCL8",0.9273490400596,0.940349206349206,0.996875,0.9125,0.99375,0.99,0.962828282828283
"ITGAM",0.931249991541765,0.944920634920635,0.9978125,0.9175,0.99375,0.99,0.964444444444444
"CD14",0.941252024405783,0.951904761904762,0.994375,0.92,1,1,0.965555555555556
"BCL2",0.952272982146556,0.961428571428571,0.995625,0.935,1,1,0.971777777777778
"IFNB1",0.936542707061434,0.947936507936508,0.998125,0.9225,0.995,0.992,0.967111111111111
"C3AR1",0.903896864492331,0.922412698412698,0.99625,0.885,0.99125,0.986,0.950606060606061
"CCL19",0.928372160127851,0.940031746031746,0.9971875,0.905,0.99875,0.998,0.959717171717172
"MYD88",0.929632720701759,0.945238095238095,0.99546875,0.9175,0.9925,0.988,0.963777777777778
"SOCS3",0.919211290030959,0.936190476190476,0.9971875,0.91,0.98875,0.982,0.961111111111111
"IFNA2",0.921878562430305,0.937936507936508,0.99859375,0.9025,0.995,0.992,0.957555555555555
"PDCD1",0.931249991541765,0.944920634920635,0.998125,0.9175,0.99375,0.99,0.964444444444444
"HMGB1",0.930427324822857,0.942222222222222,0.99671875,0.9075,0.99875,0.998,0.960666666666667
"C5AR1",0.927516120436418,0.943849206349206,0.99625,0.915,0.9925,0.9875,0.962527777777778
"ELANE",0.951024355275803,0.960507936507937,0.998125,0.9425,0.995,0.992,0.975272727272727
"IFNA1",0.936367954096459,0.95,0.9971875,0.92,0.99625,0.994,0.964888888888889
"P2RX7",0.914331414913133,0.931428571428571,0.9978125,0.89,0.99625,0.994,0.952222222222222
"ICAM1",0.930788296203954,0.946547619047619,0.9940625,0.915,0.995,0.9915,0.962305555555556
"HLA.DRA",0.91347949954957,0.927333333333333,0.99515625,0.8825,1,1,0.950161616161616
"CD177",0.930766791011083,0.944642857142857,0.99609375,0.915,0.995,0.9915,0.963194444444444
"HIF1A",0.923097940656402,0.937460317460317,0.99875,0.8975,0.99875,0.998,0.955777777777778
"MMP9",0.935935436539676,0.947968253968254,0.9975,0.9175,0.9975,0.996,0.964383838383838
"OLFM4",0.925267064737133,0.940833333333333,0.9984375,0.9075,0.995,0.9915,0.959638888888889
"PLAUR",0.926980396090346,0.941587301587302,0.9975,0.905,0.9975,0.996,0.958666666666667
"TNF",0.927993944668882,0.943650793650794,0.9978125,0.9175,0.99125,0.986,0.964
"GATA3",0.937639856137946,0.951507936507937,0.9978125,0.9225,0.99625,0.993,0.965722222222222
"CCL2",0.928987816092476,0.941936507936508,0.99765625,0.9125,0.995,0.992,0.962606060606061
"CALCA",0.960021764119791,0.968253968253968,0.9975,0.95,0.9975,0.996,0.978222222222222
"IFNG",0.94023428063575,0.952698412698413,0.99703125,0.9275,0.995,0.992,0.968444444444444
"MAPK14",0.912100258086364,0.92852380952381,0.995,0.8925,0.99375,0.989,0.953883838383838
"IL1R2",0.941676798510782,0.954444444444444,0.99625,0.925,0.9975,0.996,0.966888888888889
"MMP8",0.9115900130721,0.928769841269841,0.99671875,0.8875,0.99625,0.992166666666667,0.951416666666667
"ARG1",0.932087606048605,0.945714285714286,0.99703125,0.9075,1,1,0.959555555555555
"CCR2",0.940021893583251,0.951428571428571,0.998125,0.925,0.99625,0.994,0.967777777777778
"TNFSF10",0.920446797151709,0.937142857142857,0.99671875,0.905,0.9925,0.988,0.958666666666667
"TREM1",0.930634335577139,0.943015873015873,0.99734375,0.91,0.9975,0.996,0.961555555555555
"IL1B",0.932485498662515,0.945873015873016,0.99859375,0.9125,0.9975,0.996,0.962
"CCR7",0.933810450831467,0.944642857142857,0.9953125,0.9125,0.99875,0.9975,0.962972222222222
"LBP",0.927590675756755,0.943015873015873,0.995,0.9125,0.99375,0.99,0.961777777777778
"CCL25",0.920223657502775,0.934920634920635,0.9978125,0.9025,0.99375,0.99,0.958444444444444
"CRP",0.912867391845231,0.927777777777778,0.99796875,0.8925,0.99375,0.99,0.954666666666667
"IL6",0.936001080105069,0.949920634920635,0.9975,0.9225,0.995,0.991,0.965944444444444
"IL10",0.924847666930352,0.938769841269841,0.99625,0.9025,0.9975,0.9955,0.958083333333333
"TLR4",0.942461831142165,0.953809523809524,0.9975,0.935,0.9925,0.988,0.972222222222222
"TLR2",0.901655552244831,0.918888888888889,0.99875,0.875,0.995,0.992,0.946888888888889
"S100A8",0.926547878533563,0.939555555555556,0.99671875,0.9025,0.99875,0.998,0.958161616161616
"LCN2",0.954108016337278,0.962857142857143,0.9978125,0.9375,1,1,0.972888888888889
"NOTCH1",0.921827808592778,0.934634920634921,0.995,0.905,0.99375,0.99,0.960161616161616
"FCGR1A",0.932878014978206,0.945555555555556,0.995,0.9175,0.995,0.992,0.964666666666667
