"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,0.96875,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.816496580927726,0.857142857142857,0.96875,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.836660026534076,0.888888888888889,1,1,0.875,0.8,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,0.96875,0.5,1,1,0.8
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.836660026534076,0.888888888888889,1,1,0.875,0.8,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
0.816496580927726,0.857142857142857,0.953125,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,1,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.857142857142857,0.96875,0.75,1,1,0.888888888888889
1,1,1,1,1,1,1
