"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.960356745147455,0.971428571428571,0.999583333333333,0.95,1,1,0.971428571428571
"NLRP3",0.964321070632709,0.974285714285714,1,0.955,1,1,0.974285714285714
"CCR7",0.970267558860591,0.978571428571429,1,0.9625,1,1,0.978571428571429
"CRP",0.962426957732294,0.972380952380952,0.999791666666667,0.9525,1,1,0.973214285714286
"MAPK14",0.97437901289775,0.981746031746032,1,0.97,0.998333333333333,0.998,0.982857142857143
"CX3CR1",0.962486036441986,0.973174603174603,0.999791666666667,0.955,0.998333333333333,0.998,0.974285714285714
"ELANE",0.9705618159644,0.979206349206349,1,0.9675,0.996666666666667,0.996,0.981428571428571
"GATA3",0.962780293545796,0.973809523809524,0.999583333333333,0.96,0.995,0.994,0.977142857142857
"HIF1A",0.966303233375336,0.975714285714286,1,0.9575,1,1,0.975714285714286
"HLA.DRA",0.950593059986223,0.964603174603175,0.999166666666667,0.94,0.998333333333333,0.998,0.965714285714286
"HMGB1",0.974231884345846,0.981428571428571,1,0.9675,1,1,0.981428571428571
"ICAM1",0.954410256919573,0.967142857142857,0.998958333333333,0.9425,1,1,0.967142857142857
"IFNA2",0.972249721603218,0.98,1,0.965,1,1,0.98
"IFNB1",0.962486036441986,0.973174603174603,1,0.955,0.998333333333333,0.998,0.974285714285714
"IFNG",0.954410256919573,0.967142857142857,1,0.9425,1,1,0.967142857142857
"IL1B",0.954410256919573,0.967142857142857,1,0.9425,1,1,0.967142857142857
"IL6",0.974231884345846,0.981428571428571,0.999583333333333,0.9675,1,1,0.981428571428571
"CXCL8",0.958374582404827,0.97,0.999583333333333,0.9475,1,1,0.97
"IL10",0.968285396117964,0.977142857142857,0.999791666666667,0.96,1,1,0.977142857142857
"CXCL10",0.958374582404827,0.97,1,0.9475,1,1,0.97
"ITGAM",0.972396850155123,0.98031746031746,1,0.9675,0.998333333333333,0.998,0.981428571428571
"ARG1",0.956337207032693,0.969246031746032,0.999166666666667,0.95,0.996666666666667,0.9955,0.971190476190476
"LBP",0.958374582404827,0.97,0.999166666666667,0.9475,1,1,0.97
"LCN2",0.972249721603218,0.98,0.999583333333333,0.965,1,1,0.98
"MMP8",0.966303233375336,0.975714285714286,1,0.9575,1,1,0.975714285714286
"MMP9",0.974231884345846,0.981428571428571,0.999583333333333,0.9675,1,1,0.981428571428571
"MYD88",0.950445931434318,0.964285714285714,1,0.9375,1,1,0.964285714285714
"NOTCH1",0.966303233375336,0.975714285714286,1,0.9575,1,1,0.975714285714286
"P2RX7",0.962486036441986,0.973174603174603,0.999583333333333,0.955,0.998333333333333,0.998,0.974285714285714
"PDCD1",0.950593059986223,0.964603174603175,0.999375,0.94,0.998333333333333,0.998,0.965714285714286
"PLAUR",0.962486036441986,0.973174603174603,1,0.955,0.998333333333333,0.998,0.974285714285714
"TREM1",0.964468199184614,0.974603174603175,0.99875,0.9575,0.998333333333333,0.998,0.975714285714286
"CD177",0.964762456288423,0.975238095238095,1,0.9625,0.995,0.994,0.978571428571429
"PTX3",0.95257522272885,0.966031746031746,1,0.9425,0.998333333333333,0.998,0.967142857142857
"BCL2",0.95450217284197,0.968134920634921,0.999583333333333,0.95,0.995,0.9935,0.971190476190476
"S100A8",0.966303233375336,0.975714285714286,1,0.9575,1,1,0.975714285714286
"S100A9",0.956627598056317,0.968412698412698,0.999583333333333,0.9475,0.998333333333333,0.998,0.970357142857143
"S100A12",0.942406855204794,0.959920634920635,0.998333333333333,0.9375,0.993333333333333,0.991,0.963809523809524
"CCL2",0.962338907890082,0.972857142857143,0.999583333333333,0.9525,1,1,0.972857142857143
"CCL19",0.960356745147455,0.971428571428571,1,0.95,1,1,0.971428571428571
"CCL25",0.948610897243596,0.963174603174603,0.999375,0.9375,0.998333333333333,0.998,0.964285714285714
"TLR2",0.974231884345846,0.981428571428571,0.999166666666667,0.9675,1,1,0.981428571428571
"TLR4",0.968285396117964,0.977142857142857,1,0.96,1,1,0.977142857142857
"TNF",0.966303233375336,0.975714285714286,1,0.9575,1,1,0.975714285714286
"C3AR1",0.962633164993891,0.973492063492064,1,0.9575,0.996666666666667,0.996,0.975714285714286
"C5AR1",0.960503873699359,0.971746031746032,0.999583333333333,0.9525,0.998333333333333,0.998,0.972857142857143
"CCR2",0.964468199184614,0.974603174603175,0.999375,0.9575,0.998333333333333,0.998,0.975714285714286
"VCAM1",0.950533981276531,0.963809523809524,0.999791666666667,0.9375,1,1,0.964642857142857
"IL1R2",0.960356745147455,0.971428571428571,1,0.95,1,1,0.971428571428571
"CALCA",0.954410256919573,0.967142857142857,0.999166666666667,0.9425,1,1,0.967142857142857
"TNFSF10",0.938700083530459,0.956031746031746,0.999166666666667,0.925,0.998333333333333,0.998,0.957142857142857
"SOCS3",0.966538411769453,0.975555555555556,1,0.96,0.998333333333333,0.998,0.9775
"CD14",0.964468199184614,0.974603174603175,1,0.9575,0.998333333333333,0.998,0.975714285714286
