"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.951185789203691,0.96,0.999444444444444,0.933333333333333,1,1,0.971428571428571
"NLRP3",0.953972904433743,0.962571428571429,1,0.94,0.998333333333333,0.9975,0.974285714285714
"CCR7",0.955948631362953,0.963,0.999444444444444,0.94,1,1,0.974642857142857
"CRP",0.963389341902768,0.97,1,0.95,1,1,0.978571428571429
"MAPK14",0.973261430911528,0.976571428571429,1,0.966666666666667,0.998333333333333,0.9975,0.986428571428571
"CX3CR1",0.968270762982399,0.974,1,0.956666666666667,1,1,0.981428571428571
"ELANE",0.97315218406203,0.978,0.999722222222222,0.963333333333333,1,1,0.984285714285714
"GATA3",0.946067210283322,0.954,1,0.926666666666667,1,1,0.969285714285714
"HIF1A",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"HLA.DRA",0.975592894601845,0.98,1,0.966666666666667,1,1,0.985714285714286
"HMGB1",0.951067210283322,0.959,1,0.933333333333333,1,1,0.971785714285714
"ICAM1",0.97315218406203,0.978,0.999722222222222,0.963333333333333,1,1,0.984285714285714
"IFNA2",0.963389341902768,0.97,0.999722222222222,0.95,1,1,0.978571428571429
"IFNB1",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"IFNG",0.953507920823137,0.961,0.999444444444444,0.936666666666667,1,1,0.973214285714286
"IL1B",0.943626499743506,0.952,0.998888888888889,0.923333333333333,1,1,0.967857142857143
"IL6",0.965830052442584,0.972,0.999444444444444,0.953333333333333,1,1,0.98
"CXCL8",0.965711473522215,0.971,1,0.953333333333333,1,1,0.980357142857143
"IL10",0.970711473522215,0.976,0.998055555555556,0.96,1,1,0.982857142857143
"CXCL10",0.980474315681476,0.984,1,0.973333333333333,1,1,0.988571428571429
"ITGAM",0.968270762982399,0.974,0.998888888888889,0.956666666666667,1,1,0.981428571428571
"ARG1",0.946067210283322,0.954,1,0.926666666666667,1,1,0.969285714285714
"LBP",0.951067210283322,0.959,0.998888888888889,0.933333333333333,1,1,0.971785714285714
"LCN2",0.970711473522215,0.976,0.999444444444444,0.96,1,1,0.982857142857143
"MMP8",0.95815218406203,0.963,0.998888888888889,0.943333333333333,1,1,0.976785714285714
"MMP9",0.968270762982399,0.974,1,0.956666666666667,1,1,0.981428571428571
"MYD88",0.960592894601845,0.965,0.999444444444444,0.946666666666667,1,1,0.978214285714286
"NOTCH1",0.938626499743506,0.947,0.998611111111111,0.916666666666667,1,1,0.965357142857143
"P2RX7",0.970711473522215,0.976,0.998888888888889,0.96,1,1,0.982857142857143
"PDCD1",0.963735746593005,0.970571428571429,0.999444444444444,0.953333333333333,0.998333333333333,0.9975,0.98
"PLAUR",0.948507920823137,0.956,1,0.93,1,1,0.970714285714286
"TREM1",0.955948631362953,0.963,0.998888888888889,0.94,1,1,0.974642857142857
"CD177",0.980820720371713,0.984571428571429,0.999722222222222,0.976666666666667,0.998333333333333,0.9975,0.99
"PTX3",0.963270762982399,0.969,0.999444444444444,0.95,1,1,0.978928571428571
"BCL2",0.948389341902768,0.955,1,0.93,1,1,0.971071428571429
"S100A8",0.958507920823137,0.966,1,0.943333333333333,1,1,0.975714285714286
"S100A9",0.973033605141661,0.977,1,0.963333333333333,1,1,0.984642857142857
"S100A12",0.941185789203691,0.95,1,0.92,1,1,0.966428571428571
"CCL2",0.965711473522215,0.971,1,0.953333333333333,1,1,0.980357142857143
"CCL19",0.950711473522215,0.956,1,0.933333333333333,1,1,0.972857142857143
"CCL25",0.96315218406203,0.968,1,0.95,1,1,0.979285714285714
"TLR2",0.955830052442584,0.962,1,0.94,1,1,0.975
"TLR4",0.990237157840738,0.992,1,0.986666666666667,1,1,0.994285714285714
"TNF",0.95815218406203,0.963,1,0.943333333333333,1,1,0.976785714285714
"C3AR1",0.970711473522215,0.976,0.999444444444444,0.96,1,1,0.982857142857143
"C5AR1",0.963033605141661,0.967,1,0.95,1,1,0.979642857142857
"CCR2",0.965592894601845,0.97,1,0.953333333333333,1,1,0.980714285714286
"VCAM1",0.948626499743506,0.957,0.999444444444444,0.93,1,1,0.970357142857143
"IL1R2",0.975474315681476,0.979,1,0.966666666666667,1,1,0.986071428571429
"CALCA",0.96617645713282,0.972571428571429,0.999444444444444,0.956666666666667,0.998333333333333,0.9975,0.981428571428571
"TNFSF10",0.95617645713282,0.962571428571429,1,0.943333333333333,0.998333333333333,0.9975,0.976428571428571
"SOCS3",0.971404282902687,0.977142857142857,0.999444444444444,0.966666666666667,0.996666666666667,0.995,0.985714285714286
"CD14",0.968033605141661,0.972,1,0.956666666666667,1,1,0.982142857142857
