"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.946395598218072,0.957888056388056,0.989583333333333,0.937404761904762,0.99,0.99,0.957575396825397
"NLRP3",0.948779041194925,0.962111111111111,0.999583333333333,0.936309523809524,1,1,0.963222222222222
"CCR7",0.974440187454351,0.983647685647686,1,0.971142857142857,1,1,0.978178571428571
"CRP",0.955475414320042,0.969804473304473,0.999523809523809,0.951809523809524,0.998571428571429,0.996666666666667,0.964960317460318
"MAPK14",0.969035505091526,0.974507936507937,0.99,0.965666666666667,0.988333333333333,0.988,0.976924603174603
"CX3CR1",0.948625571366607,0.957531024531025,0.979047619047619,0.942166666666667,0.98,0.98,0.955940476190476
"ELANE",0.92452578674433,0.944197691197691,0.999523809523809,0.91297619047619,0.998888888888889,0.995,0.946404761904762
"GATA3",0.921447980030796,0.939256854256854,0.99,0.915166666666667,0.987460317460317,0.9825,0.941757936507936
"HIF1A",0.95834168676962,0.967523088023088,1,0.951333333333333,0.99875,0.996666666666667,0.97256746031746
"HLA.DRA",0.954780154794022,0.96565922965923,0.99,0.948142857142857,0.99,0.99,0.962626984126984
"HMGB1",0.948045232637652,0.958698412698413,0.9896,0.937666666666667,0.99,0.99,0.960337301587302
"ICAM1",0.962138988169211,0.971773337773338,0.99,0.958071428571429,0.99,0.99,0.966797619047619
"IFNA2",0.956679707303015,0.968372294372294,0.9996,0.947166666666667,1,1,0.96756746031746
"IFNB1",0.968822280921373,0.97576911976912,0.999583333333333,0.961333333333333,1,1,0.978261904761905
"IFNG",0.958284420136721,0.965594516594517,0.9896875,0.9505,0.99,0.99,0.96802380952381
"IL1B",0.909545666331611,0.926079254079254,0.9692,0.896404761904762,0.97,0.97,0.924888888888889
"IL6",0.95871862842047,0.968467532467532,0.999523809523809,0.949333333333333,1,1,0.970543650793651
"CXCL8",0.958684526769593,0.964781385281385,0.988095238095238,0.9485,0.99,0.99,0.970777777777778
"IL10",0.949546789391929,0.95786075036075,0.9896,0.938642857142857,0.99,0.99,0.963107142857143
"CXCL10",0.929742475519891,0.940845487845488,0.979107142857143,0.916738095238095,0.98,0.98,0.946134920634921
"ITGAM",0.959138321496878,0.971708180708181,0.999583333333333,0.952190476190476,1,1,0.967626984126984
"ARG1",0.958518960055399,0.969145743145743,0.999583333333333,0.947666666666667,1,1,0.970845238095238
"LBP",0.958407745231165,0.970301476301476,1,0.949738095238095,1,1,0.968777777777778
"LCN2",0.943801953905917,0.95397113997114,0.989375,0.933666666666667,0.99,0.99,0.957392857142857
"MMP8",0.919167453092808,0.93054329004329,0.969583333333333,0.912083333333333,0.968888888888889,0.965,0.935678571428571
"MMP9",0.935095179412115,0.959130263675718,0.998888888888889,0.925166666666667,0.997222222222222,0.988,0.962388888888889
"MYD88",0.964064429693714,0.973248917748918,0.999523809523809,0.958333333333333,0.99875,0.996666666666667,0.975924603174603
"NOTCH1",0.951378565970985,0.95976911976912,0.97912380952381,0.945,0.98,0.98,0.958559523809524
"P2RX7",0.933944113950611,0.947787878787879,0.989791666666667,0.923,0.988571428571429,0.9875,0.952123015873016
"PDCD1",0.967336588470447,0.97751998001998,0.999791666666667,0.96147619047619,1,1,0.974178571428571
"PLAUR",0.954547072246814,0.967210567210567,0.998541666666667,0.944738095238095,1,1,0.966194444444444
"TREM1",0.952786005087891,0.961305194805195,0.998898809523809,0.9425,0.998888888888889,0.995,0.97252380952381
"CD177",0.969990861924428,0.976730158730159,0.999583333333333,0.974166666666667,0.996349206349206,0.9875,0.983630952380952
"PTX3",0.947792479044641,0.961694694194694,0.999375,0.936238095238095,1,1,0.961293650793651
"BCL2",0.92217780936723,0.934662337662338,0.979107142857143,0.911333333333333,0.977321428571429,0.973333333333333,0.945837301587302
"S100A8",0.934749072783346,0.949257575757576,0.989583333333333,0.922166666666667,0.99,0.99,0.94972619047619
"S100A9",0.948594664850587,0.95772582972583,0.99,0.937166666666667,0.99,0.99,0.962087301587302
"S100A12",0.937768712743883,0.954325896325896,0.9892,0.92922619047619,0.99,0.99,0.947904761904762
"CCL2",0.943912971110039,0.954579365079365,0.989523809523809,0.932166666666667,0.99,0.99,0.957638888888889
"CCL19",0.960090569344926,0.970408369408369,1,0.950666666666667,1,1,0.970936507936508
"CCL25",0.95069779519609,0.96170202020202,0.998898809523809,0.936833333333333,1,1,0.967226190476191
"TLR2",0.964614314598573,0.976853313353313,1,0.96047619047619,1,1,0.969734126984127
