"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.654653670707977,0.75,1,0.6,1,1,0.714285714285714
1,1,1,1,1,1,1
0.763762615825973,0.8,1,0.666666666666667,1,1,0.875
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.666666666666667,1,0.5,1,1,0.888888888888889
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.612372435695795,0.666666666666667,1,0.5,1,1,0.75
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.888888888888889,1,0.8,1,1,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
0.816496580927726,0.888888888888889,1,0.8,1,1,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.909090909090909,1,0.833333333333333,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.763762615825973,0.8,1,0.666666666666667,1,1,0.875
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.888888888888889,1,0.8,1,1,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.612372435695795,0.666666666666667,1,0.5,1,1,0.75
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.816496580927726,0.888888888888889,1,0.8,1,1,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.666666666666667,1,0.5,1,1,0.888888888888889
0,0,0,0,0,0,0
