"Feature","Mean_Importance","SD_Importance"
"IL1R2",3.28347002181139,0.911266923225311
"S100A12",3.10929768061258,0.839917746670381
"MMP9",2.20702757293784,0.941728506709375
"SOCS3",1.96913154446412,0.750947411939353
"MAPK14",1.84197590660656,0.643491493660586
"ARG1",1.80238682713368,0.924653099489494
"S100A8",1.78809518514628,0.757113804872701
"CD177",1.65273082520946,0.780882233174412
"TLR4",1.63245969693704,0.770431996077245
"GATA3",1.1581409240098,0.561744957109912
"S100A9",1.12861910706949,0.719800118488595
"BCL2",1.09878587462362,0.699977855834586
"TLR2",1.0825543205338,0.604150582806934
"MMP8",0.74193145635055,0.541093271003848
"C3AR1",0.721832325621409,0.478445492413177
"HLA.DRA",0.685216545634917,0.453799550081546
"MYD88",0.407921217142626,0.338928373933364
"IL10",0.357973820018591,0.323752015325418
"ITGAM",0.341291928724935,0.342369580452072
"CCR7",0.274600312679511,0.294605570700767
"HIF1A",0.209156978353211,0.241243362989708
"NLRP3",0.149009452075245,0.213297606365765
"IL1B",0.134864508708353,0.188694564643981
"CX3CR1",0.0903590652405423,0.108432319635594
"PLAUR",0.0849881374271851,0.0904129457566041
"LCN2",0.0842702676641368,0.126732525333991
"PTX3",0.075308404374478,0.0999625409848435
"OLFM4",0.0664589866121636,0.0959960238214248
"TNFSF10",0.0663123330719052,0.0904597879205827
"ICAM1",0.049796979371961,0.0724582888994239
"CCL25",0.047646927304995,0.0895165767928744
"ELANE",0.0475293409395107,0.0652405392597474
"VCAM1",0.0423475859122928,0.0518510681153497
"CALCA",0.0390817416009651,0.0562027639130893
"CXCL10",0.0366885566161263,0.0614165502131666
"LBP",0.0340381455553032,0.0566989479711712
"IFNA2",0.0278326112932118,0.0336924003153553
"TNF",0.0242271993981173,0.0305519780585643
"CCR2",0.0230317562213657,0.0316062500003771
"IFNB1",0.0222312219980697,0.033801562854306
"HMGB1",0.0189063830656505,0.0438978880281978
"TREM1",0.0183265613359151,0.0245609794274685
"CXCL8",0.01649657759083,0.0321851003528653
"IL6",0.0159890813108588,0.0229636109530149
"P2RX7",0.0153195945686655,0.0226392948336468
"C5AR1",0.0125974349574594,0.0235917363921708
"NOTCH1",0.0124200524805897,0.0236043382347976
"CD14",0.0112371352859739,0.0182492811868954
"IFNG",0.0102598304171829,0.0180586071491714
"CRP",0.00876580230467815,0.0219970906454072
"CCL2",0.00683708603055007,0.0149556314205022
"PDCD1",0.00636838817130776,0.0132837174987839
"CCL19",0.0045849828628366,0.0152881510893779
