"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.966057878212451,0.971571428571429,0.999444444444444,0.956666666666667,0.998333333333333,0.9975,0.981785714285714
"NLRP3",0.973033605141661,0.977,1,0.963333333333333,1,1,0.984642857142857
"CCR7",0.978261430911528,0.981571428571429,1,0.973333333333333,0.998333333333333,0.9975,0.988928571428571
"CRP",0.971285703982318,0.976142857142857,1,0.966666666666667,0.996666666666667,0.995,0.986071428571429
"MAPK14",0.971167125061949,0.975142857142857,1,0.966666666666667,0.996666666666667,0.995,0.986428571428571
"CX3CR1",0.961522861823056,0.968142857142857,0.999722222222222,0.953333333333333,0.996666666666667,0.995,0.980357142857143
"ELANE",0.963498588752266,0.968571428571429,1,0.953333333333333,0.998333333333333,0.9975,0.980714285714286
"GATA3",0.968498588752266,0.973571428571429,1,0.96,0.998333333333333,0.9975,0.983214285714286
"HIF1A",0.968963572362872,0.975142857142857,1,0.963333333333333,0.996666666666667,0.995,0.984285714285714
"HLA.DRA",0.965939299292082,0.970571428571429,1,0.956666666666667,0.998333333333333,0.9975,0.982142857142857
"HMGB1",0.971285703982318,0.976142857142857,0.999444444444444,0.966666666666667,0.996666666666667,0.995,0.986071428571429
"ICAM1",0.961404282902687,0.967142857142857,1,0.953333333333333,0.996666666666667,0.995,0.980714285714286
"IFNA2",0.977915026221292,0.981,1,0.97,1,1,0.9875
"IFNB1",0.983142851991159,0.985571428571429,1,0.98,0.998333333333333,0.9975,0.991785714285714
"IFNG",0.978726414522134,0.983142857142857,1,0.976666666666667,0.996666666666667,0.995,0.99
"IL1B",0.948972904433743,0.957571428571429,1,0.933333333333333,0.998333333333333,0.9975,0.971785714285714
"IL6",0.968380009831897,0.972571428571429,1,0.96,0.998333333333333,0.9975,0.983571428571429
"CXCL8",0.96117645713282,0.967571428571429,1,0.95,0.998333333333333,0.9975,0.978928571428571
"IL10",0.968498588752266,0.973571428571429,1,0.96,0.998333333333333,0.9975,0.983214285714286
"CXCL10",0.958963572362872,0.965142857142857,1,0.95,0.996666666666667,0.995,0.979285714285714
"ITGAM",0.969191398132739,0.974714285714286,1,0.966666666666667,0.995,0.9925,0.986071428571429
"ARG1",0.958270762982399,0.964,1,0.943333333333333,1,1,0.976428571428571
"LBP",0.970820720371713,0.974571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.985
"LCN2",0.968033605141661,0.972,1,0.956666666666667,1,1,0.982142857142857
"MMP8",0.958389341902768,0.965,1,0.943333333333333,1,1,0.976071428571429
"MMP9",0.953507920823137,0.961,1,0.936666666666667,1,1,0.973214285714286
"MYD88",0.958963572362872,0.965142857142857,1,0.95,0.996666666666667,0.995,0.979285714285714
"NOTCH1",0.963498588752266,0.968571428571429,1,0.953333333333333,0.998333333333333,0.9975,0.980714285714286
"P2RX7",0.958963572362872,0.965142857142857,1,0.95,0.996666666666667,0.995,0.979285714285714
"PDCD1",0.970820720371713,0.974571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.985
"PLAUR",0.969191398132739,0.974714285714286,1,0.966666666666667,0.995,0.9925,0.986071428571429
"TREM1",0.965711473522215,0.971,1,0.953333333333333,1,1,0.980357142857143
"CD177",0.976285703982318,0.981142857142857,1,0.973333333333333,0.996666666666667,0.995,0.988571428571429
"PTX3",0.973261430911528,0.976571428571429,1,0.966666666666667,0.998333333333333,0.9975,0.986428571428571
"BCL2",0.968726414522134,0.973142857142857,1,0.963333333333333,0.996666666666667,0.995,0.985
"S100A8",0.948626499743506,0.957,1,0.93,1,1,0.970357142857143
"S100A9",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"S100A12",0.940595681035427,0.951857142857143,1,0.933333333333333,0.991666666666667,0.9875,0.971785714285714
"CCL2",0.958507920823137,0.966,1,0.943333333333333,1,1,0.975714285714286
"CCL19",0.956522861823056,0.963142857142857,1,0.946666666666667,0.996666666666667,0.995,0.977857142857143
"CCL25",0.966057878212451,0.971571428571429,1,0.956666666666667,0.998333333333333,0.9975,0.981785714285714
"TLR2",0.965592894601845,0.97,1,0.953333333333333,1,1,0.980714285714286
"TLR4",0.958735746593005,0.965571428571429,1,0.946666666666667,0.998333333333333,0.9975,0.9775
"TNF",0.970474315681476,0.974,1,0.96,1,1,0.983571428571429
"C3AR1",0.970820720371713,0.974571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.985
"C5AR1",0.968844993442503,0.974142857142857,1,0.963333333333333,0.996666666666667,0.995,0.984642857142857
"CCR2",0.954082151283241,0.961142857142857,1,0.943333333333333,0.996666666666667,0.995,0.976428571428571
"VCAM1",0.970820720371713,0.974571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.985
"IL1R2",0.932115756424902,0.944809523809524,0.999444444444444,0.916666666666667,0.995,0.991666666666667,0.964404761904762
"CALCA",0.970939299292082,0.975571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.984642857142857
"TNFSF10",0.953735746593005,0.960571428571429,0.999722222222222,0.94,0.998333333333333,0.9975,0.975
"SOCS3",0.971632108672555,0.976714285714286,1,0.97,0.995,0.9925,0.9875
"CD14",0.970474315681476,0.974,1,0.96,1,1,0.983571428571429
