"MeanDecreaseGini","Feature","Iteration"
0.180314329738059,"OLFM4",1
0,"NLRP3",1
0.0838709677419355,"CCR7",1
0.0371428571428572,"CRP",1
2.29922328053822,"MAPK14",1
0,"CX3CR1",1
0.0343548387096774,"ELANE",1
2.46756695078726,"GATA3",1
0,"HIF1A",1
0.229562925840419,"HLA.DRA",1
0,"HMGB1",1
0,"ICAM1",1
0,"IFNA2",1
0,"IFNB1",1
0.0384024577572965,"IFNG",1
0.112872452662558,"IL1B",1
0,"IL6",1
0.054375,"CXCL8",1
0.969796819198489,"IL10",1
0.103037634408602,"CXCL10",1
0.224612223934258,"ITGAM",1
1.42826761302186,"ARG1",1
0.0192592592592593,"LBP",1
0.147258492069851,"LCN2",1
1.1656834726236,"MMP8",1
1.59775043780105,"MMP9",1
0.112685057471264,"MYD88",1
0,"NOTCH1",1
0,"P2RX7",1
0.016,"PDCD1",1
0.139527802816485,"PLAUR",1
0,"TREM1",1
1.05012455881924,"CD177",1
0.359656757241503,"PTX3",1
1.71415552036338,"BCL2",1
1.20131597553565,"S100A8",1
2.20825582353915,"S100A9",1
4.54131710564907,"S100A12",1
0,"CCL2",1
0.0193333333333333,"CCL19",1
0.187364810330912,"CCL25",1
0.813675480592854,"TLR2",1
1.08391905473145,"TLR4",1
0,"TNF",1
0.460669996172626,"C3AR1",1
0.175609169653525,"C5AR1",1
0.0193548387096774,"CCR2",1
0.0736607142857143,"VCAM1",1
1.98946936126817,"IL1R2",1
0,"CALCA",1
0,"TNFSF10",1
1.52765997088352,"SOCS3",1
0.0193333333333333,"CD14",1
0.0194444444444444,"OLFM4",2
0.0326666666666667,"NLRP3",2
0.019047619047619,"CCR7",2
0,"CRP",2
2.41127813479444,"MAPK14",2
0.440419290277316,"CX3CR1",2
0,"ELANE",2
0.0374193548387097,"GATA3",2
0,"HIF1A",2
0.221435991564477,"HLA.DRA",2
0.178023548402412,"HMGB1",2
0.0192857142857143,"ICAM1",2
0,"IFNA2",2
0.057,"IFNB1",2
0.0192592592592593,"IFNG",2
0.0569142857142857,"IL1B",2
0.0377777777777778,"IL6",2
0,"CXCL8",2
0.728488430424718,"IL10",2
0.0357065637065637,"CXCL10",2
0.229853051819153,"ITGAM",2
0.815558332682444,"ARG1",2
0.293265272998881,"LBP",2
0.430030069489557,"LCN2",2
2.01082238122514,"MMP8",2
0.663126210653753,"MMP9",2
0.0541935483870968,"MYD88",2
0.0910913432172802,"NOTCH1",2
0,"P2RX7",2
0,"PDCD1",2
0.107777777777778,"PLAUR",2
0.0193333333333333,"TREM1",2
2.14556467627654,"CD177",2
0.519352965604611,"PTX3",2
1.7837542578309,"BCL2",2
2.66531534219222,"S100A8",2
1.81729403418572,"S100A9",2
3.87920814612663,"S100A12",2
0,"CCL2",2
0,"CCL19",2
0.0523604336043361,"CCL25",2
0.00606060606060606,"TLR2",2
1.07003590214578,"TLR4",2
0,"TNF",2
0.95958163137641,"C3AR1",2
0,"C5AR1",2
0,"CCR2",2
0,"VCAM1",2
2.36892291319845,"IL1R2",2
0,"CALCA",2
0.122341696535245,"TNFSF10",2
2.29376865309069,"SOCS3",2
0.054,"CD14",2
0,"OLFM4",3
0.237054354178843,"NLRP3",3
0,"CCR7",3
0.0558974358974359,"CRP",3
0.727314041890313,"MAPK14",3
0.294959748119379,"CX3CR1",3
0.199438526525686,"ELANE",3
0.518984192204531,"GATA3",3
0.774164146899853,"HIF1A",3
0.626542680760029,"HLA.DRA",3
0.0712220843672457,"HMGB1",3
0.0525,"ICAM1",3
0.00341176470588231,"IFNA2",3
0,"IFNB1",3
0,"IFNG",3
0,"IL1B",3
0,"IL6",3
0,"CXCL8",3
0.350389669087974,"IL10",3
0,"CXCL10",3
0.722289588377724,"ITGAM",3
3.93863026960484,"ARG1",3
0.0568103448275862,"LBP",3
0.0369230769230769,"LCN2",3
0.090935960591133,"MMP8",3
1.95513289032738,"MMP9",3
0.842559975200244,"MYD88",3
0.0375,"NOTCH1",3
0,"P2RX7",3
0,"PDCD1",3
0.0927931034482759,"PLAUR",3
0,"TREM1",3
2.83706754999169,"CD177",3
0.589722515693279,"PTX3",3
0.970240757501643,"BCL2",3
1.16013612395787,"S100A8",3
0.756838393909182,"S100A9",3
4.4330961256713,"S100A12",3
0.016,"CCL2",3
0,"CCL19",3
0,"CCL25",3
0.205655994978029,"TLR2",3
0.872638269402319,"TLR4",3
0,"TNF",3
1.20485111420822,"C3AR1",3
0,"C5AR1",3
0.0387389162561576,"CCR2",3
0,"VCAM1",3
2.90779525132097,"IL1R2",3
0,"CALCA",3
0,"TNFSF10",3
1.19566343825666,"SOCS3",3
0,"CD14",3
0.0371428571428572,"OLFM4",4
0.19050333846944,"NLRP3",4
0,"CCR7",4
0.0383974358974359,"CRP",4
1.57072745189491,"MAPK14",4
0.100968922305764,"CX3CR1",4
0.237662575491915,"ELANE",4
2.07580439469522,"GATA3",4
0,"HIF1A",4
0.17632001614205,"HLA.DRA",4
0,"HMGB1",4
0,"ICAM1",4
0,"IFNA2",4
0.0521481481481481,"IFNB1",4
0.134770623486648,"IFNG",4
0.0568333333333333,"IL1B",4
0.0385333333333333,"IL6",4
0,"CXCL8",4
0.469119425134734,"IL10",4
0.0191666666666667,"CXCL10",4
0.96707895824601,"ITGAM",4
1.57034074251453,"ARG1",4
0.0133333333333333,"LBP",4
0,"LCN2",4
0.905964933961943,"MMP8",4
0.272466505246166,"MMP9",4
0.345621512319161,"MYD88",4
0,"NOTCH1",4
0.0737631184407796,"P2RX7",4
0,"PDCD1",4
0,"PLAUR",4
0,"TREM1",4
1.59524211177484,"CD177",4
0.289496547394852,"PTX3",4
1.21582289198712,"BCL2",4
1.07169803662915,"S100A8",4
1.91018013700544,"S100A9",4
5.41123543750663,"S100A12",4
0.0190909090909091,"CCL2",4
0.0510416666666667,"CCL19",4
0.0287857142857143,"CCL25",4
0.521543218705417,"TLR2",4
1.87675409244818,"TLR4",4
0,"TNF",4
0.875196520032572,"C3AR1",4
0.0193939393939394,"C5AR1",4
0.037037037037037,"CCR2",4
0,"VCAM1",4
2.5651636986123,"IL1R2",4
0,"CALCA",4
0.148888619854722,"TNFSF10",4
1.79104709218904,"SOCS3",4
0.0385960591133005,"CD14",4
0.0521739130434782,"OLFM4",5
0.25174011299435,"NLRP3",5
0.0384857142857143,"CCR7",5
0.0192,"CRP",5
1.46614289406912,"MAPK14",5
0.0697856444630638,"CX3CR1",5
0.343226285014421,"ELANE",5
2.2848769956307,"GATA3",5
0.27111775616093,"HIF1A",5
0.015,"HLA.DRA",5
0,"HMGB1",5
0.0913486842105263,"ICAM1",5
0.0166666666666667,"IFNA2",5
0,"IFNB1",5
0.0193103448275862,"IFNG",5
0.180815577266952,"IL1B",5
0.0027272727272727,"IL6",5
0,"CXCL8",5
0,"IL10",5
0,"CXCL10",5
1.78102930289591,"ITGAM",5
1.79108845632724,"ARG1",5
0,"LBP",5
0.0236444444444444,"LCN2",5
0.539962387326794,"MMP8",5
1.89071468935965,"MMP9",5
1.69179636559298,"MYD88",5
0,"NOTCH1",5
0,"P2RX7",5
0,"PDCD1",5
0.0192307692307692,"PLAUR",5
0.0133333333333333,"TREM1",5
0.803806178239475,"CD177",5
0.65561665286945,"PTX3",5
0.314581889073041,"BCL2",5
2.24255473328016,"S100A8",5
0.659218634350838,"S100A9",5
2.18524258533178,"S100A12",5
0,"CCL2",5
0,"CCL19",5
0,"CCL25",5
2.74087404116787,"TLR2",5
2.04267077555213,"TLR4",5
0.0485411140583554,"TNF",5
0.784736455557592,"C3AR1",5
0,"C5AR1",5
0,"CCR2",5
0.0192307692307692,"VCAM1",5
1.41991026919242,"IL1R2",5
0,"CALCA",5
0,"TNFSF10",5
1.96417456341066,"SOCS3",5
0,"CD14",5
0.0711111111111111,"OLFM4",6
0,"NLRP3",6
0.407771824338896,"CCR7",6
0,"CRP",6
0.645336991693255,"MAPK14",6
0.181704885343968,"CX3CR1",6
0.055609756097561,"ELANE",6
1.53339387244355,"GATA3",6
0.279817680078896,"HIF1A",6
0.0511538461538462,"HLA.DRA",6
0.0193548387096774,"HMGB1",6
0.201791711113745,"ICAM1",6
0.0175,"IFNA2",6
0,"IFNB1",6
0.0943333333333333,"IFNG",6
0.0537931034482759,"IL1B",6
0,"IL6",6
0.0401351351351351,"CXCL8",6
0,"IL10",6
0.129190207156309,"CXCL10",6
0.242514281404951,"ITGAM",6
1.66368407668174,"ARG1",6
0.0195,"LBP",6
0.107364532019704,"LCN2",6
2.35820383479559,"MMP8",6
1.25638021744477,"MMP9",6
0.114099749373434,"MYD88",6
0,"NOTCH1",6
0.0518181818181818,"P2RX7",6
0,"PDCD1",6
0.0991789691789692,"PLAUR",6
0.0366666666666667,"TREM1",6
2.90795517137935,"CD177",6
0.406128250293349,"PTX3",6
0.839413987921294,"BCL2",6
1.78703658921014,"S100A8",6
0.0386247086247086,"S100A9",6
4.22505847007242,"S100A12",6
0,"CCL2",6
0,"CCL19",6
0.104364475881717,"CCL25",6
0.655156696576936,"TLR2",6
1.31952462878072,"TLR4",6
0,"TNF",6
1.32171973904505,"C3AR1",6
0.0193548387096774,"C5AR1",6
0.0742564102564103,"CCR2",6
0,"VCAM1",6
3.25365875454837,"IL1R2",6
0.165892485450915,"CALCA",6
0.019,"TNFSF10",6
1.86568327584297,"SOCS3",6
0,"CD14",6
0.0387329434697856,"OLFM4",7
0.0193103448275862,"NLRP3",7
0.285560415527611,"CCR7",7
0.0381818181818182,"CRP",7
0.837324499579906,"MAPK14",7
0.0900117508813161,"CX3CR1",7
0.288763631848378,"ELANE",7
0.909158276594717,"GATA3",7
0.0192592592592593,"HIF1A",7
0.273316208436021,"HLA.DRA",7
0.0193333333333333,"HMGB1",7
0.0194594594594594,"ICAM1",7
0,"IFNA2",7
0.0432857142857143,"IFNB1",7
0.056175,"IFNG",7
0.0373333333333333,"IL1B",7
0.0192592592592593,"IL6",7
0.056551724137931,"CXCL8",7
0.458852820953422,"IL10",7
0,"CXCL10",7
0.0537931034482759,"ITGAM",7
2.6633512432406,"ARG1",7
0,"LBP",7
0.153688224799286,"LCN2",7
0.776807191452463,"MMP8",7
2.98213314087435,"MMP9",7
0.529026600345533,"MYD88",7
0,"NOTCH1",7
0.0894666666666667,"P2RX7",7
0,"PDCD1",7
0.0192,"PLAUR",7
0.0752272727272727,"TREM1",7
2.48631557683708,"CD177",7
0.449194951940715,"PTX3",7
0.757817753536625,"BCL2",7
1.87963040897849,"S100A8",7
2.1090135320394,"S100A9",7
1.60076239560167,"S100A12",7
0.0509090909090909,"CCL2",7
0,"CCL19",7
0,"CCL25",7
1.75719130678887,"TLR2",7
0.758748008293405,"TLR4",7
0.111208283181967,"TNF",7
1.61902201271802,"C3AR1",7
0.0923572060123784,"C5AR1",7
0.07,"CCR2",7
0,"VCAM1",7
0.889977093773335,"IL1R2",7
0,"CALCA",7
0,"TNFSF10",7
3.41359422721141,"SOCS3",7
0,"CD14",7
0.0368,"OLFM4",8
0,"NLRP3",8
0.457508089027668,"CCR7",8
0.0565962180200222,"CRP",8
1.11392337084714,"MAPK14",8
0.0734117647058823,"CX3CR1",8
0.153437304793237,"ELANE",8
1.14513989869472,"GATA3",8
0.104630847953216,"HIF1A",8
0.49412914236357,"HLA.DRA",8
0.0386247086247086,"HMGB1",8
0.125962715272314,"ICAM1",8
0,"IFNA2",8
0.0191666666666667,"IFNB1",8
0.147446519795658,"IFNG",8
0.0247154471544715,"IL1B",8
0,"IL6",8
0,"CXCL8",8
1.34903504200845,"IL10",8
0,"CXCL10",8
0,"ITGAM",8
1.06147703899655,"ARG1",8
0.0560307692307692,"LBP",8
0.411521459014769,"LCN2",8
1.07423564030132,"MMP8",8
0.0947549271270072,"MMP9",8
0.0902564102564102,"MYD88",8
0.0388344594594594,"NOTCH1",8
0,"P2RX7",8
0,"PDCD1",8
0.0387083333333333,"PLAUR",8
0,"TREM1",8
2.13016777583792,"CD177",8
0.552089966659162,"PTX3",8
0.740166298413423,"BCL2",8
2.28616416719901,"S100A8",8
1.66810513743513,"S100A9",8
2.54008847171347,"S100A12",8
0,"CCL2",8
0.0506896551724138,"CCL19",8
0.015,"CCL25",8
0.616014098518765,"TLR2",8
1.9588443138327,"TLR4",8
0.07729394127378,"TNF",8
1.15945581885711,"C3AR1",8
