"MeanDecreaseGini","Feature","Iteration"
0.251433857539315,"FCGR1A",1
0,"CCR2",1
0.0189473684210526,"IL8",1
0.0188235294117647,"IL10",1
0,"HIF1A",1
0.0366666666666667,"IFNB1",1
1.49440565587937,"ITGAM",1
0,"TREM1",1
0,"IFNA1",1
0.831809673158642,"HLA.DRA",1
0,"C5AR1",1
0.846538586393227,"PLAUR",1
0.503197090784315,"LCN2",1
0,"IFNA2",1
0.0191666666666667,"IL6",1
0.0193333333333333,"BCL2",1
0,"CALCA",1
1.06438069037106,"TLR4",1
0.0190909090909091,"ELA2",1
0.0188235294117647,"CCR7",1
0.171306990881459,"CCL2",1
0.0363636363636364,"MAPK14",1
0,"TNF",1
0,"NOTCH1",1
0.648485090264346,"S100A8",1
0,"LBP",1
2.31760154738878,"MMP8",1
1.3679705400982,"MAPK14.1",1
0,"CCL25",1
1.34571271448618,"MYD88",1
0,"CD14",1
0.0188235294117647,"CX3CR1",1
0.824381205673759,"S100A12",1
1.33471198576142,"S100A9",1
0.0514285714285714,"OLFM4",1
0.202794326241135,"IL1R2",1
0.0188888888888889,"P2RX7",1
0,"HIF1A.1",1
0,"VCAM1",1
0,"CCL19",1
0.038,"CCR2.1",1
0.0180229885057471,"IL1R2.1",1
0.23615591711862,"TLR2",1
0.61784540932576,"CD177",1
0.0647619047619048,"IL1B",1
0,"CCR2.2",1
0,"CRP",1
1.06968710888611,"SOCS3",1
0,"CCL25.1",1
0.214912118408881,"C3AR1",1
0.550795417348609,"MAPK14.2",1
0,"HMGB1",1
0.019,"CXCL10",1
0.463475177304965,"MMP9",1
0.689139990777946,"BCL2.1",1
0.0188235294117647,"TNFSF10",1
0.0192307692307692,"PTX3",1
0,"PDCD1",1
0.00920000000000002,"CALCA.1",1
0,"ICAM1",1
0.166608260325407,"ARG1",1
0.0191304347826087,"IL10.1",1
0,"CX3CR1.1",1
0,"OLFM4.1",1
0.408424283735156,"SOCS3.1",1
0.0182531194295915,"HLA.DRA.1",1
0.404163212673851,"FCGR1A.1",1
0.075013986013986,"IL8.1",1
0,"IFNG",1
0,"HMGB1.1",1
0.223957458021473,"BCL2.2",1
0.0549561403508772,"IL1R2.2",1
0.0191666666666667,"CCR2.3",1
0.0368,"VCAM1.1",1
0.0518181818181818,"NLRP3",1
0,"VCAM1.2",1
0,"CALCA.2",1
0,"BCL2.3",1
1.28016868558878,"PLAUR.1",1
0,"CCR2.4",1
0,"HIF1A.2",1
1.28193868249628,"MAPK14.3",1
0,"CD14.1",1
0.593841035236734,"GATA3",1
0.322005916486517,"PLAUR.2",1
0,"FCGR1A",2
0,"CCR2",2
0.0706593406593407,"IL8",2
0,"IL10",2
0.27298975571316,"HIF1A",2
0,"IFNB1",2
0.882591804570528,"ITGAM",2
0.0381985294117647,"TREM1",2
0,"IFNA1",2
0.210739614994934,"HLA.DRA",2
0,"C5AR1",2
0.38302071668533,"PLAUR",2
0.915640635959785,"LCN2",2
0,"IFNA2",2
0,"IL6",2
0.0192592592592592,"BCL2",2
0,"CALCA",2
1.30511236633511,"TLR4",2
0.0381666666666667,"ELA2",2
0.23404255319149,"CCR7",2
0,"CCL2",2
0,"MAPK14",2
0,"TNF",2
0,"NOTCH1",2
0.210739614994934,"S100A8",2
0,"LBP",2
1.7869452887538,"MMP8",2
2.02297872340426,"MAPK14.1",2
0,"CCL25",2
0.859212583737335,"MYD88",2
0,"CD14",2
0.193423597678917,"CX3CR1",2
0.859838591342627,"S100A12",2
1.37531914893617,"S100A9",2
0.166350245499182,"OLFM4",2
0.427840541165588,"IL1R2",2
0,"P2RX7",2
0,"HIF1A.1",2
0,"VCAM1",2
0,"CCL19",2
0,"CCR2.1",2
0.711473404255319,"IL1R2.1",2
0.234078785075547,"TLR2",2
1.13515331664581,"CD177",2
0,"IL1B",2
0,"CCR2.2",2
0,"CRP",2
0.46806841208437,"SOCS3",2
0.0554545454545455,"CCL25.1",2
0.393089941972921,"C3AR1",2
0.401795212765957,"MAPK14.2",2
0,"HMGB1",2
0,"CXCL10",2
1.66314893617021,"MMP9",2
1.14154085649326,"BCL2.1",2
0.0505263157894737,"TNFSF10",2
0,"PTX3",2
0,"PDCD1",2
0,"CALCA.1",2
0,"ICAM1",2
0,"ARG1",2
0,"IL10.1",2
0.055,"CX3CR1.1",2
0.594303471444569,"OLFM4.1",2
0.44856326987682,"SOCS3.1",2
0,"HLA.DRA.1",2
0.376320162107396,"FCGR1A.1",2
0.0382575757575758,"IL8.1",2
0.252866082603254,"IFNG",2
0,"HMGB1.1",2
1.08824559010729,"BCL2.2",2
0,"IL1R2.2",2
0,"CCR2.3",2
0,"VCAM1.1",2
0.0552813852813853,"NLRP3",2
0,"VCAM1.2",2
0,"CALCA.2",2
0.0772017336485422,"BCL2.3",2
0.054375,"PLAUR.1",2
0,"CCR2.4",2
0,"HIF1A.2",2
0.7203242147923,"MAPK14.3",2
0,"CD14.1",2
0.20803242147923,"GATA3",2
0,"PLAUR.2",2
0.464161370544349,"FCGR1A",3
0.0518181818181818,"CCR2",3
0,"IL8",3
0,"IL10",3
0.166322188449848,"HIF1A",3
0,"IFNB1",3
1.11044648613798,"ITGAM",3
0.0190909090909091,"TREM1",3
0,"IFNA1",3
0.612419406834301,"HLA.DRA",3
0,"C5AR1",3
0.467234042553192,"PLAUR",3
0.251650770359501,"LCN2",3
0,"IFNA2",3
0,"IL6",3
0.0696567505720824,"BCL2",3
0,"CALCA",3
0.234042553191489,"TLR4",3
0.036,"ELA2",3
0.354405222437138,"CCR7",3
0.0514285714285714,"CCL2",3
0.0191304347826079,"MAPK14",3
0,"TNF",3
0.0352941176470588,"NOTCH1",3
0.872380584623702,"S100A8",3
0,"LBP",3
1.61544973544974,"MMP8",3
1.88806757647396,"MAPK14.1",3
0,"CCL25",3
1.15297185998627,"MYD88",3
0,"CD14",3
0.166350245499182,"CX3CR1",3
1.92215266319678,"S100A12",3
0.423388494877857,"S100A9",3
0,"OLFM4",3
0,"IL1R2",3
0,"P2RX7",3
0,"HIF1A.1",3
0.0719666666666667,"VCAM1",3
0.0368,"CCL19",3
0.0191304347826087,"CCR2.1",3
0.881418519808899,"IL1R2.1",3
0.0742857142857142,"TLR2",3
1.13148771448181,"CD177",3
0.0875714285714286,"IL1B",3
0,"CCR2.2",3
0,"CRP",3
0.856266847106835,"SOCS3",3
0,"CCL25.1",3
0.578934143870314,"C3AR1",3
0,"MAPK14.2",3
0,"HMGB1",3
0.0190909090909091,"CXCL10",3
1.13193004513217,"MMP9",3
1.07010940611792,"BCL2.1",3
0.0357894736842105,"TNFSF10",3
0,"PTX3",3
0.019,"PDCD1",3
0,"CALCA.1",3
0.0189473684210526,"ICAM1",3
0,"ARG1",3
0,"IL10.1",3
0,"CX3CR1.1",3
0.279042553191489,"OLFM4.1",3
0,"SOCS3.1",3
0.0190909090909092,"HLA.DRA.1",3
0.92784124386252,"FCGR1A.1",3
0.036,"IL8.1",3
