"Feature","Mean_Importance"
"MAPK14.1",1.79382056222548
"MMP8",1.70419160788621
"MYD88",1.33616410747273
"MMP9",1.11995061287464
"SOCS3",1.05497387584911
"S100A12",0.945610576633295
"CD177",0.94005537465166
"BCL2.1",0.937590498536752
"ITGAM",0.905980107350929
"S100A8",0.895589771399307
"S100A9",0.842248903762991
"TLR4",0.792447778803506
"MAPK14.3",0.780668536682018
"GATA3",0.73760524323837
"BCL2.2",0.703967914149193
"IL1R2.1",0.592392755001999
"MAPK14.2",0.53502513914577
"FCGR1A.1",0.506369487645557
"HLA.DRA",0.464252747162013
"IL1R2",0.425897495838467
"TLR2",0.408634946168676
"LCN2",0.404425812505801
"FCGR1A",0.396461425162714
"PLAUR.2",0.362309995164771
"ARG1",0.341282476957086
"SOCS3.1",0.33394998144374
"C3AR1",0.297506272782626
"PLAUR.1",0.238074914320273
"PLAUR",0.216100969810402
"CCR7",0.198658368858659
"OLFM4.1",0.147799164790595
"HIF1A",0.108991699574641
"HLA.DRA.1",0.106054260655221
"HIF1A.1",0.0915300159975872
"IFNG",0.0868395671796921
"CX3CR1.1",0.0741501102937877
"OLFM4",0.0727048401795937
"HIF1A.2",0.0708929744643934
"CX3CR1",0.0674577121775126
"IL1B",0.0363825685684879
"IL8.1",0.0340719144939781
"TNF",0.0286082243353461
"TNFSF10",0.0240661853364625
"C5AR1",0.024052053173819
"CCL2",0.022592898466348
"IL8",0.0208956350723231
"CCR2.1",0.020015635000293
"ELA2",0.0172029929899855
"CXCL10",0.016883471439102
"CCR2.3",0.0159876516550147
"IL1R2.2",0.0127978326087807
"P2RX7",0.0103688626750648
"CALCA.2",0.010242042214552
"NLRP3",0.010013506291563
"VCAM1.1",0.00863652141379254
"CD14.1",0.00829704950901371
"IL10.1",0.00811953001581627
"BCL2",0.00772798199209266
"CD14",0.00768514573397725
"IL10",0.00740540751165616
"CCL25",0.00715556441857342
"CCL25.1",0.00710486779227862
"IFNB1",0.00698312691838705
"CCR2",0.00648706791149354
"PDCD1",0.00492552681160643
"VCAM1",0.00467063243116088
"LBP",0.00449243387966635
"TREM1",0.00444431472247036
"VCAM1.2",0.00424812866769893
"CCL19",0.00401083029053679
"MAPK14",0.00358854629404464
"BCL2.3",0.00357775813565973
"NOTCH1",0.00348746392273018
"PTX3",0.00317190118018763
"CCR2.4",0.00300594744788677
"HMGB1.1",0.00280554240325346
"IL6",0.00239401141853316
"CRP",0.00238728565730894
"CALCA",0.00203547934006138
"IFNA2",0.00200149999123684
"CCR2.2",0.00180879047361546
"IFNA1",0.00175612582406697
"CALCA.1",0.00156129874784713
"HMGB1",0.00147419229892914
"ICAM1",0.00137399027872712
