"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"FCGR1A",0.966896279024991,0.988181818181818,1,0.978333333333333,1,1,0.956666666666667
"CCR2",0.969442719099992,0.989090909090909,1,0.98,1,1,0.96
"IL8",0.945577094831044,0.981006993006993,1,0.968333333333333,0.99,0.997142857142857,0.938333333333333
"IL10",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"HIF1A",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"IFNB1",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"ITGAM",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"TREM1",0.936298357748961,0.977230769230769,1,0.96,0.995,0.998571428571429,0.921666666666667
"IFNA1",0.934618300515858,0.97613986013986,1,0.958333333333333,0.995,0.998571428571429,0.92
"HLA.DRA",0.947257152064147,0.982097902097902,1,0.97,0.99,0.997142857142857,0.94
"C5AR1",0.959256958799989,0.985454545454545,1,0.973333333333333,1,1,0.946666666666667
"PLAUR",0.93720538096688,0.977090909090909,1,0.958333333333333,1,1,0.918333333333333
"LCN2",0.927019620666877,0.973454545454545,1,0.951666666666667,1,1,0.905
"IFNA2",0.94225762074086,0.978867132867133,1,0.963333333333333,0.995,0.998571428571429,0.93
"IL6",0.932885534832062,0.976503496503497,1,0.958333333333333,0.995,0.998571428571429,0.916666666666667
"BCL2",0.932978883658776,0.975090909090909,1,0.955,1,1,0.913333333333333
"CALCA",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"TLR4",0.958443284408783,0.984181818181818,1,0.971666666666667,1,1,0.946666666666667
"ELA2",0.970309101941889,0.988909090909091,1,0.98,1,1,0.961666666666667
"CCR7",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"CCL2",0.938071763808778,0.976909090909091,0.999583333333333,0.958333333333333,1,1,0.92
"MAPK14",0.969442719099992,0.989090909090909,1,0.98,1,1,0.96
"TNF",0.932112500816879,0.975272727272727,1,0.955,1,1,0.911666666666667
"NOTCH1",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"S100A8",0.960123341641886,0.985272727272727,1,0.973333333333333,1,1,0.948333333333333
"LBP",0.96434983894999,0.987272727272727,1,0.976666666666667,1,1,0.953333333333333
"MMP8",0.931937871238121,0.976601398601399,1,0.961666666666667,0.985,0.995714285714286,0.925
"MAPK14.1",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"CCL25",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"MYD88",0.918619334501362,0.968,1,0.943333333333333,1,1,0.896666666666667
"CD14",0.942350969567574,0.977454545454545,1,0.96,1,1,0.926666666666667
"CX3CR1",0.97285554201689,0.989818181818182,1,0.981666666666667,1,1,0.965
"S100A12",0.930485152034468,0.972727272727273,1,0.951666666666667,1,1,0.911666666666667
"S100A9",0.952484021416884,0.982545454545454,1,0.968333333333333,1,1,0.938333333333333
"OLFM4",0.953350404258782,0.982363636363636,0.999166666666667,0.968333333333333,1,1,0.94
"IL1R2",0.954989821115863,0.983412587412587,1,0.971666666666667,0.995,0.998571428571429,0.946666666666667
"P2RX7",0.943124003582757,0.978685314685315,1,0.963333333333333,0.995,0.998571428571429,0.931666666666667
"HIF1A.1",0.946536826499656,0.979412587412587,1,0.965,0.995,0.998571428571429,0.936666666666667
"VCAM1",0.953257055432068,0.983776223776224,1,0.971666666666667,0.995,0.998571428571429,0.943333333333333
"CCL19",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"CCR2.1",0.94225762074086,0.978867132867133,1,0.963333333333333,0.995,0.998571428571429,0.93
"IL1R2.1",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"TLR2",0.948164175282066,0.981958041958042,1,0.968333333333333,0.995,0.998571428571429,0.936666666666667
"CD177",0.92271184260673,0.971370629370629,1,0.951666666666667,0.99,0.997142857142857,0.91
"IL1B",0.960123341641886,0.985272727272727,0.999583333333333,0.973333333333333,1,1,0.948333333333333
"CCR2.2",0.957576901566886,0.984363636363636,1,0.971666666666667,1,1,0.945
"CRP",0.944844701191882,0.979818181818182,1,0.963333333333333,1,1,0.928333333333333
"SOCS3",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"CCL25.1",0.944844701191882,0.979818181818182,1,0.963333333333333,1,1,0.928333333333333
"C3AR1",0.943164643958779,0.978727272727273,1,0.961666666666667,1,1,0.926666666666667
"MAPK14.2",0.96434983894999,0.987272727272727,1,0.976666666666667,1,1,0.953333333333333
"HMGB1",0.974535599249993,0.990909090909091,1,0.983333333333333,1,1,0.966666666666667
"CXCL10",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"MMP9",0.942298261116882,0.978909090909091,1,0.961666666666667,1,1,0.925
"BCL2.1",0.945577094831044,0.981006993006993,1,0.968333333333333,0.99,0.997142857142857,0.938333333333333
"TNFSF10",0.926978980290855,0.973412587412587,1,0.953333333333333,0.995,0.998571428571429,0.91
"PTX3",0.93720538096688,0.977090909090909,1,0.958333333333333,1,1,0.918333333333333
"PDCD1",0.949071198499986,0.981818181818182,1,0.966666666666667,1,1,0.933333333333333
"CALCA.1",0.94480406081586,0.979776223776224,1,0.965,0.995,0.998571428571429,0.933333333333333
"ICAM1",0.926978980290855,0.973412587412587,1,0.953333333333333,0.995,0.998571428571429,0.91
"ARG1",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"IL10.1",0.934004245667804,0.97469696969697,0.99875,0.956666666666667,0.995,0.998333333333333,0.92
"CX3CR1.1",0.924473180591877,0.972545454545454,1,0.95,1,1,0.901666666666667
"OLFM4.1",0.951617638574987,0.982727272727273,1,0.968333333333333,1,1,0.936666666666667
"SOCS3.1",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"HLA.DRA.1",0.946524758424985,0.980909090909091,1,0.965,1,1,0.93
"FCGR1A.1",0.926978980290855,0.973412587412587,1,0.953333333333333,0.995,0.998571428571429,0.91
"IL8.1",0.931246117974981,0.975454545454545,1,0.955,1,1,0.91
"IFNG",0.952350032214148,0.983916083916084,1,0.973333333333333,0.99,0.997142857142857,0.946666666666667
"HMGB1.1",0.954164078649987,0.983636363636364,1,0.97,1,1,0.94
"BCL2.2",0.954896472289149,0.984825174825175,0.999166666666667,0.975,0.99,0.997142857142857,0.95
"IL1R2.2",0.942298261116882,0.978909090909091,1,0.961666666666667,1,1,0.925
"CCR2.3",0.944844701191882,0.979818181818182,1,0.963333333333333,1,1,0.928333333333333
"VCAM1.1",0.949071198499986,0.981818181818182,1,0.966666666666667,1,1,0.933333333333333
"NLRP3",0.946524758424985,0.980909090909091,0.999166666666667,0.965,1,1,0.93
"VCAM1.2",0.946524758424985,0.980909090909091,1,0.965,1,1,0.93
"CALCA.2",0.955803495507069,0.984685314685315,1,0.973333333333333,0.995,0.998571428571429,0.946666666666667
"BCL2.3",0.931164837222937,0.975370629370629,1,0.958333333333333,0.99,0.997142857142857,0.92
"PLAUR.1",0.961803398874989,0.986363636363636,1,0.975,1,1,0.95
"CCR2.4",0.934658940891879,0.976181818181818,1,0.956666666666667,1,1,0.915
"HIF1A.2",0.943071295132065,0.98013986013986,0.999166666666667,0.965,0.995,0.998571428571429,0.93
"MAPK14.3",0.975401982091891,0.990727272727273,1,0.983333333333333,1,1,0.968333333333333
"CD14.1",0.950669974981045,0.982825174825175,1,0.971666666666667,0.99,0.997142857142857,0.945
"GATA3",0.954123438273966,0.983594405594406,1,0.971666666666667,0.995,0.998571428571429,0.945
"PLAUR.2",0.949937581341884,0.981636363636364,1,0.966666666666667,1,1,0.935
