"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"FCGR1A",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"CCR2",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"IL8",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"IL10",0.958443284408783,0.984181818181818,1,0.971666666666667,1,1,0.946666666666667
"HIF1A",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"IFNB1",0.943164643958779,0.978727272727273,0.999166666666667,0.961666666666667,1,1,0.926666666666667
"ITGAM",0.971175484783787,0.988727272727273,1,0.98,1,1,0.963333333333333
"TREM1",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"IFNA1",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"HLA.DRA",0.941484586725676,0.977636363636364,0.999166666666667,0.96,1,1,0.925
"C5AR1",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"PLAUR",0.949123906950678,0.980363636363636,0.999166666666667,0.965,1,1,0.935
"LCN2",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"IFNA2",0.953350404258782,0.982363636363636,0.999166666666667,0.968333333333333,1,1,0.94
"IL6",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"BCL2",0.959309667250681,0.984,1,0.971666666666667,1,1,0.948333333333333
"CALCA",0.95676322717568,0.983090909090909,0.999166666666667,0.97,1,1,0.945
"TLR4",0.960123341641886,0.985272727272727,1,0.973333333333333,1,1,0.948333333333333
"ELA2",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"CCR7",0.95676322717568,0.983090909090909,1,0.97,1,1,0.945
"CCL2",0.959309667250681,0.984,1,0.971666666666667,1,1,0.948333333333333
"MAPK14",0.940577563507757,0.977776223776224,1,0.961666666666667,0.995,0.998571428571429,0.928333333333333
"TNF",0.938938146650675,0.976727272727273,1,0.958333333333333,1,1,0.921666666666667
"NOTCH1",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"S100A8",0.963536164558785,0.986,1,0.975,1,1,0.953333333333333
"LBP",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"MMP8",0.922752482982752,0.971412587412587,1,0.95,0.995,0.998571428571429,0.905
"MAPK14.1",0.925339563433774,0.972363636363636,0.999166666666667,0.95,1,1,0.903333333333333
"CCL25",0.938938146650675,0.976727272727273,0.999166666666667,0.958333333333333,1,1,0.921666666666667
"MYD88",0.923659506200671,0.971272727272727,1,0.948333333333333,1,1,0.901666666666667
"CD14",0.955856203957761,0.983230769230769,1,0.971666666666667,0.995,0.998571428571429,0.948333333333333
"CX3CR1",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"S100A12",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"S100A9",0.95421678710068,0.982181818181818,1,0.968333333333333,1,1,0.941666666666667
"OLFM4",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"IL1R2",0.942298261116882,0.978909090909091,1,0.961666666666667,1,1,0.925
"P2RX7",0.95421678710068,0.982181818181818,0.999166666666667,0.968333333333333,1,1,0.941666666666667
"HIF1A.1",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"VCAM1",0.935525323733777,0.976,0.99875,0.956666666666667,1,1,0.916666666666667
"CCL19",0.942298261116882,0.978909090909091,1,0.961666666666667,1,1,0.925
"CCR2.1",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"IL1R2.1",0.958549555125221,0.985424242424242,0.99875,0.975,0.995,0.998333333333333,0.95
"TLR2",0.966082604633785,0.986909090909091,1,0.976666666666667,1,1,0.956666666666667
"CD177",0.935525323733777,0.976,1,0.956666666666667,1,1,0.916666666666667
"IL1B",0.95676322717568,0.983090909090909,0.999166666666667,0.97,1,1,0.945
"CCR2.2",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"CRP",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"SOCS3",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"CCL25.1",0.949123906950678,0.980363636363636,0.999166666666667,0.965,1,1,0.935
"C3AR1",0.954989821115863,0.983412587412587,1,0.971666666666667,0.995,0.998571428571429,0.946666666666667
"MAPK14.2",0.95421678710068,0.982181818181818,1,0.968333333333333,1,1,0.941666666666667
"HMGB1",0.938938146650675,0.976727272727273,0.999583333333333,0.958333333333333,1,1,0.921666666666667
"CXCL10",0.938071763808778,0.976909090909091,1,0.958333333333333,1,1,0.92
"MMP9",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"BCL2.1",0.946577466875678,0.979454545454545,0.999166666666667,0.963333333333333,1,1,0.931666666666667
"TNFSF10",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"PTX3",0.948216883732759,0.980503496503497,1,0.966666666666667,0.995,0.998571428571429,0.938333333333333
"PDCD1",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"CALCA.1",0.957536261190864,0.984321678321678,1,0.973333333333333,0.995,0.998571428571429,0.95
"ICAM1",0.955030461491885,0.983454545454545,0.999166666666667,0.97,1,1,0.941666666666667
"ARG1",0.948257524108781,0.980545454545454,0.999583333333333,0.965,1,1,0.933333333333333
"IL10.1",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"CX3CR1.1",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"OLFM4.1",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"SOCS3.1",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"HLA.DRA.1",0.95676322717568,0.983090909090909,1,0.97,1,1,0.945
"FCGR1A.1",0.938938146650675,0.976727272727273,1,0.958333333333333,1,1,0.921666666666667
"IL8.1",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"IFNG",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"HMGB1.1",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"BCL2.2",0.95676322717568,0.983090909090909,0.999166666666667,0.97,1,1,0.945
"IL1R2.2",0.943164643958779,0.978727272727273,1,0.961666666666667,1,1,0.926666666666667
"CCR2.3",0.958443284408783,0.984181818181818,0.999166666666667,0.971666666666667,1,1,0.946666666666667
"VCAM1.1",0.943937677973963,0.979958041958042,1,0.965,0.995,0.998571428571429,0.931666666666667
"NLRP3",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"VCAM1.2",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"CALCA.2",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"BCL2.3",0.948257524108781,0.980545454545454,0.999166666666667,0.965,1,1,0.933333333333333
"PLAUR.1",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"CCR2.4",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"HIF1A.2",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"MAPK14.3",0.970309101941889,0.988909090909091,1,0.98,1,1,0.961666666666667
"CD14.1",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"GATA3",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
