"Noise_Level","MCC","F1","AUC","TPR","TNR","PPV","NPV"
0,0.943937677973963,0.979958041958042,1,0.965,0.995,0.998571428571429,0.931666666666667
5,0.899220467459692,0.961787878787879,0.999166666666667,0.933333333333333,0.995,0.998333333333333,0.875
10,0.919165030487096,0.972013986013986,0.998333333333333,0.955,0.98,0.994285714285714,0.913333333333333
15,0.898017747350002,0.967282051282051,0.996666666666667,0.953333333333333,0.955,0.986666666666667,0.906666666666667
20,0.842961471046035,0.918195804195804,0.944166666666667,0.916666666666667,0.865,0.925714285714286,0.888333333333333
25,0.838098006439742,0.93739627039627,0.9675,0.93,0.885,0.952047619047619,0.878333333333333
30,0.785735732310881,0.90793006993007,0.941666666666667,0.901666666666667,0.835,0.922857142857143,0.843333333333333
35,0.831333668070594,0.950841491841492,0.979583333333333,0.953333333333333,0.855,0.956714285714286,0.910666666666667
40,0.709022592347441,0.858587412587413,0.8925,0.858333333333333,0.75,0.868952380952381,0.794666666666667
45,0.725124157210252,0.892312354312354,0.91625,0.903333333333333,0.74,0.887619047619048,0.835
50,0.743231931810075,0.888202797202797,0.895416666666667,0.901666666666667,0.745,0.882047619047619,0.852333333333333
