"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"FCGR1A",0.937030751388122,0.97841958041958,1,0.965,0.985,0.995714285714286,0.931666666666667
"CCR2",0.954123438273966,0.983594405594406,0.999166666666667,0.971666666666667,0.995,0.998571428571429,0.945
"IL8",0.951617638574987,0.982727272727273,1,0.968333333333333,1,1,0.936666666666667
"IL10",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"HIF1A",0.949803592139148,0.983006993006993,1,0.971666666666667,0.99,0.997142857142857,0.943333333333333
"IFNB1",0.952484021416884,0.982545454545454,0.999166666666667,0.968333333333333,1,1,0.938333333333333
"ITGAM",0.949937581341884,0.981636363636364,1,0.966666666666667,1,1,0.935
"TREM1",0.949762951763126,0.982965034965035,1,0.973333333333333,0.985,0.995714285714286,0.948333333333333
"IFNA1",0.959256958799989,0.985454545454545,1,0.973333333333333,1,1,0.946666666666667
"HLA.DRA",0.952443381040862,0.982503496503497,0.999166666666667,0.97,0.995,0.998571428571429,0.943333333333333
"C5AR1",0.947391141266883,0.980727272727273,0.999166666666667,0.965,1,1,0.931666666666667
"PLAUR",0.971082135957073,0.99013986013986,1,0.983333333333333,0.995,0.998571428571429,0.966666666666667
"LCN2",0.951576998198965,0.982685314685315,1,0.97,0.995,0.998571428571429,0.941666666666667
"IFNA2",0.947257152064147,0.982097902097902,1,0.97,0.99,0.997142857142857,0.94
"IL6",0.946350128846227,0.982237762237762,1,0.971666666666667,0.985,0.995714285714286,0.943333333333333
"BCL2",0.921886100140854,0.971594405594406,1,0.95,0.995,0.998571428571429,0.903333333333333
"CALCA",0.944844701191882,0.979818181818182,1,0.963333333333333,1,1,0.928333333333333
"TLR4",0.96089637565707,0.986503496503496,1,0.976666666666667,0.995,0.998571428571429,0.953333333333333
"ELA2",0.949937581341884,0.981636363636364,1,0.966666666666667,1,1,0.935
"CCR7",0.951576998198965,0.982685314685315,1,0.97,0.995,0.998571428571429,0.941666666666667
"CCL2",0.93375191767396,0.976321678321678,1,0.958333333333333,0.995,0.998571428571429,0.918333333333333
"MAPK14",0.959216318423967,0.985412587412587,1,0.975,0.995,0.998571428571429,0.951666666666667
"TNF",0.945443105628308,0.982377622377622,1,0.973333333333333,0.98,0.994285714285714,0.946666666666667
"NOTCH1",0.957576901566886,0.984363636363636,1,0.971666666666667,1,1,0.945
"S100A8",0.947391141266883,0.980727272727273,1,0.965,1,1,0.931666666666667
"LBP",0.952484021416884,0.982545454545454,1,0.968333333333333,1,1,0.938333333333333
"MMP8",0.958349935582069,0.985594405594406,1,0.975,0.995,0.998571428571429,0.95
"MAPK14.1",0.952484021416884,0.982545454545454,1,0.968333333333333,1,1,0.938333333333333
"CCL25",0.93375191767396,0.976321678321678,0.998333333333333,0.958333333333333,0.995,0.998571428571429,0.918333333333333
"MYD88",0.922793123358774,0.971454545454545,1,0.948333333333333,1,1,0.9
"CD14",0.947391141266883,0.980727272727273,1,0.965,1,1,0.931666666666667
"CX3CR1",0.960855735281048,0.986461538461539,1,0.978333333333333,0.99,0.997142857142857,0.958333333333333
"S100A12",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"S100A9",0.940618203883778,0.977818181818182,1,0.96,1,1,0.923333333333333
"OLFM4",0.943937677973963,0.979958041958042,1,0.965,0.995,0.998571428571429,0.931666666666667
"IL1R2",0.946350128846227,0.982237762237762,1,0.971666666666667,0.985,0.995714285714286,0.943333333333333
"P2RX7",0.932031220064835,0.975188811188811,1,0.958333333333333,0.99,0.997142857142857,0.921666666666667
"HIF1A.1",0.977082039324994,0.991818181818182,1,0.985,1,1,0.97
"VCAM1",0.943071295132065,0.98013986013986,1,0.965,0.995,0.998571428571429,0.93
"CCL19",0.956710518724988,0.984545454545455,1,0.971666666666667,1,1,0.943333333333333
"CCR2.1",0.945617735207066,0.981048951048951,1,0.966666666666667,0.995,0.998571428571429,0.933333333333333
"IL1R2.1",0.966896279024991,0.988181818181818,1,0.978333333333333,1,1,0.956666666666667
"TLR2",0.965989255807071,0.988321678321678,1,0.98,0.995,0.998571428571429,0.96
"CD177",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"IL1B",0.964309198573968,0.987230769230769,1,0.978333333333333,0.995,0.998571428571429,0.958333333333333
"CCR2.2",0.954896472289149,0.984825174825175,1,0.975,0.99,0.997142857142857,0.95
"CRP",0.957576901566886,0.984363636363636,1,0.971666666666667,1,1,0.945
"SOCS3",0.943803688771227,0.981328671328671,1,0.97,0.985,0.995714285714286,0.94
"CCL25.1",0.951536357822943,0.982643356643357,1,0.971666666666667,0.99,0.997142857142857,0.946666666666667
"C3AR1",0.960989724483784,0.985090909090909,1,0.973333333333333,1,1,0.95
"MAPK14.2",0.948082894530023,0.981874125874126,1,0.971666666666667,0.985,0.995714285714286,0.946666666666667
"HMGB1",0.939670540289837,0.977916083916084,1,0.963333333333333,0.99,0.997142857142857,0.931666666666667
"CXCL10",0.96089637565707,0.986503496503496,1,0.976666666666667,0.995,0.998571428571429,0.953333333333333
"MMP9",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"BCL2.1",0.95653588914623,0.985874125874126,1,0.978333333333333,0.985,0.995714285714286,0.956666666666667
"TNFSF10",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
