"Feature","Mean_Importance","SD_Importance"
"CD177",1.12788557575313,0.463294121850645
"S100A12",1.09012544129586,0.488328651759217
"S100A8",1.03115598065999,0.500603282499422
"MMP8",1.02414620037003,0.488131851237525
"MAPK14.3",1.01771737542027,0.434837041021892
"SOCS3",0.994018852807125,0.394724669936674
"MYD88",0.95449319616837,0.402790448249693
"S100A9",0.929533729340235,0.412361900844098
"MAPK14.1",0.922562013900939,0.459958164969939
"ARG1",0.7970305195411,0.498792003207154
"ITGAM",0.735654676199084,0.427820657789123
"MAPK14.2",0.727256446301178,0.386656524800019
"IL1R2.1",0.722413938953957,0.440045323868506
"TLR4",0.718138599162172,0.470738463791077
"TLR2",0.671417991202295,0.395287726045986
"SOCS3.1",0.580163446473817,0.390368574171962
"MMP9",0.543282476457794,0.396242349412177
"FCGR1A",0.44664153627435,0.388648225164807
"BCL2.1",0.438443385560077,0.347109573375335
"GATA3",0.397461359756444,0.364101842629514
"LCN2",0.384414682455228,0.312947577406934
"BCL2.2",0.344792975605327,0.320537737336966
"PLAUR.2",0.318374283620364,0.319261382332523
"C3AR1",0.316572650094571,0.302601352784037
"IL1R2",0.285725227237453,0.255832233031777
"CCR7",0.270765877717911,0.257150610218825
"HLA.DRA",0.254936973824528,0.274309637670127
"PLAUR.1",0.205915165459778,0.234542996358596
"C5AR1",0.194073921165367,0.216973891047784
"OLFM4.1",0.184181269131252,0.210064050355903
"IL1R2.2",0.159696497351509,0.201440459736075
"PLAUR",0.147383758837479,0.310382813160161
"HIF1A.2",0.110323153444075,0.160820642313842
"HLA.DRA.1",0.0930186877531465,0.161675382767188
"HIF1A.1",0.0849706409791275,0.15859173817571
"HIF1A",0.0829248818835201,0.157046672280097
"OLFM4",0.0789794391475977,0.147632915313544
"TNFSF10",0.0743128027859852,0.122484647342527
"IFNG",0.0721446042402105,0.114134052160685
"CX3CR1",0.0676037644404112,0.115391812955594
"CX3CR1.1",0.0531277266895915,0.109829891815534
"TNF",0.036843317500412,0.0899832389822634
"CXCL10",0.0321147539538452,0.0698934898076072
"IL1B",0.0228129854968522,0.0551398461959226
"VCAM1.2",0.022549551187094,0.0865010090252987
"PDCD1",0.0179432994715375,0.0583661533243538
"CCR2.4",0.0152582560101626,0.049949618561743
"CCR2.3",0.0149917967830453,0.0439373502190735
"CD14.1",0.0148105627661204,0.0697221856220024
"IL8.1",0.01201890724532,0.0379120020406602
"ELA2",0.0111711249389989,0.036228601805465
"CCR2.1",0.010634154695038,0.0348667765615094
"CCL2",0.0105764400491166,0.0355819936148847
"P2RX7",0.00962751475315121,0.0206664561629794
"MAPK14",0.0086227282442751,0.0266363036541532
"CCR2.6",0.00846180288617327,0.0243363679627295
"IL8",0.00831613088131381,0.0246764873116934
"CCR2.5",0.00696430804262518,0.0238836168043402
"NOTCH1",0.00648463451689734,0.0293384797030875
"NLRP3",0.00626830487820512,0.0352362608102762
"CCR2.2",0.0057008262218176,0.0213512098856208
"VCAM1",0.00427598410679074,0.0140165445530919
"IFNA2",0.00401070617866452,0.0106092461659415
"NLRP3.1",0.00352022359713285,0.0123510273255445
"CCL25.1",0.00337274402523487,0.00895870518263393
"TREM1",0.00295220229046316,0.0106254934312441
"IL10.1",0.00264557106830791,0.008470864015066
"CCL19",0.00259203931902142,0.00816281036736471
"IL10",0.00242839968897258,0.0117837713422156
"CCR2",0.00239186509714542,0.00835852708309475
"HMGB1.1",0.00225938871387956,0.00665626419807932
"VCAM1.1",0.00225329866070275,0.00715571385114894
"NLRP3.2",0.00220369460821406,0.00822876156553986
"LBP",0.00207052958483164,0.0064498612737876
"CALCA",0.0020574888736994,0.00743981902138777
"CD14",0.00205290071000257,0.0168985419155517
"IFNB1",0.00204962515262515,0.00775991927985906
"CCR2.7",0.00183586494512353,0.00655125022072698
"CALCA.2",0.00175489974937343,0.00784141897166262
"CCL25",0.00154502917372483,0.0070792615567821
"IFNA1",0.0014940404040404,0.00628642031659253
"HMGB1",0.000883134413185564,0.00462256844051535
"BCL2.3",0.000780593149540518,0.00444760013905993
"IL6",0.000738858965595808,0.00364307300946861
"ICAM1",0.000572476190476191,0.00327167039861009
"CALCA.1",0.000571666666666667,0.00326703899135651
"CRP",0.000566464646464647,0.00323742190459868
"PTX3",0.000381818181818182,0.00268619197896553
"BCL2",0,0
