"MeanDecreaseGini","Feature","Iteration"
0,"CCR2",1
0,"IL8",1
0,"CCR2.1",1
0,"IL10",1
0.165951219512195,"HIF1A",1
0,"IFNB1",1
0.776639158872792,"ITGAM",1
0,"TREM1",1
0,"IFNA1",1
0.542658304297329,"HLA.DRA",1
0,"C5AR1",1
0.01875,"PLAUR",1
0.231121951219512,"LCN2",1
0,"NLRP3",1
0,"IFNA2",1
0,"IL6",1
0,"BCL2",1
0,"CALCA",1
0.836190476190476,"TLR4",1
0,"ELA2",1
0,"NLRP3.1",1
0.190243902439024,"CCR7",1
0,"CCL2",1
0,"MAPK14",1
0,"TNF",1
0,"NOTCH1",1
1.01756097560976,"S100A8",1
0,"LBP",1
0.806829268292683,"MMP8",1
1.454262485482,"MAPK14.1",1
0,"CCL25",1
1.39024390243902,"MYD88",1
0,"CD14",1
0.351140862495581,"CX3CR1",1
0.951170122480628,"S100A12",1
1.00528883183569,"S100A9",1
0,"OLFM4",1
0.402926829268293,"IL1R2",1
0,"P2RX7",1
0.204878048780488,"HIF1A.1",1
0,"VCAM1",1
0,"CCL19",1
0,"CCR2.2",1
0.379512195121951,"IL1R2.1",1
0.828922764227642,"TLR2",1
0.608780487804878,"CD177",1
0,"CCR2.3",1
0,"IL1B",1
0,"CCR2.4",1
0.0191666666666667,"CCR2.5",1
0,"CRP",1
0.405853658536585,"SOCS3",1
0,"CCL25.1",1
0.613093709884467,"C3AR1",1
0.601951219512195,"MAPK14.2",1
0,"HMGB1",1
0,"CXCL10",1
0,"MMP9",1
1.20878048780488,"BCL2.1",1
0,"TNFSF10",1
0,"PTX3",1
0,"PDCD1",1
0,"CALCA.1",1
0,"ICAM1",1
0.224078048780488,"ARG1",1
0,"IL10.1",1
0.190243902439024,"CX3CR1.1",1
0.364052532833021,"OLFM4.1",1
0.389650053022269,"SOCS3.1",1
0,"HLA.DRA.1",1
0.177560975609756,"FCGR1A",1
0.1147128245476,"IL8.1",1
0,"IFNG",1
0.0191304347826087,"HMGB1.1",1
0.586686991869919,"BCL2.2",1
0.167711962833914,"IL1R2.2",1
0,"CCR2.6",1
0,"VCAM1.1",1
0,"NLRP3.2",1
0,"VCAM1.2",1
0,"CALCA.2",1
0,"BCL2.3",1
0.592516939628621,"PLAUR.1",1
0,"CCR2.7",1
0,"HIF1A.2",1
0.802926829268293,"MAPK14.3",1
0,"CD14.1",1
0.355884146341463,"GATA3",1
1.01365853658537,"PLAUR.2",1
0,"CCR2",2
0,"IL8",2
0.0547894736842105,"CCR2.1",2
0,"IL10",2
0,"HIF1A",2
0,"IFNB1",2
0.204878048780488,"ITGAM",2
0,"TREM1",2
0,"IFNA1",2
0,"HLA.DRA",2
0.405853658536585,"C5AR1",2
0.121986262966078,"PLAUR",2
0.598048780487805,"LCN2",2
0,"NLRP3",2
0,"IFNA2",2
0,"IL6",2
0,"BCL2",2
0,"CALCA",2
0.808780487804878,"TLR4",2
0,"ELA2",2
0,"NLRP3.1",2
0.0192307692307692,"CCR7",2
0,"CCL2",2
0,"MAPK14",2
0.319054878048781,"TNF",2
0,"NOTCH1",2
0.599024390243902,"S100A8",2
0,"LBP",2
0.846997476871321,"MMP8",2
0.405853658536585,"MAPK14.1",2
0,"CCL25",2
0.204878048780488,"MYD88",2
0.0192307692307692,"CD14",2
0,"CX3CR1",2
1.21170731707317,"S100A12",2
0.594146341463415,"S100A9",2
0.18490243902439,"OLFM4",2
0,"IL1R2",2
0,"P2RX7",2
0,"HIF1A.1",2
0,"VCAM1",2
0,"CCL19",2
0,"CCR2.2",2
1.00878048780488,"IL1R2.1",2
0.784390243902439,"TLR2",2
1.21951219512195,"CD177",2
0,"CCR2.3",2
0,"IL1B",2
0.0192,"CCR2.4",2
0,"CCR2.5",2
0,"CRP",2
0.594146341463415,"SOCS3",2
0,"CCL25.1",2
0.201951219512195,"C3AR1",2
0.408780487804878,"MAPK14.2",2
0,"HMGB1",2
0,"CXCL10",2
1.25557926829268,"MMP9",2
0.606829268292683,"BCL2.1",2
0.378848780487805,"TNFSF10",2
0,"PTX3",2
0,"PDCD1",2
0,"CALCA.1",2
0,"ICAM1",2
0.59609756097561,"ARG1",2
0,"IL10.1",2
0,"CX3CR1.1",2
0.183003851091143,"OLFM4.1",2
1.2,"SOCS3.1",2
0.055,"HLA.DRA.1",2
2.2,"FCGR1A",2
0,"IL8.1",2
0,"IFNG",2
0,"HMGB1.1",2
0,"BCL2.2",2
0.175891181988743,"IL1R2.2",2
0,"CCR2.6",2
0,"VCAM1.1",2
0,"NLRP3.2",2
0.747906586353313,"VCAM1.2",2
0,"CALCA.2",2
0,"BCL2.3",2
0,"PLAUR.1",2
0.0189473684210526,"CCR2.7",2
0,"HIF1A.2",2
1.21658536585366,"MAPK14.3",2
0,"CD14.1",2
0.204878048780488,"GATA3",2
0.371138211382114,"PLAUR.2",2
0,"CCR2",3
0,"IL8",3
0,"CCR2.1",3
0,"IL10",3
0.131273867595819,"HIF1A",3
0,"IFNB1",3
0.381206675224647,"ITGAM",3
0,"TREM1",3
0,"IFNA1",3
0.204878048780488,"HLA.DRA",3
0,"C5AR1",3
0,"PLAUR",3
0.0363636363636364,"LCN2",3
0,"NLRP3",3
0,"IFNA2",3
0,"IL6",3
0,"BCL2",3
0,"CALCA",3
0.60780487804878,"TLR4",3
0.0912,"ELA2",3
0,"NLRP3.1",3
0.18490243902439,"CCR7",3
0,"CCL2",3
0,"MAPK14",3
0,"TNF",3
0,"NOTCH1",3
1.19609756097561,"S100A8",3
0,"LBP",3
1.79024390243902,"MMP8",3
1.20975609756098,"MAPK14.1",3
0.00904761904761905,"CCL25",3
1.37853658536585,"MYD88",3
0,"CD14",3
0,"CX3CR1",3
1.41658536585366,"S100A12",3
1.18926829268293,"S100A9",3
0,"OLFM4",3
0.204878048780488,"IL1R2",3
0.0357894736842105,"P2RX7",3
0,"HIF1A.1",3
0,"VCAM1",3
0.0188235294117647,"CCL19",3
0,"CCR2.2",3
0.812649593495935,"IL1R2.1",3
0.35434484214972,"TLR2",3
0.971707317073171,"CD177",3
0,"CCR2.3",3
0,"IL1B",3
0,"CCR2.4",3
0,"CCR2.5",3
0,"CRP",3
0.780487804878049,"SOCS3",3
0.0192,"CCL25.1",3
0.176298421807747,"C3AR1",3
0.623269926479169,"MAPK14.2",3
0,"HMGB1",3
0.0189473684210526,"CXCL10",3
0.384037940379404,"MMP9",3
0.407804878048781,"BCL2.1",3
0,"TNFSF10",3
0,"PTX3",3
0.0188888888888889,"PDCD1",3
0,"CALCA.1",3
0,"ICAM1",3
0.735948509485095,"ARG1",3
0.019,"IL10.1",3
0,"CX3CR1.1",3
0.199024390243902,"OLFM4.1",3
0.39219512195122,"SOCS3.1",3
0,"HLA.DRA.1",3
0.887498101917927,"FCGR1A",3
0.0357894736842105,"IL8.1",3
0.0188888888888889,"IFNG",3
0.0188888888888889,"HMGB1.1",3
0,"BCL2.2",3
0,"IL1R2.2",3
0,"CCR2.6",3
0,"VCAM1.1",3
0.0189473684210526,"NLRP3.2",3
0,"VCAM1.2",3
0,"CALCA.2",3
0,"BCL2.3",3
0.406829268292683,"PLAUR.1",3
0,"CCR2.7",3
0.178514412416851,"HIF1A.2",3
1.22697154471545,"MAPK14.3",3
0,"CD14.1",3
0.779512195121951,"GATA3",3
0.388674443266172,"PLAUR.2",3
0,"CCR2",4
0.056547619047619,"IL8",4
0,"CCR2.1",4
0,"IL10",4
0,"HIF1A",4
0,"IFNB1",4
1.04816431322208,"ITGAM",4
0,"TREM1",4
0,"IFNA1",4
0,"HLA.DRA",4
0.351926829268293,"C5AR1",4
0,"PLAUR",4
0.175891181988743,"LCN2",4
0,"NLRP3",4
0.0189473684210526,"IFNA2",4
0,"IL6",4
0,"BCL2",4
0,"CALCA",4
0.531318859184015,"TLR4",4
0,"ELA2",4
0,"NLRP3.1",4
0.549690883005087,"CCR7",4
0,"CCL2",4
0,"MAPK14",4
0,"TNF",4
0,"NOTCH1",4
1.83050997782705,"S100A8",4
0,"LBP",4
1.80975609756098,"MMP8",4
0.825579268292683,"MAPK14.1",4
0,"CCL25",4
0.997073170731707,"MYD88",4
0,"CD14",4
0,"CX3CR1",4
0.806829268292683,"S100A12",4
0.816585365853658,"S100A9",4
0,"OLFM4",4
0,"IL1R2",4
0,"P2RX7",4
0,"HIF1A.1",4
0,"VCAM1",4
0,"CCL19",4
0.0363636363636364,"CCR2.2",4
0.385013550135501,"IL1R2.1",4
0.204878048780488,"TLR2",4
0.785829268292683,"CD177",4
0,"CCR2.3",4
0,"IL1B",4
0.0188888888888889,"CCR2.4",4
0,"CCR2.5",4
0,"CRP",4
1.62829268292683,"SOCS3",4
0,"CCL25.1",4
0.395121951219512,"C3AR1",4
0.784894345668471,"MAPK14.2",4
0,"HMGB1",4
0,"CXCL10",4
0.557188855683023,"MMP9",4
0.801066518847007,"BCL2.1",4
0.123475609756098,"TNFSF10",4
0,"PTX3",4
0,"PDCD1",4
0,"CALCA.1",4
0,"ICAM1",4
1.2500243902439,"ARG1",4
0,"IL10.1",4
0,"CX3CR1.1",4
0.405853658536585,"OLFM4.1",4
0.424146341463415,"SOCS3.1",4
0,"HLA.DRA.1",4
0.0383612040133779,"FCGR1A",4
0,"IL8.1",4
0.0191304347826087,"IFNG",4
0,"HMGB1.1",4
0.986723223753977,"BCL2.2",4
0.144595635430039,"IL1R2.2",4
0,"CCR2.6",4
0,"VCAM1.1",4
0,"NLRP3.2",4
0.0188235294117647,"VCAM1.2",4
0,"CALCA.2",4
0,"BCL2.3",4
0,"PLAUR.1",4
0,"CCR2.7",4
0.199024390243902,"HIF1A.2",4
0.453453145057766,"MAPK14.3",4
0,"CD14.1",4
0.201951219512195,"GATA3",4
0.333689024390244,"PLAUR.2",4
0,"CCR2",5
0.0188888888888889,"IL8",5
0,"CCR2.1",5
0,"IL10",5
0.162101313320826,"HIF1A",5
0.019,"IFNB1",5
