"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.934215674164922,0.985714285714286,1,0.97375,1,1,0.905
"IL8",0.939372539331938,0.986285714285714,1,0.975,1,1,0.913333333333333
"CCR2.1",0.937601295887261,0.986380952380952,1,0.975,1,1,0.91
"IL10",0.941143782776615,0.986190476190476,1,0.975,1,1,0.916666666666667
"HIF1A",0.941143782776615,0.986190476190476,1,0.975,1,1,0.916666666666667
"IFNB1",0.954686269665969,0.988857142857143,1,0.98,1,1,0.936666666666667
"ITGAM",0.944372539331938,0.987714285714286,1,0.9775,1,1,0.92
"TREM1",0.930830052442584,0.985047619047619,1,0.9725,1,1,0.9
"IFNA1",0.957915026221292,0.990380952380952,1,0.9825,1,1,0.94
"HLA.DRA",0.952915026221292,0.988952380952381,1,0.98,1,1,0.933333333333333
"C5AR1",0.934372539331938,0.984857142857143,1,0.9725,1,1,0.906666666666667
"PLAUR",0.949529404498953,0.988285714285714,1,0.97875,1,1,0.928333333333333
"LCN2",0.920830052442584,0.982190476190476,1,0.9675,1,1,0.886666666666667
"NLRP3",0.935986917609599,0.985619047619048,1,0.97375,1,1,0.908333333333333
"IFNA2",0.954686269665969,0.988857142857143,1,0.98,1,1,0.936666666666667
"IL6",0.961457513110646,0.990190476190476,1,0.9825,1,1,0.946666666666667
"BCL2",0.939372539331938,0.986285714285714,1,0.975,1,1,0.913333333333333
"CALCA",0.946143782776615,0.987619047619048,1,0.9775,1,1,0.923333333333333
"TLR4",0.96130064794363,0.991047619047619,1,0.98375,1,1,0.945
"ELA2",0.946143782776615,0.987619047619048,1,0.9775,1,1,0.923333333333333
"NLRP3.1",0.934372539331938,0.984857142857143,1,0.9725,1,1,0.906666666666667
"CCR7",0.954686269665969,0.988857142857143,1,0.98,1,1,0.936666666666667
"CCL2",0.954529404498953,0.989714285714286,1,0.98125,1,1,0.935
"MAPK14",0.935986917609599,0.985619047619048,1,0.97375,1,1,0.908333333333333
"TNF",0.942758161054276,0.986952380952381,1,0.97625,1,1,0.918333333333333
"NOTCH1",0.935986917609599,0.985619047619048,1,0.97375,1,1,0.908333333333333
"S100A8",0.952915026221292,0.988952380952381,1,0.98,1,1,0.933333333333333
"LBP",0.947915026221292,0.987523809523809,1,0.9775,1,1,0.926666666666667
"MMP8",0.925830052442584,0.983619047619048,1,0.97,1,1,0.893333333333333
"MAPK14.1",0.930830052442584,0.985047619047619,1,0.9725,1,1,0.9
"CCL25",0.932758161054276,0.984095238095238,1,0.97125,1,1,0.905
