"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.972649110640673,0.977777777777778,0.98,0.976,0.98,0.98,0.97
"IL8",0.97897366596101,0.986666666666667,0.99,0.984,0.99,0.99,0.975
"CCR2.1",0.975268827230336,0.983888888888889,0.99,0.98,0.99,0.99,0.971666666666667
"IL10",0.966094912556683,0.981944444444444,0.99,0.976,0.99,0.99,0.958333333333333
"HIF1A",0.992649110640674,0.997777777777778,1,0.996,1,1,0.99
"IFNB1",0.98344580191601,0.994166666666667,1,0.99,1,1,0.978333333333333
"ITGAM",0.95897366596101,0.966666666666667,0.97,0.964,0.97,0.97,0.955
"TREM1",0.986324555320337,0.988888888888889,0.99,0.988,0.99,0.99,0.985
"IFNA1",0.96689160383202,0.988333333333333,1,0.98,1,1,0.956666666666667
"HLA.DRA",0.990796691275336,0.996388888888889,1,0.994,1,1,0.988333333333333
"C5AR1",0.987121246595673,0.995277777777778,1,0.992,1,1,0.983333333333333
"PLAUR",0.971593382550673,0.982777777777778,0.99,0.978,0.99,0.99,0.966666666666667
"LCN2",0.975268827230336,0.983888888888889,0.99,0.98,0.99,0.99,0.971666666666667
"NLRP3",0.98897366596101,0.996666666666667,1,0.994,1,1,0.985
"IFNA2",0.975298221281347,0.985555555555556,0.99,0.982,0.99,0.99,0.97
"IL6",0.975298221281347,0.985555555555556,0.99,0.982,0.99,0.99,0.97
"BCL2",0.97897366596101,0.986666666666667,0.99,0.984,0.99,0.99,0.975
"CALCA",0.982649110640674,0.987777777777778,0.99,0.986,0.99,0.99,0.98
"TLR4",0.986324555320337,0.988888888888889,0.99,0.988,0.99,0.99,0.985
"ELA2",0.957947331922021,0.973333333333333,0.98,0.968,0.98,0.98,0.95
"NLRP3.1",0.979770357236347,0.993055555555556,1,0.988,1,1,0.973333333333333
"CCR7",0.98344580191601,0.994166666666667,1,0.99,1,1,0.978333333333333
"CCL2",0.958744023197357,0.979722222222222,0.99,0.972,0.99,0.99,0.948333333333333
"MAPK14",0.990796691275336,0.996388888888889,1,0.994,1,1,0.988333333333333
"TNF",0.97897366596101,0.986666666666667,0.99,0.984,0.99,0.99,0.975
"NOTCH1",0.975268827230336,0.983888888888889,0.99,0.98,0.99,0.99,0.971666666666667
"S100A8",0.96897366596101,0.976666666666667,0.98,0.974,0.98,0.98,0.965
"LBP",0.980796691275336,0.986388888888889,0.99,0.984,0.99,0.99,0.978333333333333
"MMP8",0.954271887242357,0.972222222222222,0.98,0.966,0.98,0.98,0.945
"MAPK14.1",0.976094912556683,0.991944444444444,1,0.986,1,1,0.968333333333333
"CCL25",0.931622776601684,0.944444444444444,0.95,0.94,0.95,0.95,0.925
"MYD88",0.945298221281347,0.955555555555556,0.96,0.952,0.96,0.96,0.94
"CD14",0.996324555320337,0.998888888888889,1,0.998,1,1,0.995
"CX3CR1",0.957917937871009,0.971666666666667,0.98,0.966,0.98,0.98,0.951666666666667
