"Feature","Mean_Importance","SD_Importance"
"S100A8",4.53549786889134,1.6453887447138
"S100A12",4.5244812367276,1.64603917592025
"CD177.1",4.46097655647773,1.49682771566074
"IL10",4.35535399059314,1.52364047390665
"HLA.DRA",4.26645758747911,1.85081083113133
"MAPK14",4.25773752602689,1.77833852753081
"S100A12.1",4.2191193492233,1.60819746678811
"GATA3",4.06709559511295,1.58752681552916
"MMP9",3.47103553059217,1.66440979501782
"SOCS3",3.44936040323182,1.79255299701321
"BCL2.1",3.03697254249506,1.88752710589978
"CCR7",2.8134978790248,1.55897714264177
"S100A9",2.69374902919341,1.73829990852023
"CD177",2.42153275903372,1.3135581126606
"ARG1",2.24097164038665,1.43740773201495
"ARG1.1",2.07894609789479,1.47589330506056
"BCL2",1.96307108458517,1.11755915049954
"C3AR1",1.67601598856268,1.08882077617558
"MMP8",1.46041043042766,1.11913401068702
"IL1R2",1.38780288642292,1.09265943583796
"ITGAM",0.828332547528253,0.686923055890719
"LCN2",0.742619833721475,1.20928486241463
"OLFM4",0.648262922813749,0.625504933365141
"CCL19",0.304732443721614,0.441201342304969
"CX3CR1",0.280612170493255,0.367079697925138
"ELANE",0.280334715458418,0.464187745998434
"PTX3",0.193624514098058,0.312564800384415
"C5AR1",0.138417653713733,0.298170722265237
"ICAM1",0.122558682677013,0.213747640062119
"TLR4",0.11907934942054,0.22873148420724
"IFNG",0.104066784973434,0.21648047709802
"CCL2",0.0904703855549967,0.182661192715318
"CCL19.1",0.0735990523390023,0.192331600799415
"MYD88",0.0618374498034586,0.17356133524933
"PDCD1",0.0556403336112685,0.149601775327307
"CXCL10.1",0.0552968810583572,0.139697366518964
"CCR2.1",0.0442495319197689,0.110300889220939
"HMGB1",0.0342708572449353,0.1274789316868
"CXCL10",0.0245722558390076,0.0922705299450074
"HIF1A.1",0.0245702363779997,0.0895527081787767
"P2RX7",0.0238136249143531,0.085379667896726
"IL6",0.021163866628456,0.066755702517638
"TLR4.1",0.0166596697966225,0.0778493953196114
"TNFSF10",0.0120968471147839,0.0604949065870416
"NLRP3.1",0.0114289771837772,0.0465628146958896
"TNF",0.0112591119954747,0.0450358902767568
"IL8",0.00975025986368559,0.0515890172979338
"IL8.1",0.00793253938301738,0.0417689684904459
"CALCA.2",0.00770718460424765,0.0195773424432957
"CALCA",0.00702340908612953,0.0209971656018988
"P2RX7.1",0.00687204874708976,0.0359875626654586
"CCL25",0.00664182900399589,0.038745359654968
"IL1B",0.00657108065422584,0.0157136361431243
"NOTCH1",0.00625477492842407,0.03315505233147
"VCAM1",0.00620162398457177,0.0164170425430094
"CCR2",0.00618542566012433,0.0221084735822577
"CRP",0.00547846621936585,0.0117959826377445
"TREM1.1",0.00482221149149842,0.0150836788620343
"TLR2",0.00464746365318225,0.0114394887714867
"NOTCH1.1",0.00430201763633127,0.0134696298933629
"CALCA.1",0.00369726555192946,0.0112744790002439
"TREM1",0.00368438258941292,0.01726941297892
"NLRP3",0.00351786617990269,0.0101107491177528
"IFNA2",0.0034956297276289,0.0144221947751667
"IL6.1",0.00264127366383841,0.0101903151934451
"CRP.1",0.00230829333084865,0.00839331322342316
"CD14",0.0021529674595341,0.0077967161131085
"HIF1A",0.00215180935654912,0.007794359873931
"CCL25.1",0.00213341823646356,0.00670175730109011
"TNFSF10.1",0.00177084304294349,0.00630236118027893
"IFNB1",0.00103230994152047,0.00653238684370527
"LBP",0.00094238782051282,0.00678262648202243
"PLAUR",0.000786579593948015,0.00387291394748186
